# id    ra            dec          id_3DHST   ra_3DHST     dec_3DHST   z_IR     ez_IR    Mstar           xfAGN      xeAGN      SFR        eSFR       sSFR       SNR_IR   goodArea   m1400                m1700                S1400                   S1700                  
  414   189.3391876   62.3758583   38102      189.339219   62.375874   1.12     0.1      2.14799995E10   0.5914     0.5914     10.26      4.284      0.4777     2.471    1          27.75092608050253    27.11240423238077    2.881572612700746E-8    5.1884580187029735E-8  
  416   189.4104004   62.375927    -99        -99          -99         0.4158   0.08     2.523E8         0.08093    0.08093    0.7924     0.578      3.14       1.371    0          -99                  -99                  -99                     -99                    
  418   189.2923126   62.3758202   38108      189.292408   62.375848   1.292    0.108    2.52300001E10   0.6786     0.6786     9.416      4.496      0.3732     2.38     1          27.307189146631494   26.713499340266306   4.3363501318928445E-8   7.492043045187049E-8   
  421   189.2828979   62.375721    38101      189.282894   62.375726   1.24     0.202    3.71500006E9    1.305      1.305      8.107      19.39      2.182      0.418    1          24.61333155594356    24.470543927016998   5.184028466434414E-7    5.912653506807049E-7   
  428   189.2596283   62.3751678   -99        -99          -99         1.269    0.1855   2.64199987E9    1.102      1.102      5.931      4.388      2.245      1.423    1          -99                  -99                  -99                     -99                    
  429   189.2620087   62.3751678   -99        -99          -99         1.147    0.1903   5.152E9         1.075      1.075      5.708      4.722      1.108      2.327    1          -99                  -99                  -99                     -99                    
  430   189.2854767   62.3752823   38091      189.285428   62.375279   1.253    -1.0     7.9789998E9     0.1646     0.1646     7.184      3.312      0.9004     2.169    1          23.93147543758732    23.83043238184161    9.714262279590432E-7    1.0661714463591028E-6  
  431   189.3308258   62.3751831   38065      189.330787   62.375188   0.676    -1.0     3.63000013E9    0.1156     0.1156     2.576      0.9851     0.7096     2.615    1          25.746840102829776   25.299665955117785   1.8250045808911022E-7   2.755076218408432E-7   
  432   189.3529205   62.3752251   38078      189.352898   62.375225   0.7425   0.15     1.738E9         0.3677     0.3677     3.176      2.247      1.828      2.605    0          24.106339734297237   23.95527497817585    8.269211621486439E-7    9.503640700000991E-7   
  433   189.4020081   62.3753777   -99        -99          -99         0.201    0.2      0.0             0.02285    0.02285    0.3303     0.3303     -99.0      1.533    0          -99                  -99                  -99                     -99                    
  437   189.2796173   62.3745041   38081      189.279233   62.374504   2.851    0.129    9.1609997E10    5.624      5.624      67.22      32.55      0.7337     3.828    1          27.460364665866873   27.355502034926644   3.765772968774648E-8    4.147622159007794E-8   
  438   189.3011932   62.3750534   38093      189.301037   62.375063   1.229    0.1635   1.52E10         23.06      23.06      56.99      12.32      3.748      20.79    1          29.609839219150338   29.471791405228817   5.200730056955195E-9    5.905863947182294E-9   
  439   189.385376    62.3749428   -99        -99          -99         1.59     0.023    6.3380001E10    24.92      1.11       30.17      44.83      0.476      0.673    0          -99                  -99                  -99                     -99                    
  442   189.240921    62.3749695   -99        -99          -99         1.174    0.1901   4.6980002E10    14.82      14.82      41.62      20.11      0.8858     10.04    0          -99                  -99                  -99                     -99                    
  449   189.3769989   62.3744125   -99        -99          -99         0.1893   0.01     1.74600008E10   0.3874     0.3874     0.7797     0.1019     0.04467    14.82    0          -99                  -99                  -99                     -99                    
  450   189.306076    62.3745461   38068      189.30611    62.374707   4.27     0.474    1.78599997E10   70.69      45.35      284.8      86.09      15.94      3.308    1          24.559091670773793   24.358692702388993   5.449583755715128E-7    6.554248737444124E-7   
  451   189.3164368   62.3746529   38062      189.316433   62.374647   1.019    -1.0     4.8969999E9     0.4172     0.4172     2.818      2.648      0.5754     1.064    1          25.291120364436257   25.200647343797925   2.7768463785742373E-7   3.018151684574864E-7   
  468   189.3604889   62.3730621   -99        -99          -99         4.632    0.2425   4.0919998E10    91.61      58.72      351.5      156.5      8.59       2.246    1          -99                  -99                  -99                     -99                    
  481   189.3880005   62.373436    -99        -99          -99         0.179    -1.0     2.965E7         0.02249    0.01194    0.1128     0.07389    3.805      3.638    0          -99                  -99                  -99                     -99                    
  482   189.4001007   62.373436    -99        -99          -99         2.27     0.294    9.8160005E9     9.933      9.933      29.43      29.43      2.998      0.0      0          -99                  -99                  -99                     -99                    
  490   189.3794098   62.372921    -99        -99          -99         1.119    0.1899   3.17699994E9    0.5189     0.5189     7.105      7.105      2.237      0.0      0          -99                  -99                  -99                     -99                    
  498   189.3556824   62.3726234   38039      189.355801   62.372576   4.36     0.482    2.24899994E10   247.7      131.2      360.0      81.12      16.01      4.438    1          25.34664347531119    25.0412917432869     2.638411977840098E-7    3.495290710290284E-7   
  501   189.3748474   62.3725014   -99        -99          -99         2.41     0.307    9.1609999E9     4.904      4.904      27.95      22.59      3.051      2.841    0          -99                  -99                  -99                     -99                    
  502   189.265564    62.3723221   -99        -99          -99         2.36     0.302    1.208E10        5.935      5.935      26.43      26.43      2.188      0.0      1          -99                  -99                  -99                     -99                    
  503   189.2879944   62.3723145   38030      189.287971   62.37231    2.26     0.293    1.70599997E10   6.955      6.955      21.48      21.48      1.259      0.0      1          25.304612167534202   25.007364496883817   2.742553656298372E-7    3.6062364714955315E-7  
  505   189.3832092   62.3722649   -99        -99          -99         2.833    0.2      3.64700006E9    10.44      10.44      69.35      69.35      19.01      0.0      0          -99                  -99                  -99                     -99                    
  506   189.2587738   62.3723564   -99        -99          -99         0.401    0.0      0.0             0.02962    0.02962    0.3754     0.1721     -99.0      2.339    1          -99                  -99                  -99                     -99                    
