#            id        id_3DHST          SNR_IR        goodArea            z_IR              dL           Mstar           xfAGN           xeAGN          SFR_IR         eSFR_IR          SFR_UV           S1400           S1700      SFR_UV1400      SFR_UV1700    SFR_UV_from_Mstar    SFR_UV_for_noUV_noMstar         SFR_UV_for_AGN              SFR_total           SFR_UV_method
#
            381           38169           3.084               1           3.999         35512.6       5.152e+11           136.4           68.21             333             108         16.0951     1.31778e-07     1.46151e-07         16.0951         17.8505             0.266488                        -99                    -99                349.095                    1.0
            385           38150           9.685               1           2.458         19717.7       3.819e+10           63.02           63.02             244           69.93         2.96762     7.88152e-08      1.2368e-07         2.96762         4.65689              7.45865                        -99                    -99                246.968                    1.0
            390           38140               0               1           1.961           14934        3.02e+09           7.853           3.286           2.689           2.689        0.293787     2.51322e-07     2.97377e-07         5.42831         6.42306             0.600352                        -99               0.293787                2.98279                    4.0
            391           38143           0.537               1            2.32         18369.8       1.076e+10           3.445           3.445           18.56           34.56         14.3911     4.40356e-07     5.55027e-07         14.3911         18.1387              3.34226                        -99                    -99                32.9511                    1.0
            394             -99           2.502               0           1.101         7276.55           1e-99           5.848           5.848           14.49           14.05         1.58311             -99             -99             -99             -99                  -99                    1.58311                    -99                16.0731                    3.0
            398             -99           0.444               1          0.9839         6322.82       2.004e+09          0.5842          0.5842           1.624           3.658        0.362578             -99             -99             -99             -99             0.362578                        -99                    -99                1.98658                    2.5
            399             -99           3.504               0           2.901         24131.1       2.704e+10           5.774           5.774           119.7           34.16         5.93314             -99             -99             -99             -99              5.93314                        -99                    -99                125.633                    2.0
            401           38129           0.852               1           1.251         8535.99       2.042e+09          0.6938          0.6938           8.752           10.27         4.91692      6.9679e-07     7.56742e-07         4.91692         5.33997              1.95399                        -99                    -99                13.6689                    1.0
            407           38099           19.78               1           1.521           10894       7.277e+10           81.31           81.31           192.8           26.82         1.51686     1.31973e-07     2.13774e-07         1.51686         2.45705              2.38987                        -99                    -99                194.317                    1.0
            409           38106           2.034               1          0.6897         4067.56        5.37e+09          0.2925          0.2925           5.934           3.354       0.0400397     2.49885e-08      3.9366e-08       0.0400397       0.0630773              2.82738                        -99                    -99                5.97404                    1.0
            413             -99           3.161               0          0.6233         3592.01       3.819e+09          0.1194          0.1194           2.136           1.254        0.476888             -99             -99             -99             -99             0.476888                        -99                    -99                2.61289                    2.5
            414           38102           2.471               1            1.12         7433.83       2.148e+10          0.5914          0.5914           10.26           4.284        0.154219     2.88157e-08     5.18846e-08        0.154219        0.277681             0.701939                        -99                    -99                10.4142                    1.0
            416             -99           1.371               0          0.4158         2196.27       2.523e+08         0.08093         0.08093          0.7924           0.578        0.176913             -99             -99             -99             -99             0.176913                        -99                    -99               0.969313                    2.5
            418           38108            2.38               1           1.292         8886.94       2.523e+10          0.6786          0.6786           9.416           4.496        0.331675     4.33635e-08     7.49204e-08        0.331675        0.573045             0.514259                        -99                    -99                9.74768                    1.0
            421           38101           0.418               1            1.24         8442.29       3.715e+09           1.305           1.305           8.107           19.39         3.57826     5.18403e-07     5.91265e-07         3.57826         4.08119              1.80999                        -99                    -99                11.6853                    1.0
            428             -99           1.423               1           1.269         8689.73       2.642e+09           1.102           1.102           5.931           4.388         1.32417             -99             -99             -99             -99              1.32417                        -99                    -99                7.25517                    2.5
            429             -99           2.327               1           1.147         7658.48       5.152e+09           1.075           1.075           5.708           4.722         2.88216             -99             -99             -99             -99              2.88216                        -99                    -99                8.59016                    2.0
            430           38091           2.169               1           1.253         8553.04       7.979e+09          0.1646          0.1646           7.184           3.312         6.88232     9.71426e-07     1.06617e-06         6.88232         7.55356              1.96625                        -99                    -99                14.0663                    1.0
            431           38065           2.615               1           0.676         3968.35        3.63e+09          0.1156          0.1156           2.576          0.9851        0.278335       1.825e-07     2.75508e-07        0.278335        0.420183             0.575123                        -99                    -99                2.85434                    1.0
            432           38078           2.605               0          0.7425         4455.09       1.738e+09          0.3677          0.3677           3.176           2.247          1.5895     8.26921e-07     9.50364e-07          1.5895         1.82678             0.709081                        -99                    -99                 4.7655                    1.0
            433             -99           1.533               0           0.201         956.889           1e-99         0.02285         0.02285          0.3303          0.3303        0.036087             -99             -99             -99             -99                  -99                   0.036087                    -99               0.366387                    3.0
            437           38081           3.828               1           2.851           23627       9.161e+10           5.624           5.624           67.22           32.55         2.03589     3.76577e-08     4.14762e-08         2.03589         2.24233             0.603641                        -99                    -99                69.2559                    1.0
            438           38093           20.79               1           1.229         8348.81        1.52e+10           23.06           23.06           56.99           12.32       0.0351072     5.20073e-09     5.90586e-09       0.0351072       0.0398672              6.32729                        -99                    -99                57.0251                    1.0
            439             -99           0.673               0            1.59         11512.9       6.338e+10           24.92            1.11           30.17           44.83        0.453777             -99             -99             -99             -99             0.453777                        -99                    -99                30.6238                    2.0
            442             -99           10.04               0           1.174         7884.47       4.698e+10           14.82           14.82           41.62           20.11        0.951971             -99             -99             -99             -99             0.951971                        -99                    -99                 42.572                    2.0
            449             -99           14.82               0          0.1893         897.299       1.746e+10          0.3874          0.3874          0.7797          0.1019       0.0712961             -99             -99             -99             -99            0.0712961                        -99                    -99               0.850996                    2.0
            450           38068           3.308               1            4.27           38398       1.786e+10           70.69           45.35           284.8           86.09         77.8153     5.44958e-07     6.55425e-07         77.8153         93.5889              25.2293                        -99                    -99                362.615                    1.0
            451           38062           1.064               1           1.019          6605.8       4.897e+09          0.4172          0.4172           2.818           2.648         1.17351     2.77685e-07     3.01815e-07         1.17351         1.27548               1.5277                        -99                    -99                3.99151                    1.0
            468             -99           2.246               1           4.632         42291.2       4.092e+10           91.61           58.72           351.5           156.5         9.75474             -99             -99             -99             -99              9.75474                        -99                    -99                361.255                    2.0
