# id    id_3DHST   SNR_IR   goodArea   z_IR     dL        Mstar           xfAGN      xeAGN      SFR_IR     eSFR_IR    SFR_UV       S1400        S1700        SFR_UV1400   SFR_UV1700   SFR_UV_from_Mstar   SFR_UV_for_noUV_noMstar   SFR_UV_for_AGN   SFR_total   SFR_UV_method   SFR_IR/SFR_total     
  399   -99        3.504    0          2.901    24131.1   2.704E10        5.774      5.774      119.7      34.16      5.93314      -99.0        -99.0        -99.0        -99.0        5.93314             -99.0                     -99.0            125.633     2.0             0.9527751466573273   
  401   38129      0.852    1          1.251    8535.99   2.042E9         0.6938     0.6938     8.752      10.27      4.91692      6.9679E-7    7.56742E-7   4.91692      5.33997      1.95399             -99.0                     -99.0            13.6689     1.0             0.6402856118634273   
  407   38099      19.78    1          1.521    10894.0   7.2770003E10    81.31      81.31      192.8      26.82      1.51686      1.31973E-7   2.13774E-7   1.51686      2.45705      2.38987             -99.0                     -99.0            194.317     1.0             0.9921931688941267   
  409   38106      2.034    1          0.6897   4067.56   5.3699999E9     0.2925     0.2925     5.934      3.354      0.0400397    2.49885E-8   3.9366E-8    0.0400397    0.0630773    2.82738             -99.0                     -99.0            5.97404     1.0             0.9932976679098232   
  413   -99        3.161    0          0.6233   3592.01   3.81900006E9    0.1194     0.1194     2.136      1.254      0.476888     -99.0        -99.0        -99.0        -99.0        0.476888            -99.0                     -99.0            2.61289     2.5             0.8174856193716536   
  414   38102      2.471    1          1.12     7433.83   2.14799995E10   0.5914     0.5914     10.26      4.284      0.154219     2.88157E-8   5.18846E-8   0.154219     0.277681     0.701939            -99.0                     -99.0            10.4142     1.0             0.9851932937719653   
  416   -99        1.371    0          0.4158   2196.27   2.523E8         0.08093    0.08093    0.7924     0.578      0.176913     -99.0        -99.0        -99.0        -99.0        0.176913            -99.0                     -99.0            0.969313    2.5             0.8174861989883557   
  418   38108      2.38     1          1.292    8886.94   2.52300001E10   0.6786     0.6786     9.416      4.496      0.331675     4.33635E-8   7.49204E-8   0.331675     0.573045     0.514259            -99.0                     -99.0            9.74768     1.0             0.9659734418856589   
  421   38101      0.418    1          1.24     8442.29   3.71500006E9    1.305      1.305      8.107      19.39      3.57826      5.18403E-7   5.91265E-7   3.57826      4.08119      1.80999             -99.0                     -99.0            11.6853     1.0             0.6937776522639555   
  428   -99        1.423    1          1.269    8689.73   2.64199987E9    1.102      1.102      5.931      4.388      1.32417      -99.0        -99.0        -99.0        -99.0        1.32417             -99.0                     -99.0            7.25517     2.5             0.8174860134221528   
  429   -99        2.327    1          1.147    7658.48   5.152E9         1.075      1.075      5.708      4.722      2.88216      -99.0        -99.0        -99.0        -99.0        2.88216             -99.0                     -99.0            8.59016     2.0             0.6644812203730781   
  430   38091      2.169    1          1.253    8553.04   7.9789998E9     0.1646     0.1646     7.184      3.312      6.88232      9.71426E-7   1.06617E-6   6.88232      7.55356      1.96625             -99.0                     -99.0            14.0663     1.0             0.5107242131903912   
  431   38065      2.615    1          0.676    3968.35   3.63000013E9    0.1156     0.1156     2.576      0.9851     0.278335     1.825E-7     2.75508E-7   0.278335     0.420183     0.575123            -99.0                     -99.0            2.85434     1.0             0.9024853381166925   
  432   38078      2.605    0          0.7425   4455.09   1.738E9         0.3677     0.3677     3.176      2.247      1.5895       8.26921E-7   9.50364E-7   1.5895       1.82678      0.709081            -99.0                     -99.0            4.7655      1.0             0.6664568250970517   
  433   -99        1.533    0          0.201    956.889   0.0             0.02285    0.02285    0.3303     0.3303     0.036087     -99.0        -99.0        -99.0        -99.0        -99.0               0.036087                  -99.0            0.366387    3.0             0.9015057848668211   
  437   38081      3.828    1          2.851    23627.0   9.1609997E10    5.624      5.624      67.22      32.55      2.03589      3.76577E-8   4.14762E-8   2.03589      2.24233      0.603641            -99.0                     -99.0            69.2559     1.0             0.9706032265843055   
  438   38093      20.79    1          1.229    8348.81   1.52E10         23.06      23.06      56.99      12.32      0.0351072    5.20073E-9   5.90586E-9   0.0351072    0.0398672    6.32729             -99.0                     -99.0            57.0251     1.0             0.9993844815703962   
  439   -99        0.673    0          1.59     11512.9   6.3380001E10    24.92      1.11       30.17      44.83      0.453777     -99.0        -99.0        -99.0        -99.0        0.453777            -99.0                     -99.0            30.6238     2.0             0.9851814601715007   
  442   -99        10.04    0          1.174    7884.47   4.6980002E10    14.82      14.82      41.62      20.11      0.951971     -99.0        -99.0        -99.0        -99.0        0.951971            -99.0                     -99.0            42.572      2.0             0.9776378840552474   
  449   -99        14.82    0          0.1893   897.299   1.74600008E10   0.3874     0.3874     0.7797     0.1019     0.0712961    -99.0        -99.0        -99.0        -99.0        0.0712961           -99.0                     -99.0            0.850996    2.0             0.9162205227756652   
  450   38068      3.308    1          4.27     38398.0   1.78599997E10   70.69      45.35      284.8      86.09      77.8153      5.44958E-7   6.55425E-7   77.8153      93.5889      25.2293             -99.0                     -99.0            362.615     1.0             0.7854060091281386   
  451   38062      1.064    1          1.019    6605.8    4.8969999E9     0.4172     0.4172     2.818      2.648      1.17351      2.77685E-7   3.01815E-7   1.17351      1.27548      1.5277              -99.0                     -99.0            3.99151     1.0             0.705998481777573    
  468   -99        2.246    1          4.632    42291.2   4.0919998E10    91.61      58.72      351.5      156.5      9.75474      -99.0        -99.0        -99.0        -99.0        9.75474             -99.0                     -99.0            361.255     2.0             0.9729969135375289   
  481   -99        3.638    0          0.179    845.419   2.965E7         0.02249    0.01194    0.1128     0.07389    0.025184     -99.0        -99.0        -99.0        -99.0        0.025184            -99.0                     -99.0            0.137984    2.5             0.8174860853432282   
  482   -99        0.0      0          2.27     17884.9   9.8160005E9     9.933      9.933      29.43      29.43      6.02673      -99.0        -99.0        -99.0        -99.0        6.02673             -99.0                     -99.0            35.4567     2.0             0.8300264830060328   
  490   -99        0.0      0          1.119    7425.53   3.17699994E9    0.5189     0.5189     7.105      7.105      1.58628      -99.0        -99.0        -99.0        -99.0        1.58628             -99.0                     -99.0            8.69128     2.5             0.817486031976878    
  498   38039      4.438    1          4.36     39361.9   2.24899994E10   247.7      131.2      360.0      81.12      39.5894      2.63841E-7   3.49529E-7   39.5894      52.4469      23.095              -99.0                     -99.0            399.589     1.0             0.9009257011579398   
  501   -99        2.841    0          2.41     19247.3   9.1609999E9     4.904      4.904      27.95      22.59      6.30466      -99.0        -99.0        -99.0        -99.0        6.30466             -99.0                     -99.0            34.2547     2.0             0.8159464248701638   
