# ID                            RA               DEC  
  EGSIRAC_J141420.34+520232.1   213.5847822      52.0422732      
  EGSIRAC_J141420.37+520000.4   213.58488        52.0001174      
  EGSIRAC_J141420.38+515855.8   213.5849342      51.982193       
  EGSIRAC_J141420.41+515850.6   213.5850447      51.980735       
  EGSIRAC_J141420.43+520038.4   213.5851279      52.0106722      
  EGSIRAC_J141420.50+520224.2   213.5854216      52.0400685      
  EGSIRAC_J141420.54+515914.5   213.5856022      51.9873887      
  EGSIRAC_J141420.57+515826.7   213.5857421      51.9740865      
  EGSIRAC_J141420.60+520105.4   213.585864       52.0181705      
  EGSIRAC_J141420.61+520048.9   213.5858841      52.0136049      
  EGSIRAC_J141420.68+520021.1   213.5861683      52.0058643      
  EGSIRAC_J141420.73+515837.1   213.5864013      51.9769939      
  EGSIRAC_J141420.80+515841.4   213.586689       51.9781667      
  EGSIRAC_J141420.80+515952.3   213.5867073      51.997882       
  EGSIRAC_J141420.81+520125.4   213.5867397      52.0237478      
  EGSIRAC_J141420.87+515736.5   213.586997       51.960142       
  EGSIRAC_J141420.88+520025.0   213.5870372      52.006958       
  EGSIRAC_J141420.90+520130.1   213.587117       52.0250524      
  EGSIRAC_J141420.93+515801.8   213.5872093      51.9671938      
  EGSIRAC_J141421.02+520227.0   213.5875906      52.0408476      
  EGSIRAC_J141421.06+515916.9   213.587789       51.9880486      
  EGSIRAC_J141421.07+520237.4   213.5877949      52.0437442      
  EGSIRAC_J141421.08+520101.2   213.5878439      52.0170071      
  EGSIRAC_J141421.08+520054.3   213.5878499      52.0151036      
  EGSIRAC_J141421.09+520039.0   213.5878749      52.0108405      
  EGSIRAC_J141421.10+520207.4   213.5879467      52.0354121      
  EGSIRAC_J141421.10+515935.9   213.5879471      51.9933298      
  EGSIRAC_J141421.11+515926.3   213.5879752      51.9906423      
  EGSIRAC_J141421.13+515859.0   213.588062       51.9830615      
  EGSIRAC_J141421.18+515842.2   213.5882737      51.9784085      
  EGSIRAC_J141421.23+515909.6   213.588467       51.9860242      
  EGSIRAC_J141421.23+515816.7   213.5884938      51.9713074      
  EGSIRAC_J141421.27+515809.3   213.5886412      51.9692743      
  EGSIRAC_J141421.29+515826.8   213.5887453      51.9741246      
  EGSIRAC_J141421.32+520005.0   213.5888663      52.0014006      
  EGSIRAC_J141421.36+515723.2   213.5890028      51.9564529      
  EGSIRAC_J141421.36+515946.2   213.5890225      51.9961936      
  EGSIRAC_J141421.39+520200.5   213.5891371      52.0334939      
  EGSIRAC_J141421.48+515855.5   213.5895226      51.9820991      
  EGSIRAC_J141421.54+520043.3   213.5897838      52.0120464      
  EGSIRAC_J141421.56+515816.2   213.5898352      51.9711716      
  EGSIRAC_J141421.59+515745.3   213.5899893      51.9625991      
  EGSIRAC_J141421.60+515904.2   213.5900108      51.984523       
  EGSIRAC_J141421.62+515919.9   213.5901167      51.988886       
  EGSIRAC_J141421.62+515909.3   213.5901247      51.9859285      
  EGSIRAC_J141421.63+515925.6   213.5901257      51.9904657      
  EGSIRAC_J141421.66+520103.2   213.5902591      52.0175614      
  EGSIRAC_J141421.71+520015.0   213.5904714      52.0041778      
  EGSIRAC_J141421.72+515932.9   213.5905062      51.992494       
  EGSIRAC_J141421.74+515755.5   213.5905996      51.9654393      
  EGSIRAC_J141421.74+515900.1   213.5906041      51.9833723      
  EGSIRAC_J141421.83+520051.9   213.5909848      52.0144248      
  EGSIRAC_J141421.86+520235.7   213.591086       52.0432741      
  EGSIRAC_J141421.86+520224.2   213.5911165      52.0400831      
  EGSIRAC_J141421.87+520034.0   213.5911605      52.0094663      
  EGSIRAC_J141421.88+515738.7   213.5911673      51.9607565      
  EGSIRAC_J141421.88+515913.6   213.5911866      51.9871194      
  EGSIRAC_J141421.89+520243.4   213.5912138      52.0453977      
  EGSIRAC_J141421.89+520023.0   213.5912349      52.0064127      
  EGSIRAC_J141421.95+520131.5   213.5914904      52.0254264      
  EGSIRAC_J141421.96+515937.5   213.5915343      51.9937733      
  EGSIRAC_J141422.04+520101.2   213.5918418      52.0170198      
  EGSIRAC_J141422.05+520134.8   213.5918811      52.026345       
  EGSIRAC_J141422.07+520218.8   213.5919687      52.0385782      
  EGSIRAC_J141422.12+515847.0   213.5921982      51.9797285      
  EGSIRAC_J141422.14+515809.8   213.5922831      51.9694103      
  EGSIRAC_J141422.15+520228.8   213.5923088      52.0413504      
  EGSIRAC_J141422.18+515820.7   213.5924197      51.9724345      
  EGSIRAC_J141422.19+515841.0   213.5924869      51.9780672      
  EGSIRAC_J141422.21+520057.9   213.5925671      52.0161026      
  EGSIRAC_J141422.25+515951.8   213.5927455      51.9977285      
  EGSIRAC_J141422.27+520028.9   213.5928097      52.0080353      
  EGSIRAC_J141422.29+515736.2   213.592878       51.9600582      
  EGSIRAC_J141422.29+515754.6   213.5928891      51.9651765      
  EGSIRAC_J141422.31+520104.8   213.5929811      52.0180226      
  EGSIRAC_J141422.39+515944.6   213.593329       51.9957486      
  EGSIRAC_J141422.40+520017.5   213.5933618      52.0048646      
  EGSIRAC_J141422.41+515829.3   213.5934159      51.9748138      
  EGSIRAC_J141422.43+520011.5   213.5934772      52.003221       
  EGSIRAC_J141422.47+515837.6   213.5936553      51.9771262      
  EGSIRAC_J141422.55+515848.4   213.5939961      51.9801275      
  EGSIRAC_J141422.63+520231.4   213.5943129      52.042056       
  EGSIRAC_J141422.64+520055.0   213.5943383      52.0153021      
  EGSIRAC_J141422.65+515806.4   213.5943815      51.9684531      
  EGSIRAC_J141422.67+515859.4   213.594461       51.9831732      
  EGSIRAC_J141422.68+515729.9   213.5945386      51.9583275      
  EGSIRAC_J141422.69+515941.8   213.5945601      51.9949526      
  EGSIRAC_J141422.72+515951.6   213.5947         51.9976849      
  EGSIRAC_J141422.72+515750.7   213.5947067      51.9640979      
  EGSIRAC_J141422.75+520049.6   213.5948273      52.0137846      
  EGSIRAC_J141422.76+515920.3   213.5948486      51.9889926      
  EGSIRAC_J141422.77+520004.4   213.594892       52.0012226      
  EGSIRAC_J141422.83+520318.3   213.5951264      52.0550849      
  EGSIRAC_J141422.83+520058.7   213.5951266      52.0163199      
  EGSIRAC_J141422.84+515903.1   213.595192       51.9842088      
  EGSIRAC_J141422.84+520008.6   213.595199       52.002416       
  EGSIRAC_J141422.85+515831.2   213.5952383      51.9753503      
  EGSIRAC_J141422.86+520037.7   213.5952807      52.010495       
  EGSIRAC_J141422.88+520025.6   213.5953694      52.0071218      
  EGSIRAC_J141422.89+520137.8   213.5953868      52.0271758      
  EGSIRAC_J141422.93+515854.7   213.5955504      51.9818618      
  EGSIRAC_J141423.00+520314.8   213.5958732      52.0541268      
  EGSIRAC_J141423.03+520109.3   213.5959962      52.0192595      
  EGSIRAC_J141423.04+520112.1   213.5960064      52.0200554      
  EGSIRAC_J141423.04+515810.0   213.5960312      51.9694477      
  EGSIRAC_J141423.05+520232.0   213.5960794      52.0422491      
  EGSIRAC_J141423.07+520128.0   213.5961341      52.0244458      
  EGSIRAC_J141423.07+515915.1   213.5961464      51.9875446      
  EGSIRAC_J141423.12+520123.7   213.5963456      52.0232641      
  EGSIRAC_J141423.12+515740.7   213.5963548      51.9613143      
  EGSIRAC_J141423.13+515745.7   213.5963778      51.9626972      
  EGSIRAC_J141423.17+515946.8   213.5965421      51.9963476      
  EGSIRAC_J141423.19+520220.3   213.5966434      52.0389983      
  EGSIRAC_J141423.20+520054.8   213.5966988      52.0152354      
  EGSIRAC_J141423.21+520132.4   213.59672        52.0256884      
  EGSIRAC_J141423.30+520115.3   213.5971041      52.020932       
  EGSIRAC_J141423.32+520021.1   213.5971886      52.0058721      
  EGSIRAC_J141423.36+515708.1   213.5973746      51.9522651      
  EGSIRAC_J141423.37+520211.6   213.5973765      52.0365637      
  EGSIRAC_J141423.46+515908.8   213.5977748      51.9857963      
  EGSIRAC_J141423.46+520049.8   213.5977771      52.0138494      
  EGSIRAC_J141423.52+520220.1   213.5980035      52.0389424      
  EGSIRAC_J141423.52+515856.6   213.5980072      51.9824141      
  EGSIRAC_J141423.53+520244.7   213.59807        52.0457701      
  EGSIRAC_J141423.54+520011.9   213.5981013      52.0033062      
  EGSIRAC_J141423.56+515830.0   213.5981725      51.9750145      
  EGSIRAC_J141423.56+520138.7   213.5982029      52.0274216      
  EGSIRAC_J141423.61+520203.2   213.5984033      52.0342397      
  EGSIRAC_J141423.62+515753.7   213.5984283      51.9649419      
  EGSIRAC_J141423.62+520133.3   213.5984482      52.0259265      
  EGSIRAC_J141423.73+515920.6   213.5989119      51.9890774      
  EGSIRAC_J141423.74+520020.6   213.5989187      52.0057464      
