#            id              z           maxz            snr         maxzsnr
#
           1491          0.837          1.097          10.49        5.17452
           1495          1.801            -99          1.667            -99
           1497           2.28            -99          1.281            -99
           1501          1.433          2.033          12.35        5.04937
           1502           2.03            -99      5.446e-05            -99
           1513          1.011            -99           1.84            -99
           1515          1.195          1.755          12.83        5.05587
           1520         0.5325            -99          3.168            -99
           1524         0.8889            -99         0.3809            -99
           1525         0.6025            -99          4.997            -99
           1532         0.9809            -99         0.4813            -99
           1533          0.746          1.166          19.58        5.17154
           1543          1.148            -99      5.406e-05            -99
           1544          1.881            -99           1.61            -99
           1545          1.156            -99          2.322            -99
           1548         0.8894            -99      4.314e-05            -99
           1551          1.358            -99         0.7786            -99
           1556          1.751            -99          1.281            -99
           1558         0.8344            -99          4.538            -99
           1563         0.8363            -99          1.334            -99
           1567         0.6338         0.7538          7.894        5.08736
           1569          0.879            -99          3.975            -99
           1579          1.303            -99          1.517            -99
           1592         0.9376         1.1176           8.04        5.21277
           1593         0.6813            -99           2.38            -99
           1602          1.782            -99         0.4674            -99
           1604           1.51            -99          2.285            -99
           1606              1            -99          2.272            -99
           1616          1.607            -99          3.877            -99
           1618          1.014          1.354           11.4        5.08351
           1622           1.02            -99          4.377            -99
           1626          1.936            -99        6.5e-05            -99
           1629           2.31            -99           1.85            -99
           1631          1.607            -99           1.64            -99
           1633           0.32           0.54          34.13        5.24575
           1634         0.7399            -99         0.1744            -99
           1638         0.7516            -99          2.365            -99
           1644         0.6337            -99          1.421            -99
           1648           1.76           3.12          29.34        5.00871
           1650          3.078            -99          1.083            -99
           1651           2.99           4.19          9.791        5.00261
           1662              1            -99          1.233            -99
           1673           0.04            -99          2.903            -99
           1693         0.3803            -99          2.725            -99
           1702          2.794            -99      5.322e-05            -99
           1709          1.201            -99          2.258            -99
           1710           1.82            -99           2.39            -99
           1711         0.7971            -99       6.12e-05            -99
           1712          2.216          2.956          10.06        5.01089
           1717          1.012            -99          2.371            -99
           1724         0.9809         1.1009          6.965        5.18792
           1734          2.708            -99       3.78e-05            -99
           1735          4.032          7.192          10.47        5.01544
           1737          1.142          1.342          6.556        5.00305
           1740         0.8208            -99          2.259            -99
           1741          1.024            -99          2.838            -99
           1747           2.04            -99      5.089e-05            -99
