#            id              z           maxz            snr         maxzsnr
#
           1502           2.03            -99              0            -99
           1513          1.011            -99          1.505            -99
           1515          1.195          1.735          12.57        5.05841
           1520         0.5325            -99          3.225            -99
           1524         0.8789            -99          0.598            -99
           1525         0.6025            -99          4.179            -99
           1532         0.9809            -99          0.529            -99
           1533          0.746          1.146          16.66        5.10349
           1543          1.148            -99              0            -99
           1544          1.881            -99          1.136            -99
           1545          1.156            -99          2.432            -99
           1548         0.8894            -99              0            -99
           1551          1.358            -99          0.543            -99
           1556          1.851            -99          1.448            -99
           1558         0.8344            -99          4.112            -99
           1563         0.8363            -99          1.246            -99
           1567         0.6338         0.7338           7.33        5.16545
           1569          0.879            -99          3.513            -99
           1579          1.303            -99          1.671            -99
           1592         0.9376         1.0976          7.615        5.21206
           1593         0.6813            -99          2.022            -99
           1602          1.782            -99          0.786            -99
           1604           1.51            -99          2.064            -99
           1606           1.05            -99          2.116            -99
           1616          1.545            -99          3.832            -99
           1618          1.014          1.254          9.673        5.00837
           1622           1.02            -99          4.051            -99
           1626          1.895            -99              0            -99
           1629           2.31            -99          1.813            -99
           1631          1.595            -99          1.387            -99
           1633           0.32           0.54          31.11        5.31495
           1634         0.7399            -99           0.41            -99
           1638         0.7516            -99          1.964            -99
           1644         0.6337            -99          1.527            -99
           1648           1.76           3.16          25.86        5.03685
           1650           3.21            -99          1.091            -99
           1651           2.99           3.95          9.287        5.00691
           1662           0.97            -99          0.662            -99
           1673           0.04            -99          3.037            -99
           1693         0.3803            -99          2.744            -99
           1702           2.63            -99              0            -99
           1709          1.201            -99          1.892            -99
           1710           1.82            -99          2.065            -99
           1711         0.7871            -99              0            -99
           1712          2.216          2.956          9.621        5.04627
           1717          1.012            -99          1.893            -99
           1724         0.9809         1.1009          6.452        5.14993
           1734          2.673            -99          0.243            -99
           1735           4.08           5.34          8.504        5.03528
           1737          1.142          1.242          5.517        5.06379
           1740         0.8709            -99          1.844            -99
           1741          1.024            -99          2.511            -99
           1747           2.04            -99              0            -99
           1753            1.2           1.32           6.33        5.16981
           1762          2.068          3.108          13.53        5.04831
           1764         0.2985            -99          1.449            -99
           1775          1.783            -99           0.29            -99
           1779         0.9647            -99           1.66            -99
           1813           1.57            -99          1.764            -99
           1814           1.63            -99            1.8            -99
           1818          1.569            -99          3.056            -99
           1822         0.4213            -99          1.629            -99
           1824          1.751            -99          1.706            -99
           1836         0.2544            -99          1.996            -99
           1843         0.6348            -99          2.806            -99
           1847          0.903            -99          3.727            -99
           1850            2.4            -99          4.077            -99
           1855         0.9064            -99          1.178            -99
           1859         0.5856            -99          2.206            -99
           1865          1.153            -99          0.733            -99
           1866          1.083          1.123          5.794        5.24236
           1870          1.712            -99          0.601            -99
           1880          0.858          1.058          8.868        5.22501
           1886          3.134            -99          0.283            -99
           1894          1.011            -99          2.267            -99
           1899          1.015            -99           0.48            -99
           1907         0.5857            -99          3.522            -99
           1908         0.5857            -99          1.982            -99
           1918         0.2768            -99          2.892            -99
           1919         0.8618            -99              0            -99
           1921           4.26           4.26          5.396              0
           1930          0.937          1.617          27.84        5.01777
           1937         0.2777            -99          2.951            -99
           1938         0.2771            -99          0.953            -99
           1944          1.305            -99          4.809            -99
           1945          3.742          4.482          6.616        5.05545
           1951          1.012            -99          4.333            -99
           1960         0.8955            -99           1.76            -99
           1961         0.5574            -99           0.36            -99
           1968          1.145            -99          2.769            -99
           1973          1.491          1.511          5.232        5.05364
           1990          3.174            -99            2.8            -99
           1999          2.832            -99          1.107            -99
           2007          2.234            -99          2.603            -99
           2022          1.855            -99          0.014            -99
           2025            1.2           1.32          6.583        5.18079
