#        ralist          delist     bdlist     cklist       Xmlist
#
    189.1381476      62.2451715        160          1      5.91835
    189.0812627      62.2449370        250          1      1.41951
    189.0719664      62.2449293        500          1      3.21525
    189.2934351      62.2443669        250          1      1.77312
    189.2908967      62.2441721        250          1      1.42746
    189.0645470      62.2435950        500          1      1.59713
    189.2912641      62.2434692        250          1     0.991355
    189.4557422      62.2434301        160          1      5.56054
    189.2948748      62.2417820        250          1      2.63189
    189.1488312      62.2411291        250          1     0.705095
    189.1468964      62.2408913        250          1      1.26825
    189.2903978      62.2406356        350          1      2.26465
    189.0550606      62.2405793        250          1      0.99018
    189.1460319      62.2403553        250          1      1.23728
    189.1337655      62.2393281        350          1   -0.0254412
    189.0388014      62.2386397        100          1       8.3405
    189.1382027      62.2386378        350          1     0.177909
    189.1480273      62.2384211        250          1     0.990972
    189.1486542      62.2376220        250          1      1.61902
    189.1319835      62.2374333        350          1     0.882081
    189.1460622      62.2368915        250          1      1.89282
    189.2813052      62.2368326        350          1      0.64637
    189.1390465      62.2367803        250          1     0.556117
    189.1859058      62.2363673        250          1       1.6199
    189.4395634      62.2362151        250          1      2.39131
    189.0907173      62.2359800         16          1     -1.33732
    189.1889591      62.2359773        250          1      1.30318
    189.1432858      62.2354510        250          1      1.02527
    189.1880646      62.2354371        250          1      0.86682
    189.1833428      62.2352584        250          1      1.59905
    189.2432960      62.2347199        250          1      1.68311
    189.1957079      62.2336728        250          1      1.29844
    189.2887268      62.2329338        350          1     0.766818
    189.1790153      62.2327494        250          1      1.02609
    189.1809675      62.2326884        250          1      2.91135
    189.2933832      62.2314652        350          1     0.465182
    189.2963130      62.2310462        350          1     0.349682
    189.2966098      62.2309866        350          1      1.35955
    189.2898531      62.2309277        350          1       0.4008
    189.2971076      62.2304277        350          1     0.392443
    189.3659818      62.2302859        250          1      2.93264
    189.3654791      62.2302496        250          1      1.90743
    189.3605880      62.2302154        250          1      1.68571
    189.1571011      62.2299253         16          1     0.388805
    189.1551227      62.2297737         16          1     -1.49241
    189.2933919      62.2297227        350          1      1.10707
    189.2881181      62.2295918        350          1      0.29566
    189.2881801      62.2295182        350          1     0.876461
    189.3591881      62.2290001        250          1      1.35721
    189.1853546      62.2287669        250          1     0.813167
    189.2949889      62.2287326        350          1      0.38241
    189.2862259      62.2286504         16          1    -0.180872
    189.1809265      62.2285844        250          1     0.996099
    189.2976347      62.2282978        350          1      1.16214
    189.3601642      62.2280053        250          1      1.78952
    189.3663588      62.2276298        250          1     0.867503
    189.0421343      62.2250449        100          1       6.0048
    189.0864962      62.2249813         16          1       1.1285
    189.2976427      62.2240590        250          1      1.40454
    189.3069902      62.2227113        350          1    0.0498224
    189.0347280      62.2223796        160          1      9.87861
    189.0350780      62.2218633        160          1      7.27858
    189.3404041      62.2193777        350          1     0.453433
    189.3978672      62.2172619        100          1      5.19566
    189.3741858      62.2171462        350          1      2.34482
    189.3751379      62.2165907        350          1      2.21191
    189.0934833      62.2154554         16          1     -1.27727
    189.3811163      62.2152271        350          1    0.0155866
    189.0804403      62.2151172        250          1      2.67459
    189.1524094      62.2148454        350          1     0.915253
    189.1575048      62.2146844        350          1     0.589058
    189.3843597      62.2133838        350          1     0.119892
    189.3428266      62.2133210        100          1      5.41427
    189.3910446      62.2128413        250          1      2.51719
    189.3816445      62.2120758        350          1     0.280766
    189.3864009      62.2119690        350          1     0.129457
    189.1532330      62.2119406        350          1    0.0934163
    189.3767160      62.2118795        250          1     0.504367
    189.3899441      62.2116130        250          1      1.54974
    189.1420461      62.2111503        350          1     0.161128
    189.1480850      62.2108035        350          1     0.359686
    189.3918481      62.2105102        250          1      1.72411
    189.1486874      62.2104996        350          1     0.472137
    189.2459315      62.2099833        160          1      6.05752
    189.1665286      62.2063440        250          1      2.11482
    189.0772611      62.2055517        350          1   -0.0322323
    189.1584043      62.2049831        250          1      1.21726
    189.1539847      62.2049739        250          1      1.24575
    189.1535576      62.2047475        250          1     0.809827
    189.1654935      62.2046935        250          1      2.24528
    189.2873478      62.2045112        500          1      1.65968
    189.1681670      62.2042925        250          1       2.4415
    189.1388836      62.2039343        100          1      7.70229
    189.1572456      62.2038624        250          1      1.64189
    189.1625393      62.2038012        250          1      2.11188
    189.1675550      62.2035296        250          1     0.877161
    189.0737409      62.2033948        250          1     0.803574
    189.2963618      62.2033582        250          1      1.94167
    189.0752132      62.2029644        250          1      0.86259
    189.2964086      62.2029403        250          1      1.81664
    189.1615349      62.2028060        250          1       1.0038
    189.1428132      62.2025233        250          1      1.57323
    189.0852135      62.2017735         16          1    0.0802899
    189.1714654      62.2017174        250          1      1.99135
    189.1719784      62.2016600        250          1      2.38195
    189.1636948      62.2016284        250          1      2.79244
    189.1638429      62.2014713        250          1      1.55799
    189.1499209      62.2013015        250          1      1.48851
    189.0418230      62.2011108        500          1      1.37505
    189.1708996      62.2008772        250          1      1.08592
    189.1713894      62.2007999        250          1      2.77109
    189.1120414      62.1994482         16          1     0.365402
    189.0757554      62.1989844        250          1     0.848189
    189.0793113      62.1976599        250          1      1.54177
    189.1117576      62.1973464        160          1      5.54913
    189.2531792      62.1953843        250          1      1.37493
    189.0390900      62.1950262        250          1      1.40484
    189.2541838      62.1950195        250          1      2.42613
    189.2247059      62.1945517        100          1      7.63517
    189.2245939      62.1945225        100          1      9.64714
    189.2808263      62.1935545        250          1      1.49704
    189.1373031      62.1933740        100          1      7.14173
    189.2959756      62.1931174        350          1    -0.018968
    189.3002743      62.1924807         16          1     0.812829
    189.2966692      62.1923302        350          1      1.27685
    189.2971909      62.1917451        350          1      1.91707
    189.2974793      62.1915492        350          1     0.216755
    189.1659690      62.1887071        100          1      6.83841
    189.3047313      62.1870028        250          1     0.666922
    189.2584037      62.1867799        250          1       1.7434
    189.2569633      62.1865670        250          1      1.34725
    189.0129360      62.1864674         16          1     0.898659
    189.1821380      62.1860843        250          1      1.45684
    189.1842098      62.1860654        250          1      2.55486
    189.1813829      62.1857418        250          1      2.44371
    189.2581192      62.1850395        250          1      1.88909
    189.1975716      62.1848472        250          1       1.1593
    189.1040331      62.1842323        100          1      5.70646
    189.1015095      62.1838477        100          1      6.61797
    189.0155322      62.1837930        100          1      8.50507
    189.2142502      62.1837900        350          1      2.28602
    189.0123141      62.1837875        350          1      0.27123
    189.0105575      62.1827495        350          1     0.167414
    189.2841246      62.1820469         16          1     -0.83268
    189.2143802      62.1816314        350          1     0.773851
    189.0734923      62.1812442        250          1     0.893464
    189.0089865      62.1812285        350          1   -0.0434872
    189.0092933      62.1811910        350          1     0.672378
    189.2137618      62.1803995        350          1      1.77274
    189.0080526      62.1803853        350          1     0.792029
