#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
             -1           1449       0.298853       0.848805           1.99         0.3072          10.37
              0           1452        1.71079        1.50467          51.38          27.99          10.54
              0           1458        1.59583        1.56224          39.43           16.9          10.52
             -1           1469       0.448861        1.70238          2.811         0.8092          10.95
             -1           1475         2.1486        2.06623          140.8          17.76          11.02
             -1           1476       0.775319        1.40778          5.961          1.235          10.78
              0           1477       -2.49867        -2.1794       0.003172       0.003169           7.06
              0           1479       0.729974        1.10716           5.37           3.69          10.33
              0           1480        1.43072        2.44622          26.96          19.06          11.23
              0           1490        2.16673        1.93158          146.8          66.24          10.79
             -1           1491        1.24527        1.10487          17.59          4.188           10.4
              0           1495        2.66904       -84.4594          466.7          464.3            -99
              0           1497        1.74476        2.17336          55.56          25.73          10.97
             -1           1501        1.70122        2.10994          50.26         0.9266          11.25
              0           1502        1.39058        1.50692          24.58          19.78           10.2
              0           1513       0.796782        1.89404          6.263          3.852          11.26
              0           1515        1.50596        1.30361          32.06         0.3332          10.38
             -1           1520       0.139564         1.2272          1.379         0.4452          10.83
              0           1524       0.536811       0.997967          3.442          1.804          10.23
              0           1525       0.192567        2.59768          1.558         0.9421          12.47
              0           1532        0.51375          1.544          3.264          2.038          10.84
              0           1533        1.25018        1.00376          17.79         0.4052          10.35
              0           1543       0.323252        1.89413          2.105         0.8143          11.16
              0           1544        1.32899        1.46699          21.33          7.251          10.21
              0           1545       0.982543        1.17175          9.606          7.146          10.24
              0           1548       0.187803       0.544956          1.541         0.7622          9.648
              0           1551       0.664078       0.832486          4.614          1.716          9.678
              0           1556        1.98073       -84.8192          95.66          95.66            -99
              0           1558        0.64365       0.992551          4.402          2.627          10.26
              0           1563       0.505014        1.12811          3.199            1.8          10.43
             -1           1567       0.703635        1.08184          5.054         0.4921          10.55
             -1           1569        0.90558        1.17973          8.046          2.499          10.46
              0           1579       0.948315        1.67586          8.878          3.067          10.78
             -1           1592        1.06744        1.87272          11.68          1.457          11.29
              0           1593       0.415808       0.737001          2.605         0.9286          10.07
              0           1602        1.03141        1.01981          10.75          5.123          9.688
              0           1604        1.12646        1.35469          13.38          9.033          10.25
              0           1606        1.23704         1.6012          17.26          6.735          10.86
              0           1616        1.30856         1.6859          20.35          9.078          10.65
