#      id           ra           de         z        ez      z_sp        z_op          fK         dfK        fch1       dfch1        fch2       dfch2        fch3       dfch3        fch4       dfch4         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350        f500       df500        f850       df850       f1160      df1160       f20cm      df20cm         SNR       Mstar         SFR        eSFR        sSFR    goodArea    Type_AGN    Type_SED    Type_FIR
#
217        189.3233337   62.3851357     2.611     0.053        -1      2.91     0.004875   0.0004875    0.007551     5.9e-05    0.009524     8.7e-05     0.01249    0.000702    0.008393    0.000619      0.1267    0.005715     0.01065    0.006439       0.864      0.4628        2.09       1.309           4       4.149        6.53        5.87         -99       1e+10   5.194e-42       1e+10       1.214      0.8978    0.005672    0.003078       3.167   2.831e+11       90.97       44.66      0.3213           0           0           0           0
227        189.3872528   62.3847237     0.921      0.01        -1       1.1     0.006194   0.0006194    0.006687     7.7e-05    0.004959    0.000283    0.007548    0.001059    0.003745    0.001549     0.03254    0.004543         -99       1e+10   1.792e-05      0.6346       3.492       1.629         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.003287    0.003074       2.144   3.034e+09       3.299       2.147       1.087           0           0           0           0
239        189.3011780   62.3842163     3.242     0.293        -1      3.34     0.001754   0.0001754    0.002534     7.7e-05    0.003191     9.5e-05    0.002908     0.00096    0.004767    0.000682     0.02233    0.004214   1.903e-10    0.007323   1.792e-05      0.4281   1.745e-05       1.095         -99       1e+10         -99       1e+10         -99       1e+10   5.194e-42       1e+10       1.673      0.5195   0.0008037    0.003305       3.221   3.999e+10       93.85       59.89       2.347           0           0           0           0
242        189.3982697   62.3841057      1.31     0.208        -1      1.31     0.006427   0.0006427     0.01146    0.000103         -99       1e+10     0.01586    0.002509    0.009749    0.002217     0.02935    0.007816         -99       1e+10   1.792e-05      0.7201   1.745e-05       1.649         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.001421    0.003075           0   1.959e+10       11.46       11.46      0.5851           0           0           0           0
245        189.3617554   62.3836441    0.7653       0.1        -1      0.83     0.005105   0.0005105    0.006016     5.2e-05    0.004251    0.000107    0.005712    0.000615    0.003388    0.000768      0.0415    0.005763   1.903e-10     0.01421      0.2718      0.4936       2.976       1.225         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.004777    0.003128       2.492   2.831e+09        2.91       1.219       1.028           0           0           0           0
247        189.3082275   62.3836327     0.041      0.04        -1      0.02       0.1923     0.01923     0.08425     7.7e-05     0.05465     9.6e-05     0.03773    0.000786     0.02198    0.000642     0.02096    0.004809   1.903e-10    0.007511   1.792e-05      0.3864         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.001061    0.003261           0    3.02e+07    0.004746    0.004746      0.1572           0           0           0           0
248        189.2747192   62.3834190     1.363        -1     1.363      1.32     0.006368   0.0006368         -99       1e+10      0.0103    0.000135      0.0233    0.003129    0.006604     0.00094     0.03487    0.005536         -99       1e+10      0.9255      0.3958       2.719       1.838         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.002874    0.003047       2.767   9.375e+09       13.15       7.095       1.403           0           0           0           0
254        189.3492737   62.3831825       1.5     0.225        -1       1.5     0.001923   0.0001923    0.002668     4.9e-05    0.002558     9.4e-05    0.001092     0.00059    0.001707    0.000672     0.01121    0.004844   1.903e-10      0.0111   1.792e-05       0.505   1.745e-05       1.931         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      0.0119     0.00303           0   3.483e+09       21.03       21.03       6.038           0           0           0           0
255        189.2914581   62.3830261     1.304    0.0115        -1      1.52      0.03311    0.003311     0.05556    0.000104     0.07358    0.000106      0.1054    0.001229      0.1685    0.000729      0.3673     0.01113      0.3164     0.01363       3.059       0.353       6.194       1.154     -0.0739       3.166         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      0.7039      0.0221       10.19   1.355e+11       27.63       10.09      0.2039           1           1           0           1
256        189.3261261   62.3830528     2.352     0.158        -1      2.51      0.01528    0.001528     0.03796     5.9e-05     0.05038     8.8e-05     0.05677    0.000611     0.04213    0.000589      0.4866     0.01346     0.09805     0.01268       2.731      0.4187       8.921       1.202        13.1       2.774       12.75       6.161       13.56       2.921   5.194e-42       1e+10       1.101       1.026     0.02836    0.002999       12.12   5.152e+11       332.6       80.05      0.6456           1           0          -1           1
257        189.3730469   62.3830338     2.431        -1     2.431      1.12      0.01117    0.001117     0.02046     5.8e-05     0.02101    0.000126     0.01433    0.000674     0.01933    0.000904      0.1838     0.00597         -99       1e+10       7.139        0.57        11.7       1.575       10.58       1.732       6.131       2.601         -99       1e+10   5.194e-42       1e+10    2.13e-10       1.003     0.02771    0.003129       15.97   1.914e+10       193.8       12.14       10.13           0           0           1           1
262        189.3527832   62.3826752    0.3712      0.05        -1      0.32      0.03404    0.003404      0.0304     5.4e-05        0.02     9.8e-05     0.02028    0.000588     0.01129    0.000683     0.08029    0.005139     0.06898     0.01126     0.03656      0.6664       2.804        2.04         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10  -0.0004211    0.003015       1.376   2.754e+08      0.7016      0.5099       2.548           0           0           0           0
264        189.3194275   62.3825989     2.515    0.2995        -1       2.5     0.001542   0.0001542    0.002222     5.4e-05    0.002727     8.2e-05      0.0063    0.000645    0.002421     0.00059     0.04952    0.003938   1.903e-10    0.007227        1.34      0.3979     0.07207       1.132       5.428       2.234         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.007078     0.00302       4.153   2.004e+10        81.7       34.48       4.076           1           0           0           0
270        189.2761230   62.3823051       1.4    0.2045        -1      1.39     0.002032   0.0002032    0.003152    0.000155    0.003949    0.000121    0.008611    0.001979     0.00192    0.000874     0.03162    0.005976         -99       1e+10      0.6054      0.5292   1.745e-05       2.038         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.006029    0.003023       1.144   4.092e+09       15.53       13.58       3.795           0           0           0           0
277        189.2606659   62.3821220      2.23     0.291        -1      2.23      0.00157    0.000157         -99       1e+10    0.001381    0.000169         -99       1e+10    0.001091    0.001187     0.02319    0.007292         -99       1e+10      0.5742      0.3802     0.04868         1.2       3.506       2.928       4.213       3.986         -99       1e+10         -99       1e+10         -99       1e+10    0.007733    0.003023       2.199   1.052e+10       59.88       47.21       5.693           0           0           0           0
288        189.3411255   62.3813171    0.4013       0.1        -1      0.43      0.03436    0.003436     0.02068     5.1e-05     0.01862     8.6e-05     0.01528    0.000564     0.02607    0.000593     0.08124    0.004415     0.06209     0.01802       1.961      0.4399      0.3896       1.342         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.006167    0.003051       4.466   7.447e+09       1.315      0.8448      0.1766           0           0           0           0
289        189.3540192   62.3815117     3.075     0.299        -1      3.15     0.004529   0.0004529    0.007374     4.8e-05    0.008591     9.4e-05     0.01057    0.000564     0.01097    0.000665      0.0453    0.005898     0.01135      0.0155       1.478      0.6582       1.416       2.978       8.038       1.728       7.496       3.849       1.836       3.236   5.194e-42       1e+10    2.13e-10       1.017    0.008312    0.003075       5.571   5.272e+10       426.5       136.5        8.09           0           0           0           1
309        189.4114227   62.3808670     4.851      2.15        -1       -99          -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.001991    0.002647     0.02547      0.0159         -99       1e+10   1.792e-05      0.7983   1.745e-05       2.343       1.846       2.728       2.773       3.047       3.706       5.321   5.194e-42       1e+10    2.13e-10       1.232    0.009406    0.003054       1.331       1e-99       370.3       278.2         -99           0           0           0           0
314        189.3889771   62.3803711     0.401         0        -1       -99          -99       1e+10    0.002198     6.3e-05     0.01182    0.000172    0.005802    0.000869    0.002715    0.001156     0.07526    0.005604         -99       1e+10   1.687e-05      0.5568       1.957       1.314         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.001911    0.003003       1.489       1e-99      0.6532      0.4387         -99           0           0           0           0
316        189.3449707   62.3803024     1.999     0.114        -1      2.17     0.003281   0.0003281    0.007341     4.7e-05    0.008657     8.4e-05    0.009777    0.000552    0.005988    0.000594     0.03405    0.005048    0.009529     0.01468   1.792e-05      0.5975       2.348       1.795         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10   -0.000386    0.003093       1.308   8.165e+10       17.51       13.39      0.2145           0           0           0           0
317        189.3559875   62.3801041    0.3786      0.05        -1      0.46       0.1282     0.01282     0.06855     5.9e-05     0.06033     9.9e-05      0.0473    0.000544     0.05678    0.000662     0.09371    0.004863      0.0978     0.01167       2.058      0.4589       3.589       2.187         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.004734    0.002981       4.775   3.564e+10       1.501      0.6874     0.04211           0           0           0           0
330        189.2572784   62.3797035      2.38     0.304        -1      2.38     0.001995   0.0001995         -99       1e+10    0.001879     0.00016         -99       1e+10    0.000733    0.001099      0.0123    0.002902         -99       1e+10     0.01605      0.3705      0.8125      0.8201       1.929       3.365         -99       1e+10         -99       1e+10   5.194e-42       1e+10         -99       1e+10    0.007637     0.00297       1.145   7.277e+09       53.35       46.59       7.331           0           0           0           0
337        189.3263550   62.3793564     2.964     0.324        -1         3     0.001675   0.0001675    0.001072     4.8e-05    0.000862     7.7e-05    0.000841    0.000566     0.00064    0.000551     0.01423    0.002907     0.01738    0.006682       0.222      0.3756   1.745e-05      0.9329         -99       1e+10         -99       1e+10         -99       1e+10   5.194e-42       1e+10         -99       1e+10  -0.0004011    0.003011       0.591   4.897e+09       27.94       47.28       5.705           1           0           0           0
339        189.2628784   62.3790627    0.9719    0.1701        -1      0.98     0.005248   0.0005248         -99       1e+10    0.003967    0.000134         -99       1e+10    0.002206     0.00096     0.02402    0.003249         -99       1e+10    0.004802      0.3735      0.2835      0.7267         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.002008    0.002997        0.39   6.338e+09       2.572       6.595      0.4058           1           0           0           0
340        189.2966461   62.3791313     1.435    0.1785        -1      1.48     0.003436   0.0003436    0.005156     6.5e-05    0.005331     8.9e-05    0.001142    0.000768     0.00347    0.000633     0.02424    0.003371     0.01383    0.006428        0.27      0.3571       1.373      0.8584         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.001178    0.003255       1.769   9.375e+09        10.1       6.382       1.077           1           0           0           0
343        189.3441925   62.3789711    0.8728    0.1402        -1      0.86       0.0133     0.00133     0.01803     4.8e-05     0.01332     8.3e-05      0.0117    0.000534    0.008816    0.000578     0.09133    0.004385     0.06368      0.0122      0.7777      0.5158       2.513       1.515         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.003843    0.003039       2.242   1.324e+10       6.691       3.565      0.5053           1           0           0           0
