#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              1        7.76702            885        7.39161        1.06133        2.13639            -99            -99            -99
              0        2.16449            886        1.78197        1.22865            -99            -99            -99            -99
              0        1.09951            892      0.0535266        1.09821            -99            -99            -99            -99
              1        11.5889            893        8.28969        6.20729        4.74488        2.13037            -99            -99
              0       0.619499            899       0.619499    1.45849e-05            -99            -99            -99            -99
              1        9.33721            902        6.39937        5.38904        3.89316        1.42589            -99            -99
              1        9.20043            915        2.06971        6.56026        5.74543        1.38297       0.233261        1.53305
              1         9.0328            917        4.59379        4.22387        3.38188        3.59336        4.27763    2.83777e-10
              0        1.79487            922        1.06158        1.44728            -99            -99            -99            -99
              1        9.55342            923        5.74136        5.53682        4.28648          2.555        1.51633       0.668669
              0       0.291003            924    4.48597e-05       0.291003            -99            -99            -99            -99
              0        2.32566            926        1.99647    9.71368e-06        1.19281            -99            -99            -99
              0        1.14237            928        0.59823       0.973204            -99            -99            -99            -99
              0        4.92165            931        3.64844        3.30326    6.01292e-08            -99            -99            -99
              0        3.29717            934        2.15088          2.499            -99            -99            -99            -99
              0        4.34696            937        4.34685      0.0307358            -99            -99            -99            -99
              1        15.8404            939          14.45        6.17001        1.30403        1.53175            -99            -99
              0        2.71893            950        2.70666       0.258003            -99            -99            -99            -99
              0        4.93909            951        2.23818        3.92362        1.99759            -99            -99            -99
              0       0.776578            960    2.03996e-05       0.776578            -99            -99            -99            -99
              0        2.68268            965     5.4436e-05        2.54998       0.833316            -99            -99            -99
              0        1.07408            966        1.07408    1.94218e-05            -99            -99            -99            -99
              0       0.737469            972       0.737469    1.61347e-05            -99            -99            -99            -99
              0         2.3113            974            -99            -99            -99        1.20315         1.1033        1.63623
              0       0.922425            994       0.921398      0.0435137            -99            -99            -99            -99
              1        5.31747            995         2.7248        2.95203        3.13028        1.52901            -99            -99
              1        5.43343           1002        5.03823         2.0343            -99            -99            -99            -99
              1        13.1508           1005        7.83848         8.5116        5.61355        1.62637        2.21268    5.20697e-10
              1        27.6624           1006        18.4535        19.8579         5.1693        1.90207            -99            -99
              1        11.9549           1008        8.70038        7.10372         3.7635        1.61093            -99            -99
              0        1.78038           1023       0.839197        1.57019            -99            -99            -99            -99
              0       0.972719           1026    5.21632e-05       0.972719            -99            -99            -99            -99
              0      0.0232492           1035      0.0232492    2.60642e-05            -99            -99            -99            -99
              0       0.573495           1036       0.348543    1.14071e-05      0.0402899    4.81349e-08       0.453641    2.42991e-10
              1        5.42017           1037        3.68528        2.55903        3.04111            -99            -99            -99
              0        2.13976           1042        2.13976            -99            -99            -99            -99            -99
              0        3.49431           1053        3.40009       0.692607       0.200842        0.35989            -99     4.1686e-10
              0        1.45743           1058    5.02779e-05        1.45743            -99            -99            -99            -99
              0          3.478           1064         2.9322        1.87047            -99            -99            -99            -99
              0        1.22777           1075       0.891455       0.844236            -99            -99            -99            -99
              1        5.72869           1076        4.97982        1.11297        1.39556        2.09834            -99       0.655768
              0        3.93986           1077        3.18316         1.6098        1.67288            -99            -99            -99
              0        2.06535           1081        1.60219        1.30332            -99            -99            -99            -99
              1        18.3369           1084        12.8645        10.0045        6.80382        3.86986        2.97056        0.74992
              0        2.23945           1089        1.69553        1.46299            -99            -99            -99            -99
              0       0.673553           1091       0.673553    2.62394e-05            -99            -99            -99            -99
              1        7.13498           1094        2.32175        2.53363        5.56874         2.1878            -99        1.81682
              0        1.09682           1101        1.09682    8.72926e-06            -99            -99            -99            -99
              1        8.65338           1102        8.59612       0.993895            -99            -99            -99            -99
              1        11.3668           1103         8.9263        6.84094        1.65119            -99            -99            -99
              1        7.06197           1104        6.66998        2.15969       0.847703            -99            -99            -99
              1        10.2831           1105        7.01281        6.12541        4.33708        0.48054            -99            -99
              1        7.94697           1109        3.85389        4.30454        2.43244         2.3777        4.26645    2.51395e-10
              0        2.82947           1113        2.15925        1.82853            -99            -99            -99            -99
              1        7.49747           1118        5.41655        4.34299        2.83045            -99            -99            -99
              0        2.36636           1121        2.30849       0.520128            -99            -99            -99            -99
              0    5.75501e-05           1123    5.49662e-05    1.70507e-05            -99            -99            -99    2.61889e-10
              0    2.71557e-05           1125    2.58062e-05     8.4542e-06            -99            -99            -99            -99
              0        3.40604           1129        2.24969        2.34656       0.928435       0.414311            -99    1.29939e-10
              0        2.28516           1133        2.27276       0.237666            -99            -99            -99            -99
              1        16.3061           1135        8.51436        13.0176        4.36472        2.21042            -99            -99
              0        1.77474           1140        1.77474     9.8016e-06            -99            -99            -99            -99
              0        3.28046           1141        2.47819        1.70786        1.30507            -99            -99            -99
              1        13.7337           1143        10.5796        7.76353        4.02001       0.502732            -99            -99
              0        1.31095           1144        1.31016      0.0455436            -99            -99            -99            -99
              0       0.129957           1146      0.0774986    8.77471e-06        0.10432    5.13938e-08    5.00046e-08    2.61814e-10
              1        5.07136           1147         4.8408        1.51171            -99            -99            -99            -99
              1        5.52226           1148        3.40435        1.51037        3.19441        1.68888        1.22515        1.43771
              1        5.01327           1150        4.36856         2.2516       0.989352            -99            -99            -99
              1        9.03929           1159        2.70054        3.24174         3.3835        5.17172        3.39646        3.76515
              0       0.666066           1160       0.666066    1.95995e-05            -99            -99            -99            -99
              0        3.50875           1167        1.81995        1.79381        1.93983        1.06337       0.942161    1.17546e-10
              1        8.24624           1168         5.2247         5.2102        2.92014        1.54017        1.14199        1.16329
              0        1.27774           1172        1.27774    1.49612e-05            -99            -99            -99            -99
              0    5.39514e-05           1181    5.11825e-05    1.70619e-05            -99            -99            -99            -99
              0        1.48717           1186        1.31425       0.695999    6.07789e-08            -99            -99            -99
              0        2.23811           1202        1.99063        1.02301            -99            -99            -99            -99
              0         3.5709           1208        2.78702        2.23245            -99            -99            -99            -99
              0        3.42439           1221        2.20658        2.32565        1.20367            -99            -99            -99
              0        1.17401           1222        1.09859          0.414            -99            -99            -99            -99
              1        8.73211           1225        5.60378         3.8164        3.83471        3.04344        2.51296            -99
              1        7.82288           1235        6.52552        4.31453    4.21233e-08    3.30296e-08            -99            -99
              1        23.7316           1239        18.9874        9.77763        8.67758        5.51297        1.17217            -99
              1        13.3567           1248        8.72828        8.72025        4.50308        2.30823       0.755805    2.50869e-10
              0    5.26892e-05           1252    5.26892e-05            -99            -99            -99            -99            -99
              0        1.09408           1253    5.27861e-05        1.09408            -99            -99            -99            -99
              0        3.11481           1262       0.470557    8.05423e-06        2.11741        1.10368        1.33843        1.40986
              1        5.40466           1269        3.36875         3.7716        1.79315    3.94231e-08    4.33994e-08       0.649238
              0        2.96018           1270        2.96018    2.22904e-05            -99            -99            -99            -99
              0        0.24149           1273      0.0724149       0.230377            -99            -99            -99            -99
              0        2.35772           1278        2.15611       0.953957            -99            -99            -99            -99
              1        5.72938           1284        1.24767        1.44322        2.58307        1.29072        2.81325        3.59634
              1        8.22684           1285        5.58059        2.88287        5.19822        1.09794            -99            -99
              1        8.48878           1293        5.94325        4.49812         3.9122        1.09491            -99            -99
              0         3.0317           1303        2.94419       0.723149            -99            -99            -99            -99
              0    5.15014e-05           1306    4.43248e-05     2.6224e-05            -99            -99            -99            -99
              0        2.56632           1313        1.38426        2.16098            -99            -99            -99            -99
              0        4.67726           1315        3.27748        2.94191        1.57483            -99            -99            -99
              0        4.24824           1320        4.22052       0.484488            -99            -99            -99            -99
              0        1.05347           1334       0.657755       0.822891            -99            -99            -99            -99
              0        4.66407           1335        4.59279       0.812313            -99            -99            -99            -99
              1        7.24731           1337        6.91303        1.52824        1.54852            -99            -99            -99
              1        7.14196           1338        3.21396        6.27586        1.13647            -99            -99            -99
              1        10.0372           1341        7.19739        5.84455         3.4202        1.75669            -99            -99
              0        2.24392           1342        2.24392            -99            -99            -99            -99            -99
              0         2.2656           1348        1.46345        1.72952            -99            -99            -99            -99
              0        2.45509           1350        1.77833        1.69264            -99            -99            -99            -99
              0         1.1835           1355       0.915776       0.749687            -99            -99            -99            -99
              0        3.14963           1357        3.04085       0.820627            -99            -99            -99            -99
              0       0.777066           1367      0.0843334       0.772476            -99            -99            -99            -99
              1        10.4903           1368        2.14902        4.50798        8.74741        2.81505            -99       0.815613
              1        5.39862           1369        2.19501        3.38108        3.59101            -99            -99            -99
              0        1.70154           1371        1.52089        0.76298            -99            -99            -99            -99
              1        5.89146           1384        3.23369        4.57157        1.29514       0.788731            -99        1.02657
              0        2.18166           1387       0.890863    3.63049e-06        1.61281       0.991369       0.297651        0.54171
              0        2.45098           1391        2.44891       0.100595            -99            -99            -99            -99
              0        3.56391           1393        2.10171        2.87712       0.080622            -99            -99            -99
              1        10.8948           1394        8.62112        6.27892        2.22453    3.24144e-08            -99            -99
              0        1.16236           1396        1.16226        0.01515            -99            -99            -99            -99
              0    3.34028e-05           1401    3.14182e-05     1.1342e-05            -99            -99            -99            -99
              0        3.62712           1402        1.40526        1.61529        2.92781            -99            -99            -99
              0       0.065728           1416       0.065728            -99            -99            -99            -99            -99
              0        1.67595           1419        1.40304       0.916685            -99            -99            -99            -99
              1        5.27413           1420        2.74635        1.12798        4.04691        1.61994            -99    3.26567e-10
              1        8.54696           1434        7.44945        3.68217        1.99948            -99            -99            -99
              0         1.0207           1437       0.774733       0.664539            -99            -99            -99            -99
              1        18.6645           1445        10.3776        10.3364        6.47464        8.33442         2.9372        3.71724
              0        4.99613           1449        4.46556        2.24055            -99            -99            -99            -99
              0        4.76881           1452       0.748172        4.68395    7.62906e-08       0.492337            -99            -99
              1        9.06217           1458        7.02485        3.17555        4.57485        1.32706            -99            -99
              0    2.73097e-05           1469    2.73097e-05            -99            -99            -99            -99            -99
              1        17.6953           1475        9.91001        9.24337        9.49912         5.6485        2.65526       0.536473
              0        3.79348           1476        1.63887        3.04228        1.56497            -99            -99            -99
              0        0.64178           1477        0.64178            -99            -99            -99            -99            -99
              0        1.46631           1479        1.46631    1.09912e-05            -99            -99            -99            -99
              0    2.83184e-05           1480    2.57817e-05    1.17148e-05            -99            -99            -99            -99
              1        6.09807           1490        3.73514        3.90926        2.26094        1.45394       0.828234       0.202842
              1        9.46942           1491        7.46235        4.56667        3.60346       0.379116            -99            -99
