# z_spec   ref_z_spec  
  0.8412   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.8498   81          
  0.3906   81          
  -99.0    -99         
  1.153    72          
  -99.0    -99         
  -99.0    -99         
  0.744    10          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  2.323    104         
  -99.0    -99         
  0.8607   21          
  0.3063   21          
  0.8194   21          
  -99.0    -99         
  0.8356   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    45          
  0.484    81          
  1.918    41          
  -99.0    -99         
  0.607    81          
  0.851    72          
  -99.0    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.247    21          
  1.412    72          
  0.4587   21          
  -99.0    -99         
  0.2777   21          
  1.222    81          
  -99.0    -99         
  0.8505   21          
  -99.0    -99         
  1.086    72          
  1.017    21          
  -99.0    -99         
  -99.0    -99         
  0.2986   21          
  -99.0    -99         
  1.362    72          
  0.6801   21          
  1.518    81          
  0.5035   21          
  0.85     72          
  -99.0    -99         
  2.441    105         
  1.671    34          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.4835   21          
  -99.0    -99         
  0.7452   21          
  -99.0    -99         
  -99.0    -99         
  0.8699   81          
  0.8518   21          
  -99.0    -99         
  0.4396   21          
  -99.0    72          
  0.4379   21          
  0.8517   21          
  0.4439   21          
  -99.0    81          
  0.743    72          
  -99.0    45          
  0.8402   21          
  -99.0    -99         
  0.8541   21          
  0.5032   21          
  -99.0    -99         
  -99.0    -99         
  0.3059   21          
  1.005    72          
  0.848    72          
  2.482    34          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.28     81          
  -99.0    -99         
  0.781    72          
  1.012    81          
  -99.0    81          
  0.8839   25          
  -99.0    -99         
  -99.0    -99         
  0.4721   81          
  2.48     81          
  -99.0    -99         
  0.852    81          
  0.8509   21          
  2.26     72          
  0.4742   21          
  -99.0    -99         
  0.8493   21          
  0.443    72          
  1.522    72          
  1.996    34          
  0.8541   21          
  -99.0    -99         
  1.155    81          
  0.6801   21          
  -99.0    72          
  -99.0    -99         
  -99.0    -99         
  2.32     105         
  0.501    12          
  -99.0    -99         
  0.975    72          
  -99.0    -99         
  0.502    10          
  0.5042   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    72          
  -99.0    -99         
  -99.0    81          
  0.8502   21          
  0.6813   21          
  0.5285   21          
  2.482    34          
  0.7468   21          
  0.913    21          
  -99.0    -99         
  1.522    81          
  0.8526   21          
  -99.0    -99         
  -99.0    -99         
  0.549    103         
  1.305    81          
  -99.0    -99         
  0.9403   21          
  -99.0    -99         
  0.4111   81          
  0.504    10          
  -99.0    -99         
  0.6334   21          
  -99.0    -99         
  0.8484   23          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.689    34          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.85     72          
  0.8612   81          
  -99.0    -99         
  3.366    106         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.3776   81          
  0.8411   81          
  -99.0    -99         
  -99.0    -99         
  0.8499   21          
  0.8524   81          
  -99.0    -99         
  1.78     34          
  1.013    21          
  0.936    10          
  -99.0    -99         
  1.242    81          
  0.8542   25          
  0.834    12          
  0.851    12          
  1.45     104         
  0.5577   21          
  -99.0    -99         
  0.7837   21          
  -99.0    -99         
  -99.0    81          
  -99.0    -99         
  -99.0    -99         
  1.36     72          
  1.345    12          
  -99.0    -99         
  -99.0    72          
  -99.0    -99         
  1.17     81          
  0.9743   23          
  -99.0    -99         
  1.577    72          
  2.439    104         
  0.97     81          
  -99.0    -99         
  0.566    21          
  -99.0    -99         
  -99.0    -99         
  0.6406   21          
  -99.0    -99         
  1.132    10          
  -99.0    -99         
  0.436    81          
  1.933    34          
  1.141    21          
  -99.0    -99         
  2.44     34          
  -99.0    -99         
  -99.0    -99         
  -99.0    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.4589   21          
  0.9349   81          
  0.4759   21          
  0.4535   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.3758   21          
  0.8487   25          
  0.376    72          
  2.414    34          
  2.0      45          
  -99.0    -99         
  -99.0    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.795    72          
  0.8545   21          
  0.4574   21          
  0.4565   21          
  -99.0    81          
  0.935    81          
  0.1888   81          
  -99.0    -99         
  0.9037   25          
  -99.0    -99         
  0.691    21          
  0.6912   81          
  0.1891   21          
  0.9917   21          
  -99.0    -99         
  -99.0    -99         
  0.9456   81          
  1.241    81          
  0.936    23          
  -99.0    -99         
  0.858    72          
  -99.0    -99         
  0.7782   21          
  1.447    72          
  0.6393   21          
  -99.0    -99         
  -99.0    72          
  0.5124   21          
  -99.0    81          
  0.4588   25          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.1085   81          
  2.0      34          
  3.362    106         
  0.5334   21          
  -99.0    -99         
  0.9419   81          
  -99.0    41          
  0.917    21          
  -99.0    -99         
  2.408    34          
  1.686    72          
  -99.0    -99         
  1.344    72          
  -99.0    -99         
  2.243    104         
  1.489    72          
  -99.0    -99         
  -99.0    -99         
  1.084    72          
  1.32     72          
  2.203    42          
  0.376    81          
  0.528    72          
  0.6816   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.9395   25          
  0.4569   21          
  1.181    23          
  -99.0    -99         
  0.8464   21          
  0.8507   21          
  0.318    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    81          
  0.53     10          
  0.8495   81          
  -99.0    -99         
  1.329    72          
  0.1632   21          
  0.2991   81          
  0.938    72          
  -99.0    -99         
  0.9447   81          
  0.847    4           
  -99.0    -99         
  2.453    81          
  2.245    34          
  -99.0    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  2.203    34          
  -99.0    -99         
  0.4541   25          
  -99.0    -99         
  0.8498   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.851    21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  2.592    104         
  0.3766   21          
  0.503    10          
  0.6817   21          
  -99.0    -99         
  0.7431   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.9369   21          
  -99.0    -99         
  0.3759   21          
  2.481    34          
  -99.0    -99         
  0.456    81          
  -99.0    -99         
  -99.0    -99         
  1.807    34          
  1.414    47          
  0.885    81          
  -99.0    -99         
  -99.0    -99         
  0.6421   21          
  -99.0    -99         
  -99.0    -99         
  0.5711   23          
  -99.0    -99         
  -99.0    72          
  0.0699   21          
  -99.0    -99         
  0.8785   81          
  0.561    72          
  -99.0    -99         
  0.8398   21          
  0.8472   21          
  0.3771   25          
  0.913    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    42          
  0.2988   21          
  -99.0    72          
  -99.0    -99         
  0.973    72          
  1.996    34          
  0.8392   21          
  0.1895   25          
  -99.0    -99         
  -99.0    -99         
  0.5196   21          
  0.5336   21          
  0.679    21          
  0.7834   21          
  3.663    72          
  0.6827   21          
  -99.0    -99         
  0.5577   25          
  -99.0    -99         
  0.5238   21          
  0.3359   21          
  -99.0    -99         
  0.6419   21          
  -99.0    -99         
  0.9378   21          
  -99.0    72          
  0.1892   21          
  2.133    34          
  -99.0    -99         
  1.743    34          
  -99.0    -99         
  -99.0    34          
  -99.0    -99         
  0.9378   21          
  2.33     105         
  1.004    81          
  -99.0    -99         
  1.224    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.169    72          
  -99.0    -99         
  -99.0    -99         
