#           _id            _ra            _de           zp_X            f24           df24            f16           df16           f100          df100           f160          df160           f250          df250           f350          df350           f500          df500           f850          df850          f1160         df1160          radio         eradio          _fch1         _dfch1          _fch2         _dfch2          _fch3         _dfch3          _fch4         _dfch4          KtotX          MassX          distX          spezX             zq         source   source_radio          distz            idz       goodArea
# 
            309    189.4114227     62.3808670            -99          25.47           15.9            -99          1e+10    1.50602e-05       0.670822    1.46628e-05        1.96904        1.84567        2.72754        2.77335         3.0466        3.70625         5.3209     5.1941e-42          1e+10    2.12993e-10        1.23164          9.406          3.054            -99            -99            -99            -99            -99            -99          1.991          2.647            -99            -99          6.947             -1           -999            -99              1           32.9            -99              0
            314    189.3889771     62.3803711            -99          75.26          5.604            -99          1e+10    1.50602e-05       0.497123        1.74703        1.17348            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          1.911          3.003          2.198          0.063          11.82          0.172          5.802          0.869          2.715          1.156            -99            -99          1.265             -1           -999            -99              1          21.03            -99              0
            316    189.3449707     62.3803024           2.17          34.05          5.048          9.529          14.68    1.50602e-05       0.502067        1.97276        1.50833            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10         -0.386          3.093          7.341          0.047          8.657          0.084          9.777          0.552          5.988          0.594          22.61          11.15        0.02893             -1            -99            -99              1          30.02            -99              0
            317    189.3559875     62.3801041           0.46          93.71          4.863           97.8          11.67        1.83739       0.409751         3.2044        1.95232            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          4.734          2.981          68.55          0.059          60.33          0.099           47.3          0.544          56.78          0.662          18.63          10.79        0.04843             -1            -99            -99              1           22.9            -99              0
            330    189.2572784     62.3797035           2.38           12.3          2.902            -99          1e+10      0.0134844       0.311373       0.682794       0.689191        1.92884        3.36529            -99          1e+10            -99          1e+10     5.1941e-42          1e+10            -99          1e+10          7.637           2.97            -99            -99          1.879           0.16            -99            -99          0.733          1.099          23.15           10.1         0.2094             -1            -99            -99              1          26.74            -99              0
            337    189.3263550     62.3793564              3          14.23          2.907          17.38          6.682       0.186574       0.315635    1.46628e-05       0.783978            -99          1e+10            -99          1e+10            -99          1e+10     5.1941e-42          1e+10            -99          1e+10        -0.4011          3.011          1.072          0.048          0.862          0.077          0.841          0.566           0.64          0.551          23.34          9.928        0.06551             -1            -99            -99              1          9.195            -99              1
            339    189.2628784     62.3790627           0.98          24.02          3.249            -99          1e+10     0.00403489       0.313842       0.238209       0.610651            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.008          2.997            -99            -99          3.967          0.134            -99            -99          2.206           0.96           22.1          10.04         0.4128             -1            -99            -99              1          22.43            -99              1
            340    189.2966461     62.3791313           1.48          24.24          3.371          13.83          6.428       0.226904       0.300054        1.15392       0.721342            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          1.178          3.255          5.156          0.065          5.331          0.089          1.142          0.768           3.47          0.633          22.56          10.21        0.02893             -1            -99            -99              1          8.351            -99              1
            343    189.3441925     62.3789711           0.86          91.33          4.385          63.68           12.2       0.694366       0.460526        2.24375        1.35247            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          3.843          3.039          18.03          0.048          13.32          0.083           11.7          0.534          8.816          0.578          21.09          10.36        0.02893             -1            -99            -99              1          26.21            -99              1
            356    189.3569031     62.3785439            1.3          97.34          3.829           42.5          10.52        2.02446       0.355093         3.7922        1.06486        1.96282        2.45935    2.90529e-07        4.52057            -99          1e+10            -99          1e+10            -99          1e+10          8.599          2.975          9.297          0.046           12.9          0.091          19.51          0.531          27.72          0.642          21.51          9.718         0.0824             -1            -99            -99              1          17.09            -99              0
            365    189.3375244     62.3778343           1.18          23.09          3.734          23.63          9.697       0.177014       0.459401        1.17394         1.3329            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10         0.6988          2.964          5.839          0.045          5.153          0.078           4.44          0.518          2.695           0.55          22.47          9.878        0.03746             -1            -99            -99              1          14.77            -99              1
            368    189.3711548     62.3778992           0.77          25.28          5.664          21.56          24.52    1.50602e-05       0.556369    1.46628e-05        1.52691            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          1.232          2.984          7.246          0.049          6.447          0.104          4.497          0.574          4.605          0.747           22.6            9.4         0.1099             -1            -99            -99              1          18.74            -99              0
            371    189.3935699     62.3781815            -99         0.2576          7.926            -99          1e+10    1.50602e-05       0.489591       0.535345        1.12875        3.83823         2.4258        1.16543        2.44405    3.10578e-07        3.74356            -99          1e+10       0.864485       0.992887           9.29          2.994          0.094          0.062          0.768          0.175          0.891          0.883         -2.607          1.156            -99            -99          2.354             -1           -999            -99              1          19.52            -99              0
            374    189.2759247     62.3777390           0.82            200          5.743            -99          1e+10        2.05042       0.314059        3.61991        0.66524        8.39117        1.95903        2.34218        2.03261            -99          1e+10            -99          1e+10            -99          1e+10          6.738          2.982          49.57          0.108          34.35          0.105          31.81          1.284          23.59          0.751          19.66          10.73         0.1236         0.8178              2             23              1         0.1447             -1              1
            375    189.2846832     62.3775330           1.26          95.96          4.813          90.23          12.03        1.31687       0.380847        2.59563       0.808168        4.45165         1.8616            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          5.567          3.161          30.75          0.078          28.91          0.095          20.78          0.913          19.58          0.667          21.05          10.79         0.8185             -1            -99            -99              1          7.135            -99              1
            376    189.4158325     62.3777733           2.83          247.5          9.575            -99          1e+10        1.71239       0.682348        5.54932        1.74878        12.8421        2.24837        12.0778        2.97632        11.8024        5.05922     5.1941e-42          1e+10       0.716004        1.23099           59.8            7.6            -99            -99            -99            -99            -99            -99          64.92          2.538          22.23          11.41         0.2536             -1            -99            -99              3          25.86            -99              0
            379    189.2998352     62.3774223           4.38          15.09          2.926      1.903e-07          6.339    1.50602e-05       0.333084    1.46628e-05        1.23984         3.0933         2.9941    2.90529e-07         5.1547        3.21192        7.20839     5.1941e-42          1e+10    2.12993e-10        1.14111       -0.08611          3.245          2.025          0.058          1.378          0.083          2.797          0.693          1.594          0.595          23.54          10.23         0.2428             -1              3             72              1         0.5069          26210              1
