# Origin_20cm     z_phot   ref_z_phot     z_spec   ref_z_spec                id__     chisq_tot        nfit_tot      chisq_star       nfit_star      chisq_dust        nfit_dust
  1               1.12     2              -99.0    -99                      994         1.71176               6     9.25706e-20               1         1.71176               4
  1               1.32     1              1.306    21                       995         1.12746              10        0.325627               4         0.80183               4
  1               0.97     2              0.948    72                      1002         1.81334               8        0.537871               4         1.27546               2
  1               2.85     1              -99.0    -99                     1005         14.8039              14          9.3881               5         5.41582               7
  2               0.96     1              0.946    72                      1006         2.74862              10        0.178596               4         2.57003               4
  1               0.97     1              1.029    21                      1008        0.948228              10        0.352444               4        0.595784               4
  1               2.24     2              -99.0    -99                     1023         3.44771              11        0.799935               5         2.64777               4
  1               1.69     1              -99.0    -99                     1026         4.34196              11         2.87831               5         1.46365               5
  1               0.72     1              0.7778   81                      1035         6.86545              10         3.11051               3         3.75494               5
  1               4.18     2              -99.0    -99                     1036         24.8146              15         8.43303               5         16.3815               8
  1               0.77     2              0.7703   81                      1037         4.41652               7        0.595982               3         3.82054               3
  1               1.06     1              1.06     21                      1042         10.6631              10         3.40973               4         7.25335               4
  1               2.43     1              -99.0    21                      1053         4.03419              16         1.08797               5         2.94622               9
  1               2.34     1              1.038    21                      1058          10.327              11         2.37652               4         7.95048               5
  1               0.59     2              -99.0    -99                     1064        0.612884               7     0.000476088               2        0.612408               4
  1               1.06     1              -99.0    72                      1075         2.87963              11         0.43358               4         2.44605               5
  1               1.71     1              -99.0    -99                     1076         13.2291              12         7.68426               4         5.54482               6
  1               0.99     1              0.938    81                      1077          3.8912              12        0.911634               4         2.97957               6
  1               0.23     2              -99.0    -99                     1081         1.08734               6     3.65197e-19               1         1.08734               4
  2               1.15     1              1.144    81                      1084         2.01991              13        0.490676               4         1.52923               7
  1               0.98     2              -99.0    -99                     1089        0.982589               9       0.0539734               4        0.928616               4
  1               2.62     1              -99.0    -99                     1091         15.5988              12         15.1382               5        0.460669               5
  2               0.04     1              3.53     21                      1094         22.1929              11         20.8047               5         1.38815               5
  1               1.09     2              -99.0    -99                     1101         4.55746               8         3.38886               3          1.1686               4
  1               0.47     1              0.4724   21                      1102         3.69945               6       0.0545868               2         3.64486               2
  1               1.32     1              1.363    81                      1103         1.43375              10        0.590332               4        0.843418               4
  1               0.59     1              0.5948   81                      1104        0.180079               8       0.0736292               3         0.10645               3
  1               0.89     1              0.9441   21                      1105         1.32919              10        0.636725               4        0.692463               4
  1               -99.0    -99            -99.0    -99                     1109         13.7654              11        0.230412               2          13.535               7
  1               1.46     2              1.457    72                      1113         14.1115              11          5.3186               4         8.79294               5
  1               0.37     2              0.3866   81                      1118         3.41168               6        0.077426               2         3.33425               3
  2               0.81     1              0.7997   21                      1121         113.276              10         3.55457               3         109.722               5
  1               3.29     1              -99.0    -99                     1123         5.37459              14         2.13622               5         3.23837               7
  1               1.05     2              1.023    72                      1125         1.98722               9        0.455403               4         1.53182               4
  1               2.62     1              -99.0    -99                     1129         9.55495              16         6.81179               5         2.74316               9
  1               0.19     2              0.2538   21                      1133         5.97651              11        0.230159               2         5.74635               6
  2               0.06     1              -99.0    -99                     1135         74.5441               8     3.58076e-18               1         74.5441               4
  1               0.48     2              -99.0    -99                     1140         2.12433               7      0.00604314               2         2.11829               4
  1               1.18     2              -99.0    -99                     1141         0.43334               9       0.0113203               3         0.42202               5
