# id    ra            dec          zSpec    zQuality   zssn  
  1402  189.3966675   62.3462334   -1.0     -99        -99   
  1416  189.2953033   62.3457298   2.291    -1         81    
  1419  189.3684387   62.3457222   1.148    1          72    
  1420  189.4457855   62.3456192   -1.0     -99        -99   
  1434  189.3603058   62.3453979   0.4852   1          21    
  1437  189.4282379   62.3454056   -1.0     -99        -99   
  1445  189.3995972   62.3452644   -1.0     -99        -99   
  1449  189.237915    62.3450661   0.513    -1         81    
  1452  189.4421844   62.3450241   -1.0     -99        -99   
  1458  189.2688293   62.3446274   -1.0     -99        -99   
  1469  189.1646271   62.3446312   1.102    2          72    
  1475  189.3695068   62.3441086   -1.0     -99        -99   
  1476  189.390274    62.3445091   0.8411   1          21    
  1477  189.4130554   62.3446426   -1.0     -99        -99   
  1479  189.4687042   62.3444061   -1.0     -99        -99   
  1480  189.171936    62.3445778   -1.0     -99        -99   
  1490  189.3427124   62.3442001   -1.0     -1         81    
  1491  189.3444214   62.343811    0.837    1          72    
  1495  189.4785156   62.344429    -1.0     -999       -99   
  1497  189.2808685   62.344162    -1.0     -99        -99   
  1501  189.331665    62.344101    1.433    1          72    
  1502  189.3385468   62.3440475   -1.0     -99        -99   
  1513  189.1672668   62.3437576   1.011    1          72    
  1515  189.3151245   62.3437462   1.195    1          72    
  1520  189.3083038   62.3435173   0.5325   1          25    
  1524  189.4081726   62.343502    -1.0     -99        -99   
  1525  189.4115906   62.3435402   -1.0     -99        -99   
  1532  189.1720886   62.3433228   -1.0     -99        -99   
  1533  189.2101135   62.3431511   0.746    1          72    
  1543  189.3660736   62.3429794   1.148    1          21    
  1544  189.401474    62.3429146   -1.0     -99        -99   
  1545  189.4420471   62.3430634   -1.0     -99        -99   
  1548  189.1973572   62.3429947   0.8894   1          21    
  1551  189.2336884   62.3429451   1.358    -1         81    
  1556  189.4217682   62.3429565   -1.0     -999       -99   
  1558  189.4372711   62.3423309   -1.0     -99        -99   
  1563  189.1660004   62.3427734   -1.0     -99        -99   
  1567  189.3759308   62.34235     0.6338   1          21    
  1569  189.44487     62.3423729   0.879    1          72    
  1579  189.3846283   62.3422318   1.303    1          72    
  1592  189.3932037   62.3418694   0.9376   1          21    
  1593  189.3981018   62.3417892   0.6813   1          21    
  1602  189.2438049   62.3415985   1.782    1          34    
  1604  189.471283    62.3415222   -1.0     -99        -99   
  1606  189.1903839   62.3414688   -1.0     -99        -99   
  1616  189.4429779   62.3411865   -1.0     -99        -99   
  1618  189.1705475   62.3409958   1.014    2          23    
  1622  189.3273926   62.3410263   1.02     1          21    
  1626  189.2294159   62.3407097   -1.0     -99        -99   
  1629  189.3170013   62.3409958   -1.0     -99        -99   
  1631  189.3630371   62.3408356   -1.0     -99        -99   
  1633  189.4148407   62.3407784   0.32     1          72    
  1634  189.4233398   62.3409157   -1.0     -99        -99   
  1638  189.1749573   62.3407669   -1.0     -99        -99   
  1644  189.2966614   62.3402939   0.6337   1          21    
  1648  189.3603973   62.3407288   1.76     -1         45    
