#   SAVEDid       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160       xfRad       xeRad      xf2000      xe2000
#
356       2.104       0.169       3.438      0.4085       3.074      0.4175       2.018       0.286      0.9014      0.1295      0.1871     0.02695     0.06835    0.009785    0.007864    0.001228     0.01161     0.00164
365      0.4077      0.3584       0.716        0.69       0.678       0.668      0.5386      0.5344      0.2749      0.2734      0.0642      0.0639     0.02426     0.02413    0.001776    0.001776     0.00423    0.004207
368     0.07841     0.04459     0.04368     0.02859     0.01694     0.01173    0.006995    0.004954     0.00244    0.001734   0.0004967    0.000353   0.0001953   0.0001388   6.895e-06   6.895e-06   3.547e-06   3.568e-06
371      0.4796      0.4099       1.141      0.9048       2.578       1.225       3.872       1.057       4.101       1.075       2.458       1.196       1.403       0.838    0.005311     0.00137      0.3449      0.2437
374       2.199      0.2885       4.146       0.485       3.942      0.7805       2.369      0.5705       1.043      0.2849       0.216     0.06505     0.08111     0.02519    0.009907    0.001373     0.01409    0.004594
375       1.413      0.4476       3.005      0.7165       3.827       1.411       3.071       1.491         1.6      0.8967      0.3835      0.2393      0.1459     0.09294    0.007643    0.002367     0.02563     0.01657
376       2.136       1.188       6.687       1.427       12.44        0.73       13.85        1.73       11.07       2.715       4.078       1.582       1.742      0.7625     0.02042      0.0034      0.3103      0.1423
379     0.05733     0.04507      0.2216      0.1722      0.4437      0.2159      0.5975      0.2065      0.6044      0.1327      0.3575      0.0501      0.1847     0.02445   0.0008643   0.0003187     0.03707     0.00696
381      0.5352       0.424       1.009       0.537       2.148       0.574        2.63        0.92       2.665        1.24        1.51      0.9129      0.7526      0.4815    0.003322    0.001554      0.1533      0.1032
385       1.631      0.7179       5.244      0.6635       9.276       0.804       10.27       1.581       8.178       1.688       2.896       0.746       1.204       0.338     0.01679    0.001475      0.2117      0.0623
390      0.1308     0.06525      0.1268      0.0814      0.0769      0.0559     0.04013     0.03049     0.01678      0.0131    0.003627     0.00286    0.001426    0.001125   3.853e-06   3.852e-06   0.0002783   0.0002194
391   2.115e-09   2.115e-09   2.456e-09   2.456e-09   1.977e-09   1.977e-09     1.2e-09     1.2e-09    5.61e-10    5.61e-10   1.339e-10   1.339e-10   5.265e-11   5.265e-11   2.793e-20   2.793e-20   1.027e-11   1.027e-11
394      0.8106      0.6074       1.729       0.599       2.885      0.6775       3.084       1.264       2.509       1.576       1.233       1.014      0.6241      0.5409    0.003283    0.003282      0.1377      0.1231
398      0.3237      0.2754      0.5133      0.4877      0.5022      0.4924      0.3658      0.3617      0.1829      0.1814     0.04329     0.04299     0.01666     0.01654    0.001293    0.001293    0.002975    0.002951
399      0.9929      0.5671       2.726       0.478        4.68      0.4345       5.258      0.9045       4.285      0.9885       1.575      0.4535      0.6677      0.2059    0.008149    0.001127       0.118     0.03824
401      0.6249      0.2035       1.363      0.3505       1.631      0.3705       1.235      0.2709      0.5909      0.1483      0.1296     0.03636     0.04832     0.01405    0.003504   0.0009105    0.008352    0.002498
407       8.023      0.9435        16.5       0.585       18.72       1.555          14       1.695       6.927       0.997        1.57       0.254      0.5804      0.0966     0.04143     0.00277     0.09877     0.01683
409       1.585      0.5815       2.149      0.7275       1.512      0.5251      0.7742      0.2728      0.3038      0.1096     0.05902     0.02314     0.02169     0.00873    0.006339    0.002166     0.00373    0.001532
413       0.821      0.5281        1.13      0.5761      0.8949      0.4561      0.5363      0.3217      0.2373      0.1565     0.05008     0.03531       0.019     0.01366     0.00325    0.001963    0.003343    0.002447
414      0.5109      0.4508      0.9511      0.9179      0.9417      0.9283      0.6548      0.6492      0.3113      0.3092     0.07366     0.07324     0.02787      0.0277    0.002386    0.002385    0.004865    0.004832
416      0.6197      0.4543      0.7512      0.6029      0.6244      0.5616       0.352      0.3267      0.1447      0.1365     0.03023     0.02877     0.01153     0.01099    0.002271    0.001767    0.002031    0.001933
418      0.6046      0.4815       1.301       1.177       1.442       1.382       1.079       1.051      0.5413      0.5307       0.124      0.1218     0.04568     0.04483    0.003212    0.003211    0.007848    0.007682
421      0.3253      0.2526      0.6536      0.6124      0.8209      0.8041      0.6751      0.6679      0.3548      0.3522     0.08522     0.08468     0.03232      0.0321     0.00165    0.001649    0.005646    0.005604
428       0.442      0.3828      0.8093      0.7487      0.8267      0.7783      0.6082      0.5858      0.3258      0.3172     0.07972     0.07798     0.03032     0.02963    0.001998    0.001998    0.005306    0.005174
429       0.355      0.3092      0.5696      0.5454      0.5112      0.5018      0.3839      0.3801       0.191      0.1897     0.04386     0.04358     0.01653     0.01642    0.001434    0.001434    0.002888    0.002867
430      0.4481      0.1335      0.9853      0.2167        1.18      0.2191      0.8601      0.1939      0.4118      0.1058     0.09041     0.02589     0.03371        0.01    0.002536    0.000558    0.005828    0.001779
431       1.023       0.525       1.361      0.4769       1.127      0.5385      0.6436      0.3614      0.2729      0.1687     0.05642     0.03745     0.02131     0.01446    0.004043    0.001797    0.003746    0.002568
432      0.6053      0.5347      0.7579      0.6891      0.6144      0.5866      0.3936      0.3819      0.1826      0.1785     0.03985     0.03901     0.01526     0.01494    0.002171     0.00217    0.002681    0.002681
433      0.8421      0.8409      0.9603      0.9587       1.297       1.297       1.493       1.492       1.315       1.315       0.596       0.596      0.2975      0.2976    0.001347    0.001347     0.07055     0.07055
437      0.7487      0.5833       1.418      0.4424       2.106       0.499       2.369       0.942       2.044       1.029      0.8584      0.5076      0.3851      0.2381    0.003085    0.001669     0.07018     0.04422
438       4.804      0.1615       8.999       0.472       8.482      0.8735       5.636      0.8225       2.536      0.4385      0.5266      0.1048      0.1918     0.03865     0.02318    0.001165      0.0324    0.006485
439       0.984       0.257      0.9457      0.4833       1.033      0.8319      0.8722      0.7828       0.493      0.4597      0.1284      0.1216     0.04975     0.04704    0.001574    0.001573    0.008868    0.008342
442       2.639      0.4845       5.151       0.437       4.808      0.6435       3.205       0.618        1.47       0.352      0.3107      0.0873       0.114     0.03284     0.01304    0.001185     0.01941    0.005645
449        5.09      0.3735       7.338       0.574       4.581       0.439       2.237       0.248      0.8445      0.0985      0.1712      0.0205     0.06453    0.007945     0.01669    0.001385     0.01139    0.001385
450       1.073      0.7583       1.739       1.064       2.669       1.145       2.926      0.7735       2.299      0.6725       1.162      0.5211      0.5675      0.2883    0.002821    0.001918      0.1156     0.06267
451      0.2278      0.1891      0.3216      0.3024      0.3215      0.3144      0.2271      0.2242      0.1112      0.1102     0.02487     0.02467    0.009491    0.009409   0.0008325   0.0008325    0.001677    0.001671
468     0.07762     0.04428      0.3015      0.1676      0.7043     0.08335       1.037      0.0765       1.085      0.2065      0.6296       0.214      0.3175      0.1231     0.00144    9.05e-05     0.06514     0.02891
481       1.387      0.5601       1.647       1.038      0.9517      0.7083      0.4523      0.3575       0.168      0.1375     0.03364     0.02826     0.01266      0.0107    0.004925    0.002201    0.002259    0.001866
482      0.5548      0.3743       1.553       1.151       2.126       1.605       1.784       1.347       1.097      0.8411      0.3493      0.2833      0.1399      0.1152    0.004218      0.0032      0.0244      0.0202
490      0.5703      0.2473       1.257       0.501       1.487      0.6384       1.085       0.565      0.5259      0.3005      0.1171     0.07227     0.04387     0.02747    0.003212    0.001342    0.007617    0.004812
498      0.8683      0.5727        2.41      0.9905       5.642      0.5715       7.309      0.7855       7.229       1.367       3.869       1.145       1.918      0.6495    0.009727    0.001453      0.3893      0.1535
501       1.342      0.8483       2.194       0.729       2.134       0.574       1.889      0.9071       1.315      0.8477      0.4226      0.3155       0.173      0.1308    0.002451    0.002451     0.03096     0.02278
502       0.645      0.3149       1.842       0.339       2.978      0.1495       2.983       0.509       2.121        0.62      0.6608      0.2664      0.2637      0.1152    0.005614           0     0.04582     0.02071
503      0.4703      0.2119       1.305       0.188       2.124      0.1085       2.072      0.3385       1.436       0.399      0.4332      0.1632      0.1709     0.06935    0.004003           0     0.02956     0.01241
505      0.4934      0.2903       1.456       0.385       2.466      0.0805        2.67      0.3205       2.099        0.48      0.7423      0.2617      0.3112      0.1236    0.004606   0.0001565     0.05495     0.02291
506      0.5825      0.5825         0.6         0.6      0.7425      0.7425      0.8645      0.8645      0.7985      0.7985       0.413       0.413      0.2154      0.2154    0.001334    0.001334      0.0507      0.0507
509       1.235      0.7647       1.763       1.181       1.372       1.069      0.7497      0.6164      0.3001      0.2547     0.06176     0.05364     0.02345      0.0205    0.004479    0.002903    0.004119    0.003605
510       7.032       0.876       12.16        0.52       10.91       1.774       6.259       1.407       2.654       0.721      0.5468      0.1712      0.2062      0.0675     0.03159    0.001775     0.03612     0.01218
512      0.8325      0.2395       1.763       0.444       2.077       0.701       1.624      0.6414      0.8181       0.356      0.1891     0.08917      0.0714     0.03451    0.004513    0.001205     0.01249    0.006169
516       0.173      0.1713      0.4633      0.4627       1.132       1.132       1.566       1.565        1.56        1.56      0.8745      0.8745      0.4419      0.4419    0.002184    0.002184     0.09385     0.09385
521      0.9169      0.4971       1.462       0.659       1.472      0.6767        1.01      0.5318      0.4835      0.2774      0.1061      0.0652     0.04018     0.02522     0.00351    0.001816    0.007078    0.004522
530       1.132      0.4629       1.829      0.7615       1.565      0.9117       0.886      0.5781      0.3718      0.2597     0.07678     0.05642     0.02903     0.02166    0.004587    0.001784    0.005087    0.003829
532       5.116      0.6815       10.47      0.5445       11.23        1.15       7.432       1.097       3.481      0.6345       0.748      0.1606      0.2822      0.0638     0.02582    0.002045     0.04939     0.01183
533      0.4676      0.3991      0.7147      0.6483       0.565       0.536       0.324      0.3113       0.135      0.1304     0.02928     0.02835     0.01118     0.01082    0.001849    0.001849    0.001976    0.001927
540        1.24      0.8893       1.844       0.743       2.216      0.6555       2.069       0.868       1.433      0.7452      0.4333      0.2528      0.1712      0.1021    0.003431    0.001595     0.02985     0.01781
541        2.35      0.1795        3.93       0.263       3.317      0.3245       1.855      0.2115      0.7712     0.09715      0.1515     0.02075     0.05588    0.007835     0.01033    0.000703    0.009639    0.001381
546       1.601      0.7743        5.59      0.7665       11.13       1.157       13.69       2.245       12.01       2.638       5.087       1.436       2.281       0.698     0.02034     0.00256      0.4131      0.1346
547       2.709      0.7795       7.813      0.6905       12.91        1.64       14.05        2.72       11.09       2.748        3.93       1.183       1.641       0.526     0.02274    0.002685      0.2887      0.0969
548       2.184      0.3645       5.155       0.161       7.648       1.119       6.901       1.557       4.356       1.227       1.201      0.3927      0.4618      0.1571     0.01345    0.002345     0.08003     0.02818
550      0.3336       0.182      0.7112      0.3929      0.8551      0.4829       0.654       0.385      0.3204         0.2     0.07198     0.04722       0.027     0.01792    0.001817    0.001049    0.004688    0.003135
552       3.169       0.401       5.507      0.7255       4.426       1.093       2.429       0.743      0.9774      0.3416         0.2     0.07745     0.07568     0.03022     0.01291    0.001165     0.01328    0.005369
554       1.294      0.3554       2.199      0.3505       1.914      0.4285       1.104      0.3134      0.4695      0.1546     0.09699     0.03581      0.0366       0.014    0.005718    0.001241    0.006413     0.00252
559       3.037       0.293       7.414      0.3475       9.379       0.841       7.452       1.071       3.816       0.711      0.8944      0.2026       0.336      0.0803     0.01969     0.00085     0.05819     0.01454
561      0.3883      0.2777      0.6268      0.5682      0.6859      0.6631      0.5178      0.5082      0.2638      0.2604       0.062      0.0613       0.024     0.02372    0.001393    0.001393    0.004263    0.004209
