#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
793   7.568e-08   2.153e-07   2.153e-07       83.12       59.44       23.68       59.44       23.68        2.47       0.312
804       1.067         1.3         1.3       6.318       7.841       5.001       8.802       4.392       1.211        0.06
805        9.85       7.989       7.989       19.29       19.58       12.42       22.34       10.92       1.471        0.21
807       96.03       202.5       202.5       344.6       291.8       109.8       473.6       181.8       2.798      0.1805
808      0.2329      0.2099      0.2099       3.529       3.542      0.3828       3.741      0.2795       0.473           0
809      0.2068      0.1877      0.1832      0.2912      0.5697      0.5697      0.6918      0.4729       0.476        0.02
825      0.4132      0.6228      0.6228        7.62       6.762       2.641       6.972       2.431       1.022           0
826     0.09369      0.4445      0.4445       5.344       4.586       1.878       4.771       1.693      0.7033        0.06
827           0       0.929       0.929       115.9       111.5        4.35       111.5        4.35       1.371        0.02
837           0       83.51       83.51       238.1       246.5       85.58       319.2       128.1       4.051        0.55
841    0.005301       378.9       378.9      0.1487       147.1       147.1       427.5       427.5       3.951        3.95
849      0.7263       2.182       2.182       29.44       23.24       9.157       23.42       8.975       1.601       0.124
860           0       43.26       43.26       207.6       186.1       27.73       225.5       45.16       3.573       0.038
866      0.9666       4.776       4.776       16.16       12.27       9.888       14.22       7.943       1.341      0.1325
867           0         1.6         1.6       5.677       6.745       3.545       6.978       3.433       1.295      0.1385
870           0      0.5459      0.5459       37.22        36.4      0.8244       36.88      0.3364        0.84           0
872       13.88       23.04       15.76       69.73       64.66       8.621       86.91       16.66       2.098      0.0805
877           0       1.314       1.314       60.89       54.51       6.381       54.67        6.22       1.593      0.0775
878      0.1018     0.09335      0.0408      0.3447      0.3442      0.1364      0.4321       0.109      0.2755           0
881       66.68       76.84       76.84        15.4        20.8        20.8       87.21       73.35        2.15       0.283
884         108       237.3       237.3       268.5       280.4       119.3       510.7         190        3.93       0.399
885        6.67       7.105       2.991       13.15       13.47       1.943       20.15       1.478      0.9032           0
886    0.007835     0.07525     0.07525       1.335       1.072      0.2973       1.127      0.2424       0.475           0
892       1.141       3.849       3.849        10.8       9.226       7.133       11.38       4.982        1.45           0
893       2.304       2.163       1.573       20.66       20.76       1.971       22.67      0.7717        0.94           0
899     0.03149     0.07821     0.07821      0.5491      0.4994      0.4944      0.5624      0.4403      0.4769        0.03
902       3.727       3.776       1.798       13.88       13.99       2.069       17.63       1.367       0.962           0
915           0       20.96       20.96       255.6       263.2       21.53       280.6       24.99       2.635           0
917       8.204       11.58       11.58       70.94       67.55        14.4       74.02       14.72        1.59       0.135
922       9.118        7.09        7.09       17.06       11.74       11.74       19.02       13.75       1.835      0.2275
923        11.4       24.13       18.79       192.7         189       40.01       207.7       47.04       2.065      0.1185
924     0.02154     0.08067     0.08067      0.3762      0.5714       0.494       0.622      0.4712      0.4641        0.09
926       3.417       3.892       3.892       7.143       8.629       8.629       10.79       7.612        1.53       0.164
928           0      0.1304      0.1304       2.089       1.187      0.9018       1.249      0.8401      0.8381        0.08
931      0.5422       1.189       1.189       3.795       4.377       2.959        4.68       2.764      0.7425        0.15
934     0.03207      0.2537      0.2537       3.159       2.919      0.8344       3.162      0.7051      0.7078           0
937       3.471       3.062       1.208       7.964       8.389       3.092       11.28       2.524       1.032           0
939       3.824        4.25       2.196       39.45        39.5       1.918       43.28      0.7509       0.947           0
950       189.2       177.2       129.7       107.9       122.5       53.01         300         100       3.131       0.087
951           0    0.004119    0.004119        0.31      0.2435     0.06654      0.2455      0.0645      0.1757        0.02
960     0.04031      0.1386      0.1386      0.8631      0.6294      0.6294       0.653      0.6057      0.3758        0.12
965       2.818       4.682       4.682       8.301       14.88       10.93       16.41       9.403        1.39       0.215
966      0.4611       1.046       1.046       9.425       9.072       3.209       9.928       2.353       1.303           0
972    0.003709     0.05129     0.05129     0.02775     0.09165     0.09165      0.1212      0.1112      0.2566        0.11
974       50.88       227.9       227.9       596.2       563.3       67.64       786.6       178.2       5.366      0.2425
994       2.654       7.434       6.734        1.34         6.7         6.7       10.62       7.423       1.119      0.1899
995       1.202       1.468       1.468        19.7       18.63       2.636        19.3       2.411       1.306           0
1002       1.553       1.952       1.548       10.69       10.73       2.356       12.55       1.519       0.948           0
1005       34.02         108         108       487.3         460       98.37       531.1       160.7       2.936      0.2595
1006       2.137       2.875       2.875       48.13       47.61       2.398       50.49      0.4777       0.946           0
1008       2.725       3.157       2.869       25.53       25.61       2.448       28.34      0.8509       1.029           0
1023       42.53       55.24       55.24       24.76          24       23.17       77.16       49.83        2.27      0.2625
1026           0       4.243       4.243       19.98       14.37        7.68       16.83       5.222        1.69       0.242
1035      0.4502       0.487      0.1684           0      0.1741      0.1741      0.5163      0.1505      0.7778           0
1036   1.219e-07    4.94e-07    4.94e-07       101.7       96.25       23.54       96.25       23.54        4.18       0.466
1037      0.2057      0.4134      0.4134        7.07       6.606       1.039       6.978      0.6666      0.7703           0
1042      0.8487      0.7921      0.5845       2.313       2.184       2.184       2.747       1.877        1.06           0
1053       106.3       102.4       102.4       83.53       79.53       42.74         164         102        2.43       0.309
1058       2.181       2.008      0.6764           0      0.5042      0.5042       2.008      0.6764       1.038           0
1064           0       0.138       0.138       1.998       2.612       1.636       2.657       1.591      0.5869        0.14
1075       4.309       4.648       3.667       8.962       10.42       6.448       14.57       5.605       1.195        0.04
1076       4.218       4.295       4.295       17.88       20.45       8.366       24.72       8.568         1.6       0.134
1077       3.253       3.552       1.547       12.33       12.45       2.024        15.8       1.093       0.938           0
1081     0.01274     0.04966     0.04966      0.7218      0.4741      0.4214      0.4781      0.4174      0.2293        0.11
1084        1.59       3.375       3.375       57.42       55.74       3.179       58.84      0.4655       1.144           0
1089       4.165       4.421       2.473       9.191       8.739       3.785       12.76       3.434       1.112        0.03
1091   8.335e-08   2.371e-07   2.371e-07       36.91       32.81       8.764       32.81       8.764       2.783       0.163
1094       48.29       83.58       83.58       288.9         295       49.63         367       66.22        3.53           0
1101       5.687       5.429       1.566       1.891       3.225       3.225       7.607       2.867       1.242        0.02
1102      0.2008      0.2284      0.1206       2.272       2.285      0.3554       2.488      0.2598      0.4724           0
1103       4.338       3.947       2.844       57.25       57.42       4.394       60.95       2.422       1.363           0
1104      0.2386      0.2387      0.1722       3.384       3.422      0.7465       3.644      0.5986      0.5948           0
1105       1.959       2.117      0.7298       15.64       15.69       1.245       17.68      0.6568      0.9441           0
1109       424.2       562.3       291.6       256.5       307.9       99.07       847.3       272.7       3.901         0.4
1113       1.737       2.388       2.388       18.35       17.36        6.65        18.3       6.557       1.457           0
1118           0     0.04447     0.04447       1.531       1.395      0.1359       1.435     0.09573      0.3866           0
1121      0.2643      0.3854      0.3854       4.465       3.936       1.683       4.321       1.297      0.7997           0
1123   8.133e-08   3.412e-07   3.412e-07       62.16       72.11       25.88       72.11       25.88        3.29       0.386
1125       1.706       1.587       1.587       2.912       3.499       3.499       4.815       2.596       1.023           0
1129       5.564       83.02       83.02       126.7       92.87        38.9       165.5       76.79       2.783       0.163
1133        0.01     0.02207     0.02207      0.1833      0.1355     0.08237      0.1561     0.06177      0.2538           0
1135           0    0.001218    0.001218      0.2362      0.2024     0.03376      0.2026     0.03357       0.131        0.01
1140      0.1828       0.383      0.3203      0.1061      0.5803      0.5803      0.8351      0.7012      0.4768        0.13
1141           0       3.917       3.917       30.23       25.33       7.561       27.22        9.45       1.274        0.09
1143     0.07214     0.06928     0.05607       1.141       1.144      0.1127       1.206     0.06702      0.2804           0
1144       2.299       2.739       2.739       1.082        4.89        4.89       5.567       4.394       1.351       0.189
1146    0.002582      0.2694      0.2694     0.02544      0.5359      0.5359      0.5359      0.5359       0.451        0.45
1147       7.484       6.893       2.842          11       10.52       3.059       17.07        2.94        1.26       0.061
1148        47.7       91.66       91.66       356.4         354       51.74       441.2       82.84       3.538      0.0185
1150           0       3.411       3.411       26.62        25.2       3.499       27.37       3.981       1.364           0
1159           0       30.89       30.89         523       498.9       24.07       517.5       39.33       3.199      0.0525
1160        9.94       17.39       17.39           0       2.198       2.198       18.75       16.03       2.285      0.2795
1167       1.809       130.9       130.9         258       217.9       44.11       341.2       120.3        2.92           0
1168       38.71       45.77       18.36       272.3       248.7        37.9       290.4       39.95       2.051        0.05
1172       3.504       3.895       3.895      0.6337        6.19        6.19       7.066       5.314       1.351       0.189
1181       1.187       4.047       4.047       8.228       7.722       7.722       9.763        7.28       1.606       0.213
1186       5.529       9.854       9.854       19.53       18.46       15.61       21.94       13.75        1.46       0.221
1202       4.388       3.814       3.814       7.249       8.027       8.027       11.52       7.035       1.777      0.1555
1208       3.621       3.446       3.446       14.28       15.37       6.229       17.07        6.93       1.499       0.192
1221      0.1865        1.61        1.61       12.97       15.25       6.223       15.96       5.504       1.247        0.09
1222      0.4342      0.6245      0.6245       5.397       4.631        2.97       4.941       2.661       1.102        0.04
1225      0.2553      0.2816      0.2816       4.464       5.442       3.395       5.531       3.305      0.5041        0.13
1235       1.315       3.165       3.165        26.6       26.27       2.347       28.37       1.885      0.8919           0
1239       9.957        9.49       3.636       35.36       35.55       2.244       44.97       1.463       0.836           0
1248           0       3.533       3.533       112.9       97.94       16.38       99.28       15.04       1.371       0.071
1252   4.314e-08       1.218       1.218       21.56       24.53       17.98       24.91        17.6        2.22        0.29
1253       4.584       5.322       3.178       23.99       25.91       7.786       30.46       6.991       1.847      0.0845
1262           0       81.68       81.68       246.9       175.8        82.1       247.5       117.8       3.796       0.272
1269       121.4       108.2       100.1       54.47        69.5       38.74       174.4       91.04       2.254      0.2455
1270      0.6444      0.9488      0.9488       5.616       5.941       2.341       6.768       1.766       1.083           0
1273      0.2215      0.3344      0.3344       2.065       1.769      0.9611       2.117      0.6805      0.7441           0
1278           0        2.08        2.08        24.3        22.4       6.436       22.45       6.391       1.517       0.114
1284           0       66.54       66.54       405.3       399.4       55.17       432.7       82.07       3.796       0.185
1285           0     0.01282     0.01282     0.01794      0.1809      0.1651      0.1856      0.1691      0.1165        0.07
1293           0      0.1272      0.1272       8.728       8.116      0.6122       8.116      0.6122      0.7939           0
1303      0.1869      0.1625      0.1625       1.303       1.219      0.7414       1.376      0.6154      0.6335           0
1306    0.002017    0.001658    0.001658   0.0002345    0.004385    0.004385    0.004385    0.004385       0.041        0.04
