# _id    _ra           _de          zp_X   f24        df24    radio      eradio   _fch1    _dfch1   _fch2    _dfch2   _fch3    _dfch3   _fch4    _dfch4   spezX   KtotX   MassX   zq    source   distz     idz     goodArea  
# 
  3654   189.3214874   62.3054771   3.39   25.93      6.799   4.985      2.753    3.166    0.038    3.309    0.067    5.074    0.419    5.92     0.478    -1.0    23.4    10.62   -99   -99      2.856     -99     1         
  3661   189.1664734   62.3054962   5.42   3.455      6.893   7.227      2.666    1.632    0.031    1.563    0.05     0.748    0.335    0.139    0.377    -1.0    -99.0   10.6    -99   -99      2.296     -99     1         
  3776   189.2336731   62.3035507   3.86   5.082      5.168   -0.669     4.694    2.449    0.037    2.246    0.065    3.02     0.409    2.152    0.469    -1.0    23.87   10.67   -99   -99      8.323     -99     1         
  3794   189.4371643   62.3033447   3.13   3.801      5.297   1.801      2.729    1.153    0.036    1.444    0.067    1.971    0.414    2.935    0.48     -1.0    24.92   10.7    -99   -99      7.74      -99     1         
  3860   189.3318176   62.3021889   2.6    4.731      5.373   -0.3083    2.633    1.742    0.037    1.951    0.066    2.689    0.417    2.159    0.47     -1.0    23.47   10.34   -99   -99      15.02     -99     1         
  3911   189.3355255   62.3016624   2.76   8.379      5.344   -0.3075    2.638    3.33     0.037    3.526    0.066    3.632    0.417    2.493    0.468    -1.0    23.84   10.18   -99   -99      9.554     -99     1         
  3912   189.3368378   62.3010941   4.01   12.01      4.883   2.068      2.661    2.716    0.037    2.323    0.065    3.957    0.417    3.099    0.465    -1.0    24.47   10.82   -99   -99      7.715     -99     1         
  3999   189.2878418   62.3004036   3.92   7.977      5.879   2.466      2.58     1.452    0.036    1.847    0.065    2.796    0.4      2.124    0.468    -1.0    24.03   10.65   -99   -99      12.29     -99     1         
  4012   189.1357117   62.3001556   2.73   17.43      6.272   0.0634     2.581    2.175    0.03     2.27     0.051    3.711    0.335    3.148    0.381    -1.0    23.53   10.27   -99   -99      4.07      -99     1         
  4072   189.3295898   62.2993546   3.81   5.24       4.462   2.112      2.653    0.657    0.036    0.519    0.066    0.127    0.41     0.245    0.466    -1.0    25.57   10.52   -99   -99      8.54      -99     1         
  4075   189.4618073   62.2990341   4.1    2.46       5.574   0.05584    2.788    0.699    0.04     0.89     0.073    -0.209   0.43     2.136    0.492    -1.0    24.23   10.34   -99   -99      10.97     -99     1         
  4077   189.4988098   62.2990532   2.8    6.412      7.946   11.59      2.965    3.303    0.045    4.281    0.078    3.625    0.522    4.74     0.561    -1.0    23.37   11.05   -99   -99      4.569     -99     1         
  4103   189.5043335   62.2987175   2.94   16.47      6.665   3.137      2.947    2.33     0.045    2.347    0.08     1.515    0.546    1.272    0.573    -1.0    23.57   10.3    -99   -99      5.2       -99     1         
  4135   189.1557922   62.2982674   3.2    10.8       5.739   -0.2852    2.571    4.684    0.031    5.298    0.049    5.506    0.316    6.348    0.36     -1.0    23.39   11.04   -99   -99      7.515     -99     1         
  4155   189.1168365   62.2980728   3.5    3.965      8.056   3.304      2.608    1.733    0.031    1.867    0.055    1.647    0.359    2.217    0.406    -1.0    22.8    10.3    -99   -99      5.968     -99     1         
