# SAVEDid  xf100      xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160
#
437      0.2157      0.0704       1.138      0.4134       2.578       0.634       3.594      0.9535       3.271       1.069       1.394      0.6366      0.6288      0.3159
438       4.638      0.3095       8.586      0.5565       7.996        0.69       5.281       0.592       2.361      0.3075      0.4875       0.072      0.1774      0.0265
439      0.1074      0.1074      0.3093      0.3093      0.4899      0.4899       0.454       0.454      0.2652      0.2652        0.07        0.07      0.0271      0.0271
442       2.078      0.4505       4.324       0.455       4.579       1.117       3.351       1.191       1.628      0.6926      0.3646      0.1777      0.1363     0.06849
449       4.674       0.405       6.202      0.5375       3.639      0.3675        1.72      0.1975      0.6335     0.07615      0.1258      0.0155     0.04716     0.00587
450      0.1003     0.05192      0.4369      0.2649        1.39      0.7197       2.135       1.105       2.202       1.139       1.425      0.8817      0.7424      0.4816
451      0.2149      0.2149      0.3601      0.3601      0.3646      0.3646      0.2549      0.2549      0.1251      0.1251     0.02801     0.02801     0.01069     0.01069
468     0.09217     0.04153      0.3962      0.1928       1.393      0.4495       2.259       0.637        2.48       0.588       1.495      0.5618      0.7759      0.3352
481       1.426      0.5016       1.575      0.9116      0.8533      0.5877      0.3915       0.288      0.1417      0.1085     0.02776      0.0219     0.01038    0.008242
482      0.1856     0.07125      0.5812      0.2137       1.058      0.4268       1.172      0.6031      0.9249      0.5751      0.3176      0.2239      0.1313      0.0957
490      0.4955      0.2151       1.162      0.4551       1.369      0.5509       1.072      0.4962      0.5619      0.2897      0.1351     0.07635     0.05201     0.02994
498      0.2346      0.0623       1.092      0.3839         3.7      0.6735       5.821        0.59       6.221       0.904       3.706       1.124       1.874       0.658
501       0.284      0.2399      0.9442      0.7389       1.731       1.299       1.798       1.308       1.308      0.9852      0.4195      0.3287      0.1686      0.1338
502      0.1584     0.03405      0.6082      0.1294       1.267       0.258       1.373       0.441       1.051      0.4561      0.3516      0.1882       0.144     0.08153
503       0.196     0.04625      0.6745     0.09725       1.342       0.119       1.434      0.3135       1.089      0.3834      0.3606      0.1686      0.1473     0.07418
505      0.1676      0.0305      0.7593      0.2307       1.728       0.584        2.12        0.94       1.828      0.9703      0.7109      0.4471      0.3084      0.2042
506      0.3419      0.3419      0.4015      0.4015      0.3118      0.3118        0.54        0.54       0.826       0.826      0.7625      0.7625      0.5425      0.5425
509       1.009      0.6089       1.519      0.9562       1.108      0.8123      0.5843      0.4537      0.2277      0.1831     0.04572     0.03777     0.01722     0.01434
510       6.205      0.4295       11.22        0.65       10.34       1.528       5.997       1.181       2.561      0.6005      0.5302      0.1423      0.2003       0.056
512      0.7231      0.3029       1.688       0.525       2.049       0.464       1.684       0.507      0.8881      0.3099      0.2145       0.085     0.08219     0.03402
516      0.4216       0.187      0.7687      0.1318       3.787       1.341       9.094       1.337       16.02       1.055       18.06       5.895       13.55       6.255
521       0.609      0.2918       1.324      0.5537       1.549      0.6979       1.099      0.5205       0.536      0.2638      0.1193      0.0608     0.04537     0.02339
530      0.8817      0.3954       1.655      0.7462       1.437      0.8717      0.8167      0.5493      0.3436      0.2461     0.07103     0.05337     0.02686     0.02047
532       4.194      0.2295       9.796      0.5345       11.29       0.615       7.788       0.426        3.76      0.2055      0.8301     0.04535      0.3161     0.01725
533      0.4451       0.328      0.6996      0.5154      0.5654      0.4166      0.3263      0.2404      0.1363      0.1005     0.02632      0.0194    0.009524    0.007016
540      0.2889      0.2889      0.9545      0.9545       1.626       1.626       1.914       1.914       1.567       1.567       0.545       0.545      0.2253      0.2253
541       2.042      0.5395        3.44       0.206       3.167      0.8965       1.899      0.7425      0.8415      0.3935      0.1765     0.09378     0.06669     0.03681
546      0.8937      0.1393       4.437       0.743        11.7       1.655       16.83        2.58       15.74       3.405        7.05       1.938       3.231      0.9565
547        1.23      0.1605       5.936       0.846       13.36       1.605       16.02       3.065       13.43       3.469       4.992       1.649       2.121      0.7585
548       2.184       0.114       6.609      0.3375       9.362       0.478       7.982      0.4075       4.764       0.257       1.237      0.0715      0.4651     0.02715
550      0.2551      0.1692      0.6043      0.3807      0.7346      0.4655       0.604      0.4071      0.3206      0.2286       0.078      0.0583     0.03008     0.02277
552       3.022       0.286       4.883      0.4775       3.889       0.544       2.115       0.343      0.8441      0.1511      0.1711      0.0331     0.06454     0.01281
554       1.009      0.2589       1.895      0.3685       1.768      0.4955       1.032      0.3368      0.4427      0.1599      0.0921      0.0361     0.03485     0.01402
559       2.445       0.424        6.48       0.679       8.781       0.792       7.448       1.252       4.064        0.97       1.018      0.3111      0.3932       0.127
561      0.2203      0.2203      0.4161      0.4161      0.3946      0.3946      0.2804      0.2804      0.1502      0.1502     0.03719     0.03719     0.01441     0.01441
562      0.2282        0.17       1.094      0.8294       2.042       1.496       2.137       1.524       1.823       1.344      0.7055      0.5435      0.3042      0.2381
564       1.152       0.032       6.138      0.1705       19.75        0.55       29.25       0.815       29.53        0.82       15.19       0.425       7.273       0.202
581      0.2979      0.2979      0.5895      0.5895       0.794       0.794      0.6775      0.6775      0.3681      0.3681       0.091       0.091     0.03463     0.03463
593       1.841       0.262       5.348       0.729       8.636       1.066       8.027        1.01       4.621        0.69       1.201      0.2081      0.4612     0.08455
597      0.1528      0.1334      0.4982      0.4236      0.9014      0.7426      0.9129      0.7451       0.655      0.5351      0.2021      0.1675     0.08007     0.06663
598       1.776      0.4105       4.487      0.8015       5.531       1.143       4.429       1.071       2.357      0.6945      0.5757      0.1985       0.221      0.0801
604       1.585      0.8824       2.054      0.9475       1.334      0.7602      0.7731      0.5209      0.3332      0.2475     0.06993     0.05467     0.02654     0.02101
606      0.3932      0.1754      0.8987      0.3804       1.033      0.4764      0.7176      0.3474      0.3466       0.174     0.07644     0.03966     0.02904     0.01524
620        1.27      0.2938       2.812       0.641       2.936        0.91       1.841      0.6575      0.8381      0.3299      0.1792     0.07635      0.0681     0.02977
621      0.8762      0.1069       4.032      0.4545       8.578      0.8015       9.624       1.046       7.786        1.16       2.739      0.5435       1.137      0.2475
622      0.2584      0.2584       0.577       0.577       0.821       0.821      0.7385      0.7385      0.4177      0.4177      0.1072      0.1072      0.0413      0.0413
628       0.456      0.2073       1.112      0.4408        1.35      0.4771       1.039      0.3542      0.5436      0.1976       0.129     0.05124     0.04927     0.02036
631       1.267       0.211       2.392      0.3985       2.232      0.4145       1.471      0.3025      0.6565      0.1429      0.1351     0.03105     0.04918     0.01135
637       2.014       0.541       2.928      0.9885       2.151       1.081       1.136       0.655      0.4457      0.2789     0.08928     0.05942     0.03356     0.02274
638       6.933       1.129       8.385       1.365       5.511      0.8975       2.687       0.438       1.007      0.1642      0.1837     0.02995     0.06638     0.01081
652      0.4437      0.1303       1.302      0.3482       2.223        0.52       2.158      0.4555       1.325      0.3351      0.3633       0.111      0.1407     0.04564
658       2.068       0.008       11.04       0.045       35.46        0.14       52.49        0.21       52.94        0.21       27.18       0.105       13.02       0.055
659      0.3433      0.0899       1.497      0.5323       5.051      0.9445       8.246       1.072       9.255       2.095        5.75       2.304       2.965       1.347
661      0.2075      0.2075       0.464       0.464       0.642       0.642       0.555       0.555      0.3068      0.3068      0.0813      0.0813     0.03189     0.03189
664      0.1326      0.1326      0.6215      0.6215       1.124       1.124       1.147       1.147      0.8315      0.8315      0.2907      0.2907      0.1216      0.1216
669       3.618      0.3145       6.152       0.535       5.301      0.4605       3.269       0.284       1.407      0.1225      0.2795      0.0243      0.1014    0.008825
672       1.404      0.3275       2.071      0.4825       1.591       0.371      0.8744      0.2036      0.3562       0.083     0.06751     0.01572      0.0244    0.005685
689       1.109      0.7817        1.45      0.8418       1.036      0.5739       0.609      0.3834      0.2644      0.1799     0.05533     0.03989     0.02096     0.01538
692       7.912       0.342       11.67       0.505       7.713       0.333       3.902       0.169       1.481       0.064      0.2986      0.0129      0.1127      0.0049
697      0.4896       0.121       1.575      0.2955       2.946       0.434       3.004       0.598       2.129      0.5175      0.6418       0.183      0.2531      0.0761
702      0.1731      0.1731       0.593       0.593      0.9795      0.9795       0.962       0.962      0.7915      0.7915      0.2799      0.2799      0.1164      0.1164
710        0.21        0.21      0.3482      0.3482      0.3059      0.3059      0.2208      0.2208      0.1117      0.1117     0.02574     0.02574     0.00986     0.00986
713      0.4022      0.2154      0.7649      0.4072      0.8013      0.4778      0.5024      0.3161      0.2287      0.1494     0.04909     0.03315     0.01871     0.01276
714      0.1811      0.0306      0.8453       0.138       2.752      0.4145       4.246        0.45       4.469       0.602       2.415       0.425       1.177      0.2238
718      0.6563      0.3847       1.515      0.8494       1.803       1.098       1.326      0.9061      0.6564      0.4866      0.1493      0.1173     0.05698     0.04541
719      0.1661      0.1661      0.4562      0.4562       0.691       0.691      0.6395      0.6395       0.465       0.465       0.148       0.148     0.05945     0.05945
721      0.4839      0.2437      0.8596      0.4285      0.7719      0.4102      0.4416      0.2422       0.185      0.1038     0.03838     0.02197     0.01455     0.00838
729      0.8963      0.3547         1.4       0.387       1.049        0.29      0.5817      0.1736      0.2476     0.08345     0.04898     0.01815     0.01803    0.006885
737       5.752      0.1575       9.617      0.2625       7.983       0.218        4.38      0.1195       1.776      0.0485      0.3583      0.0098      0.1346      0.0037
740       0.529       0.529       0.851       0.851       0.696       0.696      0.3846      0.3846      0.1551      0.1551     0.03177     0.03177     0.01203     0.01203
748      0.2465      0.2465      0.4363      0.4363       0.502       0.502      0.4432      0.4432      0.2565      0.2565      0.0677      0.0677      0.0265      0.0265
749       1.445      0.2965       1.744      0.3575       1.143      0.2345      0.5567      0.1142      0.2083      0.0427     0.03801     0.00779     0.01373     0.00281
753      0.2835      0.2835      0.3113      0.3113      0.2201      0.2201      0.1149      0.1149      0.0444      0.0444     0.00903     0.00903    0.003419    0.003419
760      0.6964      0.2479       1.439      0.4265       1.582      0.6028       1.035      0.4419       0.486      0.2243      0.1059     0.05224     0.04037     0.02034
762       2.196      0.8365       2.954         0.7       2.545       1.067       1.468      0.7496      0.6296      0.3607      0.1305     0.08142     0.04928     0.03156
