#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              0       0.912489            664       0.910218      0.0643324            -99            -99            -99            -99
              1        11.1829            669        6.85041        7.88316        2.87519        2.77822            -99            -99
              0        3.86989            672        3.68526        1.18107            -99            -99            -99            -99
              0        1.01116            689        1.00938      0.0600315            -99            -99            -99            -99
              1        24.4872            692        14.9727        11.5282        15.2232        3.11141        1.05609            -99
              0        2.01055            697        1.50955          1.328            -99            -99            -99            -99
              0        2.63586            702       0.228235        2.62596            -99            -99            -99            -99
              0    4.30769e-05            710    4.00213e-05    1.59348e-05            -99            -99            -99            -99
              0         1.5024            713         1.5024    2.18741e-05            -99            -99            -99            -99
              0        4.27848            714        1.36467        3.84487        1.28842    6.40573e-08     3.5485e-08    3.15182e-10
              0        2.80078            718       0.764572         2.6944            -99            -99            -99            -99
              0        1.87117            719       0.356536        1.83688            -99            -99            -99            -99
              0        2.83835            721       0.175997        2.83289            -99            -99            -99            -99
              0        4.37115            729        3.30007        2.86644            -99            -99            -99            -99
              1        24.2459            737        19.6773        12.7624        6.05653         1.0521            -99            -99
              0        2.03723            740        2.03723    7.20039e-06            -99            -99            -99            -99
              0    3.77826e-05            748    3.39495e-05    1.65818e-05            -99            -99            -99            -99
              0        1.67035            749    1.53768e-05        1.67035            -99            -99            -99            -99
              0        0.67097            753        0.67097            -99            -99            -99            -99            -99
              0        2.67016            760        2.31866        1.32423            -99            -99            -99            -99
              0        2.98044            762        2.96178       0.332948            -99            -99            -99            -99
              0       0.652544            768      0.0237563       0.652111            -99            -99            -99            -99
              0        3.01552            776        1.53944        2.59297            -99            -99            -99            -99
              0       0.877102            779       0.877102    2.28171e-05            -99            -99            -99            -99
              0        1.29501            786       0.742343        1.06112            -99            -99            -99            -99
              0    5.69187e-05            793    5.19131e-05    2.33402e-05            -99            -99            -99            -99
              0        1.63688            804       0.846211        1.40118            -99            -99            -99            -99
              0        2.98735            805        1.95875        1.01148        2.01605            -99            -99            -99
              1        8.55492            807        6.34112        5.07341        2.44028          1.119    4.34588e-08       0.173865
              1        8.09518            808        7.81111        2.12567    5.05036e-08            -99            -99            -99
              0       0.281825            809       0.281737      0.0070622            -99            -99            -99            -99
