#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
1208       1.712       1.601       1.601       18.28       21.08       7.567       22.76       7.796       1.521      0.2145
1221     0.08216       1.436       1.436       14.76        15.1       6.271       15.14       6.232       1.167      0.1703
1222      0.2294      0.2618      0.2618       2.801       3.619       3.022       3.889       2.898      0.9219      0.1201
1225     0.03504        1.65        1.65       4.558       5.468       3.489       6.063       3.845      0.5041        0.13
1235      0.5124       15.42       15.42       26.38       23.22       6.775       35.71       13.28      0.8919           0
1239       21.47          28          28       27.63       26.59       6.114       53.49       22.99       0.836           0
1248       6.263       26.61       26.61       76.55       81.71       39.51       94.64       51.04        1.24       0.202
1252           0       3.522       3.522       9.183       13.83       8.902       15.13       7.608        2.22        0.29
1253       4.345       3.777       3.777       28.61       31.15       8.757       35.77       6.811       1.847      0.0845
1262           0        10.1        10.1       709.3       753.7       127.3       755.4         129       3.859       0.209
1269           0       83.84       83.84         125       137.2       71.58       172.8       95.42        2.21       0.289
1270      0.6081      0.7997      0.7997       6.098       6.409       2.114       7.243       1.455       1.083           0
1273           0      0.2852      0.2852       3.034       2.383      0.8701       2.672      0.5891      0.7441           0
1278       2.479       3.518       3.518       11.25       16.83       8.443       18.38       7.819        1.54       0.183
1284           0       3.659       3.659       381.2       302.3         112       305.6       112.9        3.57       0.411
1285     0.01444      0.1203      0.1203      0.1667       0.204      0.1937      0.3155      0.3046      0.1465         0.1
1293       2.306       2.147       2.147       8.585       8.098       1.206       10.08       2.181      0.7939           0
1303      0.1504       0.122       0.122       1.807       1.771      0.6099       1.854      0.5704      0.6335           0
1306   8.494e-08   0.0002557   0.0002557   1.563e-06    0.006015    0.006014    0.006015    0.006014       0.041        0.04
1313      0.4151      0.3076      0.2396       1.658       1.428       1.068       1.627       1.063      0.4067        0.08
1315       4.218        3.88       2.958       38.92       45.26        10.3        49.8        9.56       1.798      0.1365
1320      0.1952       1.154       1.154        14.8        15.9       7.604          16       7.502       1.137      0.1898
1334           0      0.4593      0.4593       7.495       14.57       10.88       14.89       10.55        1.68       0.241
1335       1.531       1.504       1.504       12.11       10.98        4.83       12.19       5.361       1.028      0.1699
1337       12.12       8.531       8.531       9.148       15.85       6.705       22.21       10.16       0.921        0.11
1338           0       4.372       4.372       37.98       35.26       2.718        38.2       4.611       1.358           0
1341         1.5       2.115       2.115       19.56       20.47       2.506       22.46       3.072       1.008           0
1342           0   0.0002797   0.0002797   1.538e-06    0.004499    0.004498    0.004499    0.004498       0.041        0.04
1348     0.08931     0.08837     0.08837      0.7568      0.8037      0.5171      0.9122      0.4857      0.5233        0.04
1350           0       2.052       2.052       21.15       15.53       9.339       15.75       9.119       1.156      0.1902
1355           0       2.342       2.342         8.9       12.55       8.608       13.27       7.968       1.192        0.19
1357           0       1.102       1.102       12.88       12.82       3.945       13.78       2.985       1.365           0
1367           0      0.6618      0.6618        17.8       14.92       2.878       15.39       2.409       1.787           0
1368           0       23.23       23.23       214.8       222.2       107.9       227.9       110.4        2.54       0.319
1369       1.979       18.07       18.07       46.08       63.95       32.38       83.34       44.46        2.11        0.28
1371           0      0.4468      0.4468        5.65       4.709      0.9409       5.156      0.4941       1.037           0
1384           0       14.71       14.71       80.86       54.22       26.64       60.74       32.96        1.32       0.209
1387       992.1        1671        1671        2013        1645        1619        2798        2772       4.501         3.4
1391      0.2967      0.4183      0.4183       3.812       3.295       1.279       3.685      0.8889       1.038           0
1393           0      0.6227      0.6227       19.87       20.88       11.41       21.22       11.69        1.23        0.17
1394           0      0.2506      0.2506       4.132       4.091     0.04131       4.342      0.2093      0.2995           0
1396      0.2043      0.3795      0.3795       2.192        1.89       1.353       2.031       1.243      0.7152        0.15
1401       6.127       5.088       1.039       34.17       24.58       19.23        29.7       18.56       2.072      0.0795
1402           0       2.142       2.142       29.32       50.68       30.13        51.7       29.77        1.84       0.256
1416      0.3143       3.335       3.335       20.77       19.69        8.63       22.55       5.774       2.291           0
