#                      id              ra               de
#
                      327      53.1944812     -27.6555487
                      328      53.1991210     -27.6556694
                      329      53.0942119     -27.6557943
                      330      53.0941660     -27.6565484
                      331      53.1254612     -27.6557759
                      332      53.1522473     -27.6558940
                      333      53.1686907     -27.6557512
                      334      53.0903255     -27.6559178
                      335      53.1483378     -27.6559686
                      336      53.1927280     -27.6559205
                      337      53.0877033     -27.6560848
                      338      53.1275824     -27.6560661
                      339      53.1890859     -27.6563501
                      340      53.0981513     -27.6560149
                      341      53.1558258     -27.6560697
                      342      53.1711123     -27.6562841
                      343      53.1831600     -27.6561246
                      344      53.1951591     -27.6562635
                      345      53.1045872     -27.6562917
                      346      53.1288611     -27.6566363
                      347      53.1805373     -27.6565982
                      348      53.0789273     -27.6568679
                      349      53.0981234     -27.6565149
                      350      53.1093231     -27.6567462
                      351      53.1257132     -27.6568485
                      352      53.1250496     -27.6570171
                      353      53.1329279     -27.6566550
                      354      53.1757960     -27.6568174
                      355      53.0973700     -27.6567402
                      356      53.1473545     -27.6570546
                      357      53.1571987     -27.6567318
                      358      53.1627744     -27.6569559
                      359      53.1634588     -27.6575453
                      360      53.1877282     -27.6567099
                      361      53.0652515     -27.6569522
                      362      53.1116001     -27.6569408
                      363      53.1391761     -27.6570764
                      364      53.1412273     -27.6570569
                      365      53.1519805     -27.6573339
                      366      53.0818106     -27.6577557
                      367      53.1001149     -27.6572367
                      368      53.1082178     -27.6586436
                      369      53.1073656     -27.6574274
                      370      53.1080265     -27.6576862
                      371      53.1220501     -27.6572026
                      372      53.1592692     -27.6572157
                      373      53.1701098     -27.6572004
                      374      53.1695221     -27.6579039
                      375      53.0867621     -27.6572505
                      376      53.0943877     -27.6571809
                      377      53.0966080     -27.6573745
                      378      53.0971111     -27.6577692
                      379      53.1157473     -27.6575158
                      380      53.1783750     -27.6575387
                      381      53.0909912     -27.6573468
                      382      53.1485445     -27.6576612
                      383      53.1858891     -27.6577075
                      384      53.1975253     -27.6574235
                      385      53.0735904     -27.6575875
                      386      53.0759985     -27.6576422
                      387      53.0791828     -27.6576315
                      388      53.0848803     -27.6576150
                      389      53.1007830     -27.6580669
                      390      53.1554204     -27.6575133
                      391      53.1727706     -27.6577186
                      392      53.1979988     -27.6575238
                      393      53.0836120     -27.6579355
                      394      53.0910392     -27.6579546
                      395      53.0923408     -27.6580326
                      396      53.0982368     -27.6577688
                      397      53.1115159     -27.6577711
                      398      53.1346542     -27.6580083
                      399      53.1366748     -27.6577434
                      400      53.1397859     -27.6580448
                      401      53.1653563     -27.6577224
                      402      53.1812189     -27.6580856
                      403      53.1939238     -27.6577934
                      404      53.0935154     -27.6579356
                      405      53.1442022     -27.6580757
                      406      53.1544391     -27.6578941
                      407      53.1213135     -27.6584278
                      408      53.1258196     -27.6584383
                      409      53.1379648     -27.6581931
                      410      53.1464590     -27.6582874
                      411      53.1896993     -27.6581486
                      412      53.1935126     -27.6581024
                      413      53.1990235     -27.6579962
                      414      53.0672844     -27.6582766
                      415      53.0965465     -27.6584700
                      416      53.1226444     -27.6584242
                      417      53.1370492     -27.6585072
                      418      53.1636647     -27.6586048
                      419      53.0704780     -27.6583892
                      420      53.0768562     -27.6588169
                      421      53.0949310     -27.6586593
                      422      53.1330763     -27.6585300
                      423      53.1498450     -27.6586082
                      424      53.1652498     -27.6586146
                      425      53.0932527     -27.6587952
                      426      53.1110125     -27.6588739
                      427      53.1116160     -27.6596241
                      428      53.1188422     -27.6586110
                      429      53.1421364     -27.6588909
                      430      53.1747447     -27.6589112
                      431      53.0977146     -27.6590105
                      432      53.0645886     -27.6588383
                      433      53.0796718     -27.6593255
                      434      53.0813046     -27.6591499
                      435      53.0904542     -27.6592462
                      436      53.1594523     -27.6591432
                      437      53.1894108     -27.6591176
                      438      53.2002045     -27.6588289
                      439      53.0519271     -27.6590813
                      440      53.0875298     -27.6593035
                      441      53.1143136     -27.6598141
                      442      53.1240441     -27.6593462
                      443      53.1475722     -27.6591593
                      444      53.1531472     -27.6594042
                      445      53.1820649     -27.6593333
                      446      53.1926121     -27.6590935
                      447      53.1975931     -27.6590772
                      448      53.0598692     -27.6594077
                      449      53.0713068     -27.6593177
                      450      53.0740723     -27.6594113
                      451      53.0780208     -27.6594267
                      452      53.1361219     -27.6594587
                      453      53.1670515     -27.6596575
                      454      53.1767586     -27.6592433
                      455      53.0554854     -27.6596302
                      456      53.1061696     -27.6593882
                      457      53.1229889     -27.6594357
                      458      53.1710964     -27.6597651
                      459      53.0827424     -27.6600824
                      460      53.0849698     -27.6600903
                      461      53.0989333     -27.6597477
                      462      53.1377526     -27.6599157
                      463      53.1470157     -27.6597399
                      464      53.1639111     -27.6598998
                      465      53.1915726     -27.6596545
                      466      53.0714381     -27.6597296
                      467      53.1005234     -27.6598744
                      468      53.1616698     -27.6597604
                      469      53.1654394     -27.6600152
                      470      53.1197113     -27.6598922
                      471      53.1349046     -27.6600429
                      472      53.1502277     -27.6602875
                      473      53.1697522     -27.6602007
                      474      53.1761938     -27.6600985
                      475      53.1780890     -27.6602661
                      476      53.0688711     -27.6605234
                      477      53.0700350     -27.6601420
                      478      53.0726795     -27.6602176
                      479      53.0719746     -27.6605078
                      480      53.0932579     -27.6603155
                      481      53.0953226     -27.6602076
                      482      53.1163717     -27.6602328
                      483      53.1311657     -27.6601490
                      484      53.1592863     -27.6603658
                      485      53.1596430     -27.6611191
                      486      53.1846696     -27.6603440
                      487      53.0769763     -27.6602449
                      488      53.0918872     -27.6605040
                      489      53.1086000     -27.6602294
                      490      53.1280100     -27.6605917
                      491      53.1516966     -27.6603817
                      492      53.0639550     -27.6605636
                      493      53.0653913     -27.6604110
                      494      53.0748289     -27.6606982
                      495      53.0776927     -27.6611909
                      496      53.0762648     -27.6616356
                      497      53.0972703     -27.6606928
                      498      53.1292830     -27.6606025
                      499      53.1746032     -27.6604714
                      500      53.1735829     -27.6612077
                      501      53.1741722     -27.6610863
                      502      53.1800915     -27.6605067
                      503      53.1923452     -27.6603896
                      504      53.0627130     -27.6606141
                      505      53.1032945     -27.6607678
                      506      53.1973251     -27.6607981
                      507      53.1967024     -27.6608860
                      508      53.0717203     -27.6607907
                      509      53.0791438     -27.6607636
                      510      53.0857998     -27.6609417
                      511      53.0870547     -27.6606792
                      512      53.1001671     -27.6609452
                      513      53.1478738     -27.6611577
                      514      53.1470739     -27.6616698
                      515      53.1606812     -27.6610713
                      516      53.1899776     -27.6610305
                      517      53.0467256     -27.6610345
                      518      53.0654933     -27.6609988
                      519      53.0799594     -27.6608754
                      520      53.0943095     -27.6609843
                      521      53.1664106     -27.6611529
                      522      53.1932664     -27.6609299
                      523      53.0711732     -27.6612340
                      524      53.0816628     -27.6611431
                      525      53.0989424     -27.6611207
                      526      53.1146816     -27.6612106
                      527      53.1187015     -27.6614245
                      528      53.1564941     -27.6610130
                      529      53.1818018     -27.6612130
                      530      53.0608963     -27.6613667
                      531      53.0632880     -27.6615053
                      532      53.1053936     -27.6613658
                      533      53.1070726     -27.6614818
                      534      53.1258299     -27.6613742
                      535      53.1344130     -27.6615764
                      536      53.1367167     -27.6613283
                      537      53.1716509     -27.6614761
                      538      53.1839551     -27.6617007
                      539      53.0804220     -27.6617370
                      540      53.1085888     -27.6615408
                      541      53.1404808     -27.6615545
                      542      53.0666902     -27.6617827
                      543      53.0844796     -27.6618070
                      544      53.1020936     -27.6615155
                      545      53.1107538     -27.6616060
                      546      53.1224672     -27.6619505
                      547      53.1431164     -27.6615156
                      548      53.1571754     -27.6623655
                      549      53.1686550     -27.6617408
                      550      53.1773169     -27.6616466
                      551      53.0445949     -27.6617885
                      552      53.0791675     -27.6621583
                      553      53.0957544     -27.6616811
                      554      53.1043687     -27.6620075
                      555      53.1413914     -27.6618027
                      556      53.1538088     -27.6617231
                      557      53.1554666     -27.6617091
                      558      53.1977753     -27.6618221
                      559      53.0832362     -27.6623025
                      560      53.1134542     -27.6619941
                      561      53.1156897     -27.6622972
                      562      53.1210148     -27.6622088
                      563      53.0555907     -27.6621963
                      564      53.0695423     -27.6624919
                      565      53.0711420     -27.6623022
                      566      53.0719818     -27.6620078
                      567      53.0958056     -27.6622579
                      568      53.1282548     -27.6623764
                      569      53.1727849     -27.6622215
                      570      53.1763070     -27.6621873
                      571      53.1809471     -27.6621686
                      572      53.1885875     -27.6623081
                      573      53.0586287     -27.6621690
                      574      53.1005439     -27.6623882
                      575      53.1588347     -27.6624972
                      576      53.1794249     -27.6625986
                      577      53.1899183     -27.6623374
                      578      53.0432124     -27.6623983
                      579      53.0478972     -27.6626102
                      580      53.0751833     -27.6626955
                      581      53.0854432     -27.6624248
                      582      53.1252032     -27.6627370
                      583      53.1374694     -27.6624483
                      584      53.0655061     -27.6626726
                      585      53.0731231     -27.6625861
                      586      53.1144854     -27.6628484
                      587      53.1607821     -27.6628072
                      588      53.1964285     -27.6626172
                      589      53.0807757     -27.6631814
                      590      53.0811418     -27.6644757
                      591      53.1015391     -27.6630222
                      592      53.1709770     -27.6626754
                      593      53.1877705     -27.6629789
                      594      53.0506514     -27.6628958
                      595      53.0876828     -27.6629849
                      596      53.1419043     -27.6630089
                      597      53.1651042     -27.6631484
                      598      53.1658880     -27.6628437
                      599      53.1781094     -27.6630529
                      600      53.0720294     -27.6631567
                      601      53.0961362     -27.6630145
                      602      53.1086191     -27.6633230
                      603      53.1334279     -27.6631808
                      604      53.1381162     -27.6635705
                      605      53.1486701     -27.6631020
                      606      53.1682585     -27.6635977
                      607      53.1697294     -27.6632615
                      608      53.0583196     -27.6634104
                      609      53.0638414     -27.6633428
                      610      53.0744253     -27.6634750
                      611      53.0763750     -27.6635003
                      612      53.1039895     -27.6635997
                      613      53.1178152     -27.6634406
                      614      53.1233056     -27.6634285
                      615      53.1318502     -27.6635008
                      616      53.1555514     -27.6632172
                      617      53.1629773     -27.6634827
                      618      53.1664256     -27.6632241
                      619      53.1858483     -27.6635956
                      620      53.0667802     -27.6639398
                      621      53.0868527     -27.6635013
                      622      53.0889861     -27.6636068
                      623      53.0929219     -27.6635776
                      624      53.1209530     -27.6636444
                      625      53.1749471     -27.6637321
                      626      53.1934855     -27.6637041
                      627      53.0976166     -27.6638632
                      628      53.1521234     -27.6638427
                      629      53.1514515     -27.6643128
                      630      53.1534742     -27.6637337
                      631      53.1597726     -27.6635652
                      632      53.1719324     -27.6639832
                      633      53.1769215     -27.6637053
                      634      53.1948299     -27.6637481
                      635      53.0424333     -27.6637926
                      636      53.0525481     -27.6639952
                      637      53.1132930     -27.6637567
                      638      53.1438120     -27.6638708
                      639      53.0551461     -27.6639193
                      640      53.1297680     -27.6641127
                      641      53.1790245     -27.6640921
                      642      53.0678140     -27.6641196
                      643      53.0693010     -27.6644833
                      644      53.0707839     -27.6643442
                      645      53.0731786     -27.6642078
                      646      53.0821566     -27.6640460
                      647      53.0916680     -27.6643977
                      648      53.1110415     -27.6641399
                      649      53.1267315     -27.6640170
                      650      53.1870218     -27.6642369
                      651      53.0562750     -27.6642437
                      652      53.0801914     -27.6643130
                      653      53.0859509     -27.6642273
                      654      53.1197861     -27.6643550
                      655      53.2003494     -27.6642323
                      656      53.1493267     -27.6652690
                      657      53.1496294     -27.6659878
                      658      53.1563620     -27.6646466
                      659      53.1775200     -27.6645079
                      660      53.1985022     -27.6647383
                      661      53.0781425     -27.6647796
                      662      53.0957234     -27.6648836
                      663      53.1226732     -27.6646285
                      664      53.1246191     -27.6646744
                      665      53.1421375     -27.6648864
                      666      53.1637248     -27.6647586
                      667      53.1636168     -27.6655443
                      668      53.1660994     -27.6647212
                      669      53.0455978     -27.6646623
                      670      53.0519192     -27.6649318
                      671      53.0540165     -27.6648537
                      672      53.0657033     -27.6650260
