#         id100  f100_uncorr_1    f100_corr_1    f100_corr_2     f100_corr_3
#
           1556       0.165132       0.117262       0.116289       0.108012
           1558       0.669625       0.605943       0.605381       0.597147
           1563       0.651376        0.65431       0.654453       0.670253
           1567        1.81064        1.76504        1.76467        1.74926
           1569         1.1113        1.04053         1.0389        1.05555
           1579       0.551864       0.502459       0.500829       0.485421
           1592          1.577        1.53188        1.53194        1.52216
           1593       0.357958       0.311941       0.311773       0.313121
           1602      0.0967903      0.0486113      0.0433405      0.0279325
           1604       0.675821       0.632642       0.632756       0.636494
           1606         0.7548       0.753024       0.752592       0.743838
           1616        0.92434       0.853472       0.853595       0.870096
           1618        1.60632        1.60441        1.60328        1.60065
           1622       0.890906       0.845616       0.841864       0.836822
           1626    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1629       0.385329       0.336181       0.336117       0.321329
           1631       0.223785       0.252504       0.250609        0.26767
           1633        8.27622        8.22329        8.22045        8.20504
           1634       0.106128      0.0672429      0.0673659      0.0590893
           1638       0.583219       0.586375        0.58321       0.577791
           1644       0.388895       0.343899       0.344004       0.328596
           1648        9.41525        9.38288        9.38266        9.39962
           1650        0.45902       0.428331       0.428464       0.432201
           1651        0.89915       0.848094       0.844022        0.85099
           1662       0.045902      0.0126173      0.0126173      0.0126173
           1673        1.17444        1.12331        1.12299        1.12017
           1693        1.03236       0.967453       0.967282       0.973615
           1702    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1709       0.494119       0.532027        0.53215       0.494917
           1710       0.541791       0.495043       0.495178       0.488282
           1711    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1712        2.04095        1.98727        1.98635        1.97756
           1717       0.503306       0.495791       0.495769       0.510621
           1724        1.54822        1.50531        1.50545        1.49113
           1734    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1735       0.941525       0.921407       0.919953       0.918188
           1737       0.531902       0.486594       0.486642         0.4729
           1740       0.531902       0.491617       0.490918       0.476858
           1741        1.00423       0.961047       0.954798       0.969567
           1747    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1753        1.46498        1.40865        1.40402        1.39572
           1762        1.76129         1.7199        1.71993        1.70508
           1764       0.385329        0.33893       0.338945        0.33509
           1775      0.0820034      0.0473323      0.0458266      0.0304186
           1779    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1813       0.707672       0.655022       0.654404       0.638996
           1814       0.209813       0.156023       0.154003       0.138595
           1818       0.639487       0.588835       0.588686       0.586973
           1822       0.517407        0.47444       0.471423       0.456015
           1824       0.498691       0.454473       0.452755       0.437347
           1836       0.541791       0.506131       0.506129       0.505163
           1843       0.622059       0.555705       0.555608       0.548861
           1847       0.874645       0.821795       0.821931       0.823976
           1850        1.17444        1.12904        1.12918        1.12998
           1855       0.286967       0.244258       0.242957       0.241243
           1859       0.663486       0.605131       0.604106       0.621239
           1865       0.179404       0.133352        0.13344       0.118518
           1866        1.86137        1.80434        1.79648        1.81332
           1870       0.168202        0.12666       0.126465       0.117763
           1880        2.15691          2.115        2.11482        2.11562
           1886      0.0546804       0.010944       0.010944       0.010944
           1894       0.616356       0.570033       0.569711       0.554303
           1899      0.0151996      0.0151996      0.0151996      0.0151996
           1907       0.907469       0.852287         0.8485       0.862416
           1908       0.588616       0.569431       0.569215       0.582129
           1918       0.858681       0.819461       0.819547       0.804139
           1919    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1921      0.0198533      0.0198533      0.0198533      0.0198533
           1930        5.99559        5.95091        5.94951        5.93411
           1937       0.669625       0.588812       0.588887       0.582903
           1938       0.286967        0.24819       0.246966       0.231558
           1944        1.38622        1.33715        1.33343         1.3193
           1945       0.292302       0.253592        0.25176       0.255011
           1951        1.19628        1.14851        1.14864        1.13453
           1960       0.577872       0.531985       0.531167       0.515759
           1961      0.0378296     -0.0115074     -0.0115074     -0.0115074
           1968       0.583219       0.536573        0.53671       0.522577
           1973        1.05155        1.00386        1.00352       0.988716
           1990       0.498691       0.452846       0.450689       0.435281
           1999    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2007       0.588616       0.549213       0.548028       0.537451
           2022    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2025        1.71329        1.66821        1.66824        1.66499
           2032      0.0194909      0.0194909      0.0194909      0.0194909
           2046    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2052       0.204095       0.158597       0.157628       0.144067
           2054        0.45902       0.415427       0.414705       0.401685
           2056       0.485101       0.449773        0.44944       0.434032
           2059       0.317564       0.269285       0.269321       0.285289
           2061        4.42417        4.38165        4.38177        4.39595
           2089       0.174515       0.130479       0.129494       0.127338
           2094        11.7444        11.7018        11.7011        11.6866
           2099    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2101        0.11113      0.0726312      0.0714589      0.0835679
           2106       0.213713       0.168259       0.168331       0.152923
           2115    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2124       0.209813       0.160055       0.159963       0.144555
           2129       0.583219       0.545411        0.54554       0.530132
           2135        16.9759        16.8916        16.8914         16.876
           2137       0.113196      0.0684003      0.0675313      0.0599181
           2140       0.768833       0.722114       0.722236       0.706828
           2141        4.85101        4.80532        4.80422        4.80868
           2144        2.04095         1.9896        1.98894        1.97353
           2147       0.932893       0.876291       0.876062       0.860654
           2150        1.03236        1.01473        1.01487        1.03173
           2152       0.503306        0.46626       0.466334       0.456952
           2160        1.15301        1.10335        1.10346        1.08933
           2163       0.639487       0.597969       0.598103       0.585083
           2175       0.434342       0.387849       0.385789       0.370987
           2181    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2185      0.0207889      0.0207889      0.0207889      0.0207889
           2189       0.286967       0.242476       0.241929       0.239026
           2192    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2195       0.193122       0.156904       0.155817       0.148397
           2196       0.768833       0.714988       0.713468       0.729101
           2197       0.422505        0.40615       0.405565       0.421198
           2202        1.46498        1.41727        1.41668        1.43166
           2229        1.50602        1.47138        1.47147        1.47196
           2231    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2234       0.843008       0.795272       0.795198       0.780765
           2239       0.112158      0.0721509      0.0718892      0.0564812
           2252       0.254584        0.21932       0.218964       0.227211
           2256        21.5691        21.5099          21.51        21.5236
           2262       0.189597       0.141637       0.141197       0.125789
           2266         7.1422        7.07723        7.07601         7.0898
           2268       0.396125       0.347741       0.346547       0.331139
           2272       0.463268       0.415242       0.414931       0.399523
           2290       0.154822       0.111331       0.111146      0.0957385
           2295        1.03236       0.986066       0.986209        0.99459
           2296       0.351424       0.310922       0.310449       0.309904
           2297        1.17444        1.14652         1.1429        1.15753
           2314       0.701184       0.718502       0.714936       0.726356
           2318        1.69759        1.64599        1.64458        1.62917
           2320      0.0941525       0.049479      0.0458641      0.0304561
           2323       0.351424       0.289039       0.289175       0.278282
           2324        6.57403        6.54285        6.54197        6.53735
           2327       0.616356       0.623473       0.623577       0.637365
           2328        9.85898        9.80792        9.80612        9.79338
           2330      0.0276587      0.0276587      0.0276587      0.0276587
           2331       0.317564       0.270361       0.270407       0.283588
           2336        3.41847        3.37239        3.37178        3.35637
           2337       0.669625        0.60842       0.608307        0.62006
           2342       0.531902       0.494885       0.494997       0.482023
           2347       0.694755       0.649565       0.649069       0.636336
           2357    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2359        1.04191       0.997717       0.997817       0.989384
           2360        2.13713         2.0783        2.07838        2.06297
           2365        1.60632        1.58487          1.585        1.59923
           2369    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2374        1.03236       0.993718         0.9938       0.978392
           2376       0.446511       0.416832       0.416858        0.42861
           2378    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2387      0.0827622      0.0401414      0.0402474      0.0318132
           2395    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2399       0.594062       0.549495       0.549611       0.566397
           2408        1.65132         1.6159        1.61476        1.61014
           2412       0.329482       0.292057        0.29217       0.284829
           2417        0.36127       0.292293       0.291956       0.278504
           2418       0.675821       0.632699       0.631451       0.628541
           2432        1.43824        1.39264        1.39263        1.37722
           2433       0.536824       0.497129       0.494981       0.511468
           2440        2.95007        2.90423        2.90144        2.88879
           2449        1.25266        1.22886        1.22615        1.24056
           2455        3.71391        3.67913        3.67839        3.66298
           2463        12.6425         12.606         12.606        12.5949
           2488        3.29482        3.26581        3.26501        3.24856
           2489        2.38689        2.35859        2.35854        2.34153
           2500       0.371391       0.322039        0.32192       0.306512
           2509       0.143824       0.127583       0.127508       0.142614
           2510      0.0541791      0.0135509      0.0135509      0.0135509
           2513        1.71329        1.66054        1.66068        1.65777
           2518        1.19628         1.1553        1.15402        1.14876
           2524       0.583219       0.535749       0.535842       0.539618
           2525        2.76587        2.72477         2.7243        2.70997
           2540         1.8443        1.80411        1.80411        1.79282
           2543       0.335608       0.287637       0.287602       0.272194
           2544    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2561        0.25225       0.203817       0.203572       0.188807
           2569        1.32383          1.276        1.27561         1.2806
           2574    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2577        1.01352       0.971424       0.971449       0.956041
           2578       0.117444       0.101835       0.101805       0.109845
           2587       0.151996      0.0993667      0.0992974      0.0899336
           2588       0.213713       0.167567       0.167214       0.184246
           2591       0.541791       0.487287       0.486719        0.50348
           2592    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2594        2.27946        2.23617        2.23517        2.22761
           2596       0.675821       0.630134       0.629435       0.631883
           2605       0.512663       0.469931       0.467842       0.455973
           2608    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2615         1.1113        1.06929        1.06905        1.08607
           2619    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           2622        1.77759        1.76483        1.76497        1.74917
