#     _id          _ra          _de       zp_X         f24        df24         f16        df16       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
413        189.3651276   62.3760185      0.63       34.85       4.014       20.18       8.772       2.359       2.965       7.933       0.045       5.869       0.093       5.495       0.525       3.891       0.659       21.66        9.82      0.2745          -1         -99         -99       11.11         -99           0
414        189.3391876   62.3758583      1.22       25.12       5.341   1.903e-07       10.22         3.2       2.987       18.26       0.047       16.29       0.078       13.83       0.499       9.119       0.538       21.42       10.57     0.09411          -1         -99         -99       14.23         -99           1
416        189.4104004   62.3759270      0.38       38.55       7.187         -99       1e+10       1.451       3.031       2.782       0.096         -99         -99       13.04       1.874       2.106       1.951       22.16        8.64      0.4051          -1         -99         -99       15.48         -99           0
418        189.2923126   62.3758202       1.4       23.32       6.343       44.79       8.835       2.398       3.165       14.69       0.064       14.07       0.086       12.64        0.73       12.98        0.61       21.75       10.64      0.1274          -1         -99         -99       3.547         -99           1
421        189.2828979   62.3757210      1.24          28       6.866       7.599       11.73     -0.3218       3.165        3.41       0.067       3.031       0.091       1.979       0.806       3.219       0.658       22.72       9.808     0.03746          -1         -99         -99       4.137         -99           1
428        189.2596283   62.3751678      1.29       20.57       3.834         -99       1e+10       1.424       2.872       3.397       0.136       3.114       0.119       3.438       1.757       1.928       0.864        23.3        9.66      0.2758          -1         -99         -99       16.32         -99           1
429        189.2620087   62.3751678      1.15        22.6       3.624         -99       1e+10      0.6211       2.892       6.343       0.133       5.162       0.117       6.429        1.71       3.684        0.84       22.17        9.95      0.1553          -1         -99         -99        15.5         -99           1
430        189.2854767   62.3752823       1.2       28.17       3.869       18.54         7.9       4.327       3.313       6.935       0.067        5.99       0.089       1.967        0.77       3.888       0.641       22.07       10.14     0.07492       1.253           2          21     0.06055     2.5e+04           1
431        189.3308258   62.3751831      0.68       41.09       4.323       45.06       7.032       10.52       2.985       10.01       0.046       7.213       0.075       7.597       0.504       6.543       0.528       21.58       9.798     0.07764       0.676           1          72     0.06552   2.887e+04           1
432        189.3529205   62.3752251      0.75       30.44       4.412       23.82       18.05       1.032       3.046       5.731       0.043       3.769        0.08       4.023       0.492       2.376       0.572       21.95       9.478     0.02894          -1         -99         -99       12.65         -99           0
433        189.4020081   62.3753777       -99       22.71       5.478         -99       1e+10     -0.4211       3.064       0.283       0.072       1.959        0.22       2.531       1.001        1.61       1.307         -99         -99       3.221          -1         -99         -99       14.36         -99           0
437        189.2796173   62.3745041      3.09       29.21       4.803   1.903e-07        7.92       5.388           3       5.552       0.068       7.142       0.092       9.976       0.803       9.022       0.661       23.46        11.2      0.6368          -1         -99         -99       7.532         -99           1
438        189.3011932   62.3750534      1.27       80.82       2.765       71.77       8.702        27.5         3.6       10.61       0.052        10.6       0.079       8.281       0.604       12.54       0.563       22.18       10.42      0.1911          -1         -99         -99        8.86         -99           1
439        189.3853760   62.3749428      1.59       223.9       8.548         -99       1e+10       1.423       3.045       27.32       0.055       43.44       0.123       59.15       0.634       86.81       0.834       21.34       11.04      0.1816          -1         -99         -99       7.011         -99           0
442        189.2409210   62.3749695      1.18       87.66       9.903         -99       1e+10       9.378       2.962         -99         -99       17.29       0.184         -99         -99        13.8       1.336       21.29       10.91      0.7048          -1         -99         -99       6.222         -99           0
449        189.3769989   62.3744125      0.23       311.4       10.49       220.9       13.26       5.351       2.974       93.35       0.064        81.7        0.11       55.85        0.57       139.6       0.734       17.48       10.48     0.08625          -1         -99         -99       18.69         -99           0
450        189.3060760   62.3745461      4.27       18.57        3.23       6.433       6.487       2.485       2.978       3.107        0.05       2.659       0.076       3.399       0.566       1.809       0.544       23.01       10.49      0.1805          -1         -99         -99       12.18         -99           1
451        189.3164368   62.3746529      0.95       23.84       3.973       18.35        7.12   -0.007495       2.984       5.025       0.046       3.826       0.075       3.283       0.534        2.99        0.53       22.37       9.928     0.03746       1.019          -1          81     0.07324   2.769e+04           1
468        189.3604889   62.3730621      4.39       21.06       6.624   1.903e-07       10.85       1.957       3.006       3.744       0.042       3.635       0.082       4.532       0.487       4.156       0.585       24.22       10.85      0.6728          -1         -99         -99       3.552         -99           1
481        189.3880005   62.3734360      0.08       70.36       3.654         -99       1e+10       5.889       3.124       9.045       0.053       6.902       0.118       6.821       0.631       18.13       0.827       20.81        7.71      0.1027       0.179           1          72     0.07324   3.342e+04           0
482        189.4001007   62.3734360      2.27       38.36       3.823         -99       1e+10       4.201       3.082       4.124       0.066       4.436       0.157        4.08       0.831       2.133       1.062       22.56       10.23      0.2622          -1         -99         -99       12.01         -99           0
490        189.3794098   62.3729210      1.12       31.61        4.83        35.8       10.01        8.53       2.988       6.299       0.047       4.636       0.101       3.285       0.557       4.935       0.724       22.18        9.74      0.1158          -1         -99         -99       14.43         -99           0
498        189.3556824   62.3726234      4.36       60.53       6.644       13.76       13.25       10.39       2.973       2.686       0.041       2.339       0.079       2.697       0.479        3.61       0.567       23.56       10.59      0.2709          -1         -99         -99       4.129         -99           1
501        189.3748474   62.3725014      2.41       20.77       3.929       1.132       9.986       0.714       3.032       2.666       0.044       2.852       0.096       3.168       0.533       2.914       0.673       22.53        10.2      0.1337          -1         -99         -99       14.35         -99           0
502        189.2655640   62.3723221      2.36       25.07        2.94   1.903e-07       10.65       5.614       2.932       1.889       0.086       1.932       0.098       2.701       1.083       0.991       0.716       22.62       10.32      0.2079          -1         -99         -99        6.97         -99           1
503        189.2879944   62.3723145      2.26       28.81       3.282       6.015       10.15       4.003       3.314       3.869       0.056       4.056       0.082           6       0.661       2.517       0.589        22.7       10.47     0.02894          -1         -99         -99       6.147         -99           1
505        189.3832092   62.3722649       2.7       27.03       3.919        12.6       16.79        6.44       3.041       1.676       0.048       1.726       0.106       1.389       0.569       3.201       0.753       23.19         9.8      0.3084          -1         -99         -99       8.987         -99           0
506        189.2587738   62.3723564       -99        21.7       3.415       3.272       11.67     0.08962       2.885       0.521       0.118       0.122       0.111       0.972       1.519      -0.335       0.814         -99         -99       4.293          -1         -99         -99        8.56         -99           1
509        189.4066010   62.3719940      0.48       73.51       4.542         -99       1e+10       6.639        3.04       10.28       0.069       8.942       0.192       7.773       0.925       10.02       1.181        20.8        9.81      0.1594       0.452           1          72      0.0412   3.458e+04           0
510        189.2344666   62.3719101      0.77       297.2       10.71         -99       1e+10        36.7         3.2         -99         -99        25.2       0.179         -99         -99       29.67       1.307       20.11       10.76      0.2253      0.6798           1          23      0.2248   2.035e+04           0
512        189.3144989   62.3719177      1.14       68.75       4.189       51.11       6.471       2.584       2.948       1.189       0.044       1.226       0.072       0.863       0.511       3.777        0.52        24.2       9.388      0.1099          -1         -99         -99       6.996         -99           1
516        189.3721008   62.3720360       -99       8.579        5.21   1.903e-07       9.718       23.71       3.008       0.935       0.043        0.97       0.092       3.116       0.518       3.212       0.654         -99         -99       2.792          -1         -99         -99        9.82         -99           0
521        189.3558807   62.3714790      1.04       79.31       5.091       85.95       13.12       5.454       2.926       17.24       0.045       13.04        0.08       9.839       0.471       10.05       0.555       21.32       10.34     0.04844       1.037           2          72     0.05095   3.091e+04           1
530        189.2914734   62.3712006      0.65       99.77       6.146       60.43       10.09       1.332       3.289       27.26       0.056       22.62       0.082       22.81       0.594       17.87       0.568       20.23       10.31      0.2436        0.64           1          72      0.3192    2.55e+04           1
532        189.3064270   62.3711739      1.02       420.9       13.22       325.7       15.32        25.2         3.4       50.34       0.056       38.55       0.079       33.87       0.531       32.34       0.529       19.99        10.7     0.07642      0.9746           1          21     0.05788    2.68e+04           1
533        189.3378601   62.3711395      0.97       22.48       3.221       2.787       7.855      0.8673       2.951       39.56       0.051       30.14       0.077       20.87       0.467        14.8       0.512       20.34       11.09     0.07765        1.03           1          21     0.02747   2.948e+04           1
540        189.4091949   62.3711014      2.18       89.53       7.933         -99       1e+10       3.924       3.079        13.2       0.071       14.77       0.203       17.33       0.967       13.39        1.21       21.94       10.86      0.6646          -1         -99         -99       5.417         -99           0
541        189.2628021   62.3708839      0.97       104.1       7.143       68.02       11.85       11.55       2.919       52.78        0.09       34.87         0.1       33.18       1.035       23.02        0.71       19.76       11.12      0.0855       0.801           1          72     0.03746   2.312e+04           1
546        189.2455139   62.3708420      3.03       144.1       6.509         -99       1e+10        27.3         3.8       6.432       0.148       9.633       0.127         -99         -99        28.4       0.916        23.2       11.25      0.1532          -1         -99         -99       4.362         -99           1
547        189.2478333   62.3703156      2.58       190.4       8.178   1.903e-07       27.15          25         3.4       12.62       0.133       15.43       0.121       21.25       1.663       22.55       0.871          22       10.96      0.3169          -1          -1          81     0.08682   2.165e+04           1
548        189.2892303   62.3707123      1.78       150.2       7.852       39.53       9.684        34.4         3.5       49.68        0.06       60.01       0.086       60.96       0.603       46.83       0.567       20.28       11.59     0.02747          -1           3          72     0.02894   2.531e+04           1
550        189.3953552   62.3708954      1.12       30.49       8.107         -99       1e+10       2.705       3.051       0.239       0.055        0.11       0.121      -0.006       0.657       0.348       0.863       24.72        8.76      0.8193          -1         -99         -99       11.33         -99           0
552        189.3175201   62.3705864      0.47       146.1       4.316       115.4        7.18       13.82       2.923       28.51       0.049       24.82       0.075       21.73       0.494       36.73       0.513          20       10.29     0.02547      0.5045           1          21     0.05493   2.778e+04           1
554        189.2380066   62.3705254      0.65       61.05       2.425         -99       1e+10        5.37       2.905         -99         -99       8.332       0.151         -99         -99        5.35       1.046       21.06        9.97     0.08625        0.68           1          72     0.02547    2.07e+04           0
559        189.2335205   62.3703880      1.26       151.8       6.302         -99       1e+10        28.7           4         -99         -99       38.23       0.174         -99         -99       28.95       1.211       20.51       11.06      0.2622          -1         -99         -99       5.822         -99           0
561        189.3757019   62.3700027      1.39       47.39       4.737       13.33          11       2.823       3.016       6.693       0.044       7.479       0.092       6.921       0.517       5.147       0.648       23.03       10.31      0.9458          -1         -99         -99       12.74         -99           0
