#       id        snrIR       snr100       snr160       snr250       snr350       snr500       snr1160
#
      1525       4.8812       1.6067       4.6092           -0           -0           -0           -0
      1532      0.46096      0.45937     0.038323           -0           -0           -0           -0
      1533        24.42       11.761       16.814       11.076       7.2557           -0           -0
      1543     0.073243    -0.073243           -0           -0           -0           -0           -0
      1544       1.5285    -0.016966       1.5284           -0           -0           -0           -0
      1545       1.8535        1.776      0.53057           -0           -0           -0           -0
      1548     0.078698    -0.078698           -0           -0           -0           -0           -0
      1551      0.08371     -0.08371           -0           -0           -0           -0           -0
      1556       4.9161      0.40598     0.097098       2.3245      0.71952       3.8098       1.8862
      1558       4.3281       1.9131       3.8823           -0           -0           -0           -0
      1563        1.466       1.4655     0.039536           -0           -0           -0           -0
      1567       9.8169       5.2449       5.5115       6.2037           -0           -0           -0
      1569       2.9644       2.0137       2.1755   8.4849e-08           -0           -0           -0
      1579       1.6563       1.6532      0.10092           -0           -0           -0           -0
      1592       7.0384       5.2785       4.6557           -0           -0           -0           -0
      1593       2.0201       1.1347       1.6713           -0           -0           -0           -0
      1602      0.30431      0.30431           -0           -0           -0           -0           -0
      1604       2.6818        1.686       2.0856           -0           -0           -0           -0
      1606       2.4832       2.4117      0.59136           -0           -0           -0           -0
      1616       3.4201       2.2464       1.9008       1.7428           -0           -0           -0
      1618       19.881       3.9909       4.6851       10.491       13.474       8.1091           -0
      1622       4.9524       3.5586       3.4442           -0           -0           -0           -0
      1626      0.14976    -0.069805       0.1325           -0           -0           -0           -0
      1629       6.1624       1.3692       1.9977       4.3055       3.6841           -0           -0
      1631      0.83396      0.69138     0.046386      0.46404           -0           -0           -0
      1633       37.898       26.312       20.507       15.984       8.2445           -0           -0
      1634      0.25334      0.25334           -0           -0           -0           -0           -0
      1638       2.6074       1.7729       1.9118           -0           -0           -0           -0
      1644       1.3131       1.0536      0.78378           -0           -0           -0           -0
      1648       31.136       24.823       14.868       6.0606       9.5752       1.6257       1.0838
      1650            0           -0           -0           -0           -0           -0           -0
      1651       12.201        3.301       4.5891       8.9228       5.2233       1.0031       2.9992
      1662     0.095252     0.095252           -0           -0           -0           -0           -0
      1673       3.1744       3.1744           -0           -0           -0           -0           -0
      1693       2.4157       2.3277      0.64589           -0           -0           -0           -0
      1702      0.41989           -0      0.41989           -0           -0           -0           -0
      1709       2.7197      0.70279       2.2183       1.4078           -0           -0           -0
      1710       2.1293       1.8084        1.124           -0           -0           -0           -0
      1711     0.062184    -0.062184           -0           -0           -0           -0           -0
      1712       11.439       7.8644        6.968       4.2873      0.40693       1.3803           -0
      1717       1.6512       1.1834       1.1515           -0           -0           -0           -0
      1724       7.0193       5.7979       3.9566           -0           -0           -0           -0
      1734      0.60691    -0.060293      0.60391           -0           -0           -0           -0
      1735       9.6952       1.8422      0.61511       1.8835        5.537       2.6034       7.0172
      1737       7.8967       1.5777        5.346       5.5937           -0           -0           -0
      1740       2.3461       1.4108       1.8745           -0           -0           -0           -0
      1741       2.8741       2.8735     0.056914           -0           -0           -0           -0
      1747      0.12629    -0.068996      0.10578           -0           -0           -0           -0
      1753       10.546       3.6711       4.7209       7.6062       4.1957           -0           -0
      1762       21.514       5.7548       13.704       11.646       9.8197        3.119      0.41102
      1764       1.3247       1.3247           -0           -0           -0           -0           -0
      1775      0.27765      0.24046      0.13881           -0           -0           -0           -0
      1779       1.1129    -0.068557       1.1108           -0           -0           -0           -0
      1813       1.7331       1.5058      0.85803           -0           -0           -0           -0
      1814       4.6435      0.42439       2.7935        3.685           -0           -0           -0
      1818        3.349       2.4364       2.2978           -0           -0           -0           -0
      1822       1.6506       1.5688      0.51315           -0           -0           -0           -0
      1824       3.0978       1.1793      0.85825    0.0076039           -0           -0        2.733
      1836       2.1131       2.1106      0.10321           -0           -0           -0           -0
      1843       3.4048       2.3795       2.4353           -0           -0           -0           -0
      1847        3.888       3.1197       2.3202           -0           -0           -0           -0
      1850        3.854       3.8528      0.09532    1.394e-07           -0           -0           -0
      1855       0.9379       0.9379           -0           -0           -0           -0           -0
      1859       1.9705       1.7503      0.90512           -0           -0           -0           -0
      1865      0.83315      0.60586       0.5719           -0           -0           -0           -0
      1866       5.8634       5.5709      0.33847       1.7974           -0           -0           -0
      1870      0.54491      0.53741     0.090139           -0           -0           -0           -0
      1880       11.423       7.7068       7.4287       3.9888           -0           -0           -0
      1886      0.36149      0.11977      0.19881           -0           -0           -0      0.27714
      1894       2.8802       2.3672       1.6407           -0           -0           -0           -0
      1899      0.70224    -0.024038      0.70183           -0           -0           -0           -0
      1907       3.1047       1.8977       2.4572           -0           -0           -0           -0
      1908       1.9652       1.3891       1.3901           -0           -0           -0           -0
      1918       3.2883       3.1174       1.0461           -0           -0           -0           -0
      1919     0.080291    -0.080291           -0           -0           -0           -0           -0
      1921       7.4098   -0.0093468       2.0631       5.0061       4.6703       1.8221      0.67518
      1930       35.544       22.213       20.063       16.021       10.525           -0           -0
      1937       2.2473       2.2473           -0           -0           -0           -0           -0
      1938      0.96601      0.96601           -0           -0           -0           -0           -0
      1944        6.887       4.8028       2.2468        4.395           -0           -0           -0
      1945       13.438      0.94334        4.236       8.7341       5.0525        7.545       1.7333
      1951       4.7441       3.9973        2.555           -0           -0           -0           -0
      1960       2.0633       1.7492       1.0943           -0           -0           -0           -0
      1961       1.3423     0.058679        1.341           -0           -0           -0           -0
      1968       3.7372       2.2335       2.9963           -0           -0           -0           -0
      1973       6.8242       3.9854       3.8653        3.968           -0           -0           -0
      1990       2.1088       1.6474       1.3164           -0           -0           -0           -0
      1999        2.203    -0.053591      0.44115           -0           -0           -0       2.1577
      2007            0           -0           -0           -0           -0           -0           -0
      2022      0.59735     -0.06416      0.59389           -0           -0           -0           -0
      2025        8.968        4.429       5.2872       5.7319           -0           -0           -0
      2032      0.05154   -0.0076445      0.05097           -0           -0           -0           -0
