#       id        snr16         snr24
#
      3037           -0        15.37
      3039       1.1075       6.3351
      3063            5       16.689
      3066     0.095835       9.1491
      3069       34.557       25.789
      3071      0.69438       4.2414
      3074     0.077939       9.2714
      3075       6.7823       36.104
      3078       6.2409       12.617
      3081       11.269       36.211
      3083       13.813       12.686
      3084       5.0744       13.446
      3085      0.31158       6.3702
      3087       50.574       130.77
      3089        2.662       12.076
      3093       8.4818        36.56
      3099           -0       8.3316
      3101           -0       13.068
      3103        6.591       5.0541
      3112       4.1223       12.884
      3114       4.3296       9.8602
      3119           -0        9.263
      3121        1.412       7.5293
      3125           -0       8.4953
      3140       9.2644       15.367
      3143       1.3763       8.2875
      3145           -0       80.676
      3165       2.2047       29.479
      3171       2.1684       5.1908
      3188       3.7335       9.2825
      3196       43.489       130.43
      3207      0.12079       6.5269
      3220       2.0507       12.418
      3229       5.9574       5.8288
      3236         5.97       17.134
      3247       3.1326       12.423
      3263      0.21045       4.4317
      3265        4.861       7.4557
      3267           -0       9.0161
      3276       8.9813       24.466
      3280       1.9883       7.2103
      3281       2.8505       3.9637
      3288       4.1464       15.463
      3289       17.458       75.331
      3296       8.5323       56.105
      3304           -0       12.012
      3306       4.3136       5.8751
      3307       0.1398       16.012
      3310       1.1837       18.076
      3316      0.11781       1.1919
      3326      0.96132     -0.32563
      3332           -0        20.67
      3337       15.778       20.605
      3347           -0       24.429
      3349       2.2393       3.7588
      3355      0.29561       8.7692
      3358           -0       8.7256
      3367       2.0404       20.425
      3376       1.9008       12.259
      3380           -0       7.0905
      3393       4.4603       21.823
      3401       9.5456       14.115
      3403       10.023       14.285
      3413           -0       5.4324
      3417       23.763        41.17
      3429      0.14177     0.032726
      3441           -0       6.5563
      3442           -0        5.119
      3444       4.2294       11.278
      3452       2.1435       6.6117
      3455       2.8621        35.76
      3460           -0       6.4671
      3463      0.13618       20.847
      3484       14.791       41.155
      3487      0.13078       2.6212
      3492       8.5385       6.0112
      3500     0.092004       7.4718
      3526       17.507       23.494
      3527       4.7804       8.3819
      3532       7.1229       14.498
      3535      0.33925      0.23706
      3560       9.5162       14.405
      3568       3.2086         11.8
      3570      0.99076       8.4193
      3572       47.321       104.23
      3584       5.3612       11.926
      3587       1.4634       5.0461
      3588      0.16511       8.2839
      3595           -0       10.298
      3620     0.093847        5.441
      3626       8.0346       26.471
      3627       31.722       54.423
