#        cooFIR         snrFIR             id         snr100          snr160
#
              0        2.98217           1357        2.71261        1.23898
              0        1.15639           1367              0        1.15639
              1        6.17824           1368        2.18289        5.77976
              0        4.68748           1369        1.89624        4.28682
              0        1.60671           1371        1.17367        1.09727
              1        6.57278           1384        3.50705        5.55896
              0        1.03911           1387        1.03911    3.98478e-06
              0         2.3816           1391        2.33159       0.485496
              0        4.07492           1393        2.08763        3.49954
              1        12.5109           1394        10.0715        7.42215
              0       0.857317           1396       0.839466       0.174035
              0    3.91786e-05           1401    3.69843e-05    1.29277e-05
              0        2.46552           1402        1.33474        2.07299
              0      0.0683976           1416      0.0683976            -99
              0        1.77478           1419        1.28505        1.22414
              0        3.24655           1420        2.87991        1.49873
              1        9.18157           1434          8.008        4.49144
              0        1.23694           1437       0.770522       0.967635
              1        16.5043           1445        11.0887        12.2242
              1        5.84079           1449        5.07618        2.88916
              1        5.69638           1452       0.682724        5.65532
              1        7.84283           1458         6.8691        3.78491
              0    3.21177e-05           1469    3.21177e-05            -99
              1        15.2646           1475        10.6308        10.9542
              0        4.32038           1476        1.43613        4.07471
              0       0.577372           1477       0.577372            -99
              0        1.46214           1479        1.46214    1.26162e-05
              0    3.37873e-05           1480     3.0924e-05    1.36119e-05
              1        6.39461           1490        4.18242        4.83719
              1        9.98361           1491        8.29114        5.56143
              0    3.49321e-05           1495    3.04982e-05    1.70326e-05
              0        1.28094           1497    4.88485e-05        1.28094
              1        7.55324           1501        2.59922        7.09194
              0    5.44601e-05           1502    5.14169e-05    1.79503e-05
              0        1.84042           1513        1.01029        1.53833
              1         8.5951           1515        7.01498        4.96648
              0          3.168           1520        2.79091        1.49902
              0       0.380939           1524       0.380939    1.75969e-05
              0        4.76447           1525        1.63245        4.47608
              0       0.481338           1532       0.481338    1.23609e-05
              1        17.7469           1533         9.4593        15.0158
              0    5.40627e-05           1543    5.11375e-05    1.75422e-05
              0        1.61006           1544      0.0558043         1.6091
              0         2.3222           1545        2.23081       0.645038
              0    4.31395e-05           1548    4.31395e-05            -99
              0       0.778577           1551     5.6194e-05       0.778577
              0       0.339729           1556       0.339729    2.13019e-05
              0        4.34712           1558        1.86594        3.92628
              0        1.33366           1563        1.33366    1.19576e-05
              1        7.53132           1567        5.95911        4.60541
              0        3.97483           1569        2.56248        3.03857
              0        1.51688           1579        1.51687    2.21517e-05
              1        7.95185           1592        4.75328        6.37481
              0        2.38007           1593        1.05208        2.13491
              0        0.46743           1602       0.106359       0.455168
              0        2.28549           1604        1.46693         1.7526
              0        2.27231           1606        2.11788       0.823401
              0        3.64384           1616        2.54713        2.60571
              1         7.2814           1618        3.79114        6.21659
              0        4.37711           1622        3.24593        2.93651
              0    6.49978e-05           1626    6.49978e-05            -99
              0        1.85004           1629        1.14914        1.44987
              0        1.34807           1631        0.59108        1.21158
              1        32.7913           1633        26.7525        18.9624
              0       0.174358           1634       0.174358            -99
              0        2.36459           1638        1.55156        1.78436
              0        1.42076           1644        1.15786       0.823357
              1        28.4509           1648          25.06        13.4703
              0         1.0828           1650       0.941407       0.534976
              1          6.253           1651        3.17301        5.38814
              0        1.23279           1662      0.0458576        1.23194
              0        2.90306           1673        2.90306            -99
              0        2.72531           1693        2.58661       0.858341
              0    5.32155e-05           1702    5.32155e-05            -99
              0        2.25802           1709       0.692846         2.1491
              0        2.38967           1710        1.66371        1.71539
              0    6.12029e-05           1711     5.5902e-05     2.4915e-05
              1        9.81961           1712        7.03164        6.85425
              0        2.37141           1717        1.20995        2.03951
              1        6.66096           1724        4.98329        4.41987
              0    3.78012e-05           1734    3.78012e-05              0
              0        2.19766           1735        2.09635       0.659588
              1        6.44225           1737        1.45777        6.27515
              0        2.25932           1740        1.53147        1.66107
              0        2.83758           1741        2.83758    1.44862e-05
              0    5.08853e-05           1747    4.61397e-05    2.14578e-05
              1        5.20736           1753         4.0546        3.26754
              1        12.9019           1762        5.23327        11.7929
              0        1.30406           1764         1.2028        0.50382
              0       0.107796           1775       0.107796    2.84771e-05
              0        2.15514           1779    5.28236e-05        2.15514
              0        1.60025           1813        1.59153       0.166854
              0         2.0707           1814       0.312585        2.04697
              0        3.26005           1818        2.18867        2.41613
              0        1.49264           1822        1.49264              0
              0        1.06524           1824        1.02918       0.274794
              0        1.84044           1836        1.84044    2.16416e-05
              0        2.43314           1843        2.15593        1.12789
              0        4.07414           1847        2.85813        2.90339
              0        3.92089           1850        3.92089    2.06887e-05
              0        1.25519           1855       0.886439       0.888662
              0        2.32774           1859        2.08247        1.04004
              0       0.437678           1865       0.423063       0.112157
              1        6.24507           1866        5.97167        1.82759
              0       0.395567           1870       0.395567    1.97894e-05
              1        9.37353           1880        7.16074         6.0487
              0      0.0391553           1886      0.0391553    2.57419e-05
              0        2.08479           1894        1.99676       0.599424
              0        1.12008           1899      0.0535966         1.1188
              0        4.00794           1907        2.80091        2.86679
              0        2.37502           1908        1.43128         1.8953
              0        2.66124           1918        2.65906       0.107671
              0    4.47814e-05           1919    4.47814e-05            -99
              0        1.74836           1921      0.0598974        1.74733
              1         27.049           1930        20.2456        17.9377
              0        2.32788           1937        2.32788            -99
              0        0.79615           1938        0.79615            -99
              1        5.14202           1944        4.58942        2.31895
              0        3.51367           1945       0.861486        3.40642
              0        4.41865           1951        3.66365        2.47024
              0        1.75235           1960        1.57065       0.777048
              0       0.538585           1961              0       0.538585
              0         3.1643           1968        1.80145        2.60145
              1         5.1114           1973         3.5706        3.65749
              0        1.96499           1990        1.59217        1.15159
              0       0.447986           1999    4.10242e-05       0.447986
              0        2.92635           2007        1.89327        2.23138
              0       0.262419           2022    5.70023e-05       0.262419
              1        6.23464           2025        4.79689        3.98253
              0      0.0504269           2032      0.0504269    1.47529e-05
              0    5.03006e-05           2046    5.03006e-05            -99
              0        0.44863           2052        0.44863    1.68525e-05
              1         5.1661           2054        1.48393        4.94838
              0          4.312           2056        1.50017        4.04263
              0       0.712537           2059       0.712537    8.78897e-06
              1        14.1234           2061        12.0802        7.31704
              0        1.13055           2089       0.402593        1.05644
              1        47.4379           2094         40.534        24.6445
              0       0.783226           2099    5.11723e-05       0.783226
              0        1.06702           2101       0.229714          1.042
              0        2.05747           2106       0.529066        1.98828
              0    5.83463e-05           2115    5.12071e-05    2.79664e-05
              0        3.15975           2124       0.462424        3.12573
              0        2.86106           2129        1.53031         2.4174
              1        81.6697           2135        72.1985        38.1748
              0       0.220132           2137       0.220132    2.86216e-05
