#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
337     0.06719     0.03472      0.1434     0.07069      0.5002      0.4332      0.8554      0.8166      0.8646      0.8444      0.7813      0.7727      0.3432      0.3413       0.156      0.1553      0.1414      0.1407      0.1253      0.1246      0.0286     0.02845     0.02641     0.02627    0.001489    0.001488
339      0.1418     0.09634      0.2504      0.2175      0.4284      0.4136      0.4444      0.4392       0.344       0.342       0.176      0.1753     0.04105      0.0409     0.01576      0.0157     0.01417     0.01412     0.01247     0.01242    0.002799    0.002808    0.002585    0.002593    0.001071    0.001071
340      0.1838     0.08923      0.4941      0.2984       0.952       0.562       1.137      0.7213      0.9521       0.652      0.5149      0.3721      0.1273      0.0961      0.0484     0.03688     0.04347     0.03255     0.03817     0.02789     0.00845     0.00648    0.007804    0.005986    0.002401    0.001446
343      0.4347      0.1751       0.816       0.448       1.531      0.9065       1.609       1.083       1.017      0.7227      0.4661      0.3441      0.1009      0.0771     0.03833     0.02956     0.03445     0.02613     0.03028     0.02245    0.006749    0.005271    0.006237    0.004873    0.003609    0.002209
356      0.8988      0.1313       2.191        0.29       3.727      0.4825       3.365      0.5885       2.186      0.4785      0.9704      0.2356      0.1992      0.0527     0.07253     0.01928     0.06492     0.01446     0.05679    0.009315     0.01228     0.00323     0.01133     0.00298    0.009499    0.001391
365      0.1451     0.08518      0.3078      0.2565      0.5431      0.5159      0.6583      0.6477      0.5232      0.5188       0.267      0.2654     0.06236     0.06204     0.02355     0.02343     0.02114     0.02102     0.01856     0.01845    0.004108    0.004084    0.003794    0.003771     0.00137     0.00137
368      0.2133       0.179      0.3484      0.3255      0.4966      0.4871      0.4652      0.4621         0.3      0.2989      0.1395      0.1391     0.03046     0.03037     0.01166     0.01163     0.01049     0.01046    0.009233    0.009204    0.002067    0.002068    0.001909     0.00191     0.00135     0.00135
371       0.139      0.1198      0.2186      0.1785      0.7035      0.5685       1.631      0.8646       2.466       1.025       2.746      0.8525       1.945      0.3895       1.065       0.339      0.9976       0.304      0.9184       0.261      0.2822       0.147      0.2632      0.1384    0.003261    0.001618
374       1.099       0.038       2.325      0.1125       4.698      0.2945       4.767       0.346       2.962       0.221       1.337      0.1015      0.2829     0.02145       0.107     0.00809      0.0962     0.00229     0.08456    -0.00398     0.01876     0.00149     0.01733     0.00137     0.01133      0.0009
375      0.5447      0.0575       1.459      0.1885       3.756      0.3965       5.175      0.5025       4.463       0.483       2.424      0.2835      0.6001     0.07505      0.2298      0.0291      0.2065       0.016      0.1815     0.00195      0.0404     0.00535     0.03732    0.004955    0.009953    0.001087
376      0.9057      0.3684       1.945      0.5395       6.632      0.8755       12.18       0.805       13.19       1.215       10.24        1.29       3.562      0.6645       1.488       0.332       1.341       0.243       1.181      0.1455      0.2614      0.0601      0.2412      0.0554     0.02113     0.00229
379      0.1755     0.01355      0.3264      0.0473       1.255       0.183       2.472      0.0925       3.274      0.3385       3.129      0.4515       1.532      0.2685      0.7242      0.1336      0.6605     0.09615      0.5893     0.05425      0.1363      0.0264      0.1258      0.0244    0.004695   0.0003775
381      0.3985      0.0648       0.674      0.1187        1.25      0.2581        2.13      0.8445        2.63       1.273       2.403       1.266       1.127      0.6224       0.529      0.2963       0.482      0.2597      0.4295       0.219     0.09921     0.05599      0.0916     0.05171    0.003393    0.001758
385      0.8379      0.3101       1.772      0.4135       6.169      0.6105       11.42       0.535       12.37       0.645        9.12        1.03       2.939       0.577       1.185      0.2671       1.066      0.1951      0.9387      0.1176      0.2074      0.0489      0.1914      0.0451     0.02019    0.001575
390     0.08795     0.03986      0.1055     0.05597      0.1997      0.1661      0.2492      0.2337      0.2077      0.2005      0.1263      0.1236     0.03363     0.03306     0.01277     0.01255     0.01146     0.01124     0.01005    0.009849    0.002178    0.002135     0.00201     0.00197   0.0004153   0.0004153
391     0.07755     0.04505      0.2609      0.1728      0.6848      0.6132        1.11       1.074       1.094       1.076      0.7796      0.7724      0.2452      0.2436     0.09781     0.09719     0.08793     0.08734     0.07724     0.07669      0.0168     0.01669      0.0155     0.01539    0.001976    0.001975
394      0.4679      0.1379      0.8573      0.2968       1.927       0.503       3.014      0.7845       3.774       1.093       3.417      0.9185       1.643      0.5955      0.8211       0.353      0.7546      0.3085      0.6797      0.2577      0.1816     0.09685      0.1684     0.09026    0.003307    0.003306
398      0.1649      0.1188      0.2962      0.2616      0.3986      0.3824       0.373      0.3672      0.2483      0.2459      0.1269      0.1261      0.0298     0.02963     0.01146     0.01139      0.0103     0.01024    0.009066    0.009008    0.002035    0.002043    0.001879    0.001887    0.001078    0.001078
399      0.2495     0.05785      0.5858       0.195       2.136       0.671       3.472       1.107       3.525       1.088       2.627      0.8225      0.9204      0.3206      0.3834      0.1388      0.3451      0.1128      0.3038      0.0848     0.06666     0.02455     0.06148     0.02265    0.006175    0.002022
401      0.2114     0.07015      0.5267      0.2719       1.091      0.5579       1.282       0.638      0.9723      0.4727      0.4723       0.237      0.1044     0.05487     0.03903     0.02081     0.03501     0.01774     0.03071     0.01445    0.006762    0.003648    0.006245     0.00337    0.002776     0.00147
407       2.352       0.137       7.381      0.1195       17.38       0.455       20.81        0.61       16.14        0.49       8.149      0.2475       1.876       0.057      0.6964     0.02115       0.624     -0.0161      0.5467    -0.05595      0.1189      0.0036      0.1098     0.00335     0.04542    0.001465
409      0.7635      0.4215       1.458      0.6645       2.132      0.6855       1.419      0.5773      0.7557      0.3724      0.3207      0.1861     0.06649     0.04232     0.02513     0.01639     0.02259      0.0143     0.01986     0.01206    0.004442    0.002903    0.004107    0.002677    0.006111    0.002218
413      0.4169      0.2178      0.8047      0.3654       1.228      0.3207       1.012       0.392      0.5804      0.2699      0.2532      0.1371     0.05348     0.03116     0.02022     0.01215     0.01817     0.01052     0.01597    0.008774    0.003564    0.002175    0.003293    0.002008    0.003319    0.001167
414       0.229      0.1876      0.5077      0.4748      0.9877      0.9713       0.986        0.98      0.6872      0.6848      0.3195      0.3186     0.06839     0.06821     0.02499     0.02492     0.02237      0.0223     0.01957     0.01951    0.004212    0.004206    0.003882    0.003888    0.002512    0.002512
416      0.4789      0.3356      0.7273      0.4168       1.109      0.5953      0.8744      0.6187      0.4809      0.3733      0.1947      0.1591     0.04028     0.03398     0.01532     0.01302     0.01377     0.01159     0.01211     0.01006    0.002705    0.002283    0.002502    0.002109    0.002804    0.001592
418       0.283      0.1414      0.7413      0.3987       1.387      0.6625       1.322      0.5907      0.9748      0.4602      0.4889      0.2486      0.1125     0.06074     0.04228     0.02319     0.03793     0.01984     0.03329     0.01625    0.007349    0.004071    0.006784    0.003757     0.00346    0.001733
421      0.2178      0.1462      0.4659      0.3974      0.8239      0.7851      0.8214      0.8056      0.5794      0.5726      0.2727      0.2703     0.05915     0.05865     0.02192     0.02172     0.01968     0.01949     0.01728     0.01711     0.00383    0.003792    0.003537    0.003502    0.002043    0.002043
428      0.1605      0.1136       0.344      0.3059      0.5917      0.5723      0.7217      0.7143      0.6085      0.6055      0.3274      0.3264     0.08026     0.08004     0.03052     0.03043      0.0274     0.02732     0.02407     0.02399    0.005334    0.005316    0.004926    0.004914    0.001476    0.001476
429      0.2989      0.1581      0.6485      0.3596       1.023      0.6424      0.9143      0.6327      0.5949       0.441      0.2653      0.2027      0.0548     0.04288     0.01996     0.01563     0.01786     0.01376     0.01563     0.01177    0.003354    0.002658    0.003097    0.002453    0.002674    0.001726
430      0.3146      0.1859      0.8728      0.5553         1.7      0.9123       1.666      0.7364       1.106      0.4658      0.4959      0.2017      0.1025     0.04044     0.03738     0.01458     0.03346     0.01185     0.02928    0.008935    0.006336    0.002444    0.005849    0.002256    0.004403    0.002368
431      0.3977      0.1388      0.8601      0.2889       1.393       0.375       1.226      0.3833      0.7142      0.2566      0.3043      0.1223     0.06301     0.02767      0.0238     0.01075     0.02139     0.00901      0.0188     0.00714    0.004176    0.001923    0.003859    0.001776    0.003745    0.001092
432      0.4805      0.3027      0.8574      0.4726        1.11      0.4871      0.8267      0.3874      0.5025      0.2801       0.222      0.1424     0.04697     0.03262     0.01784     0.01264     0.01603     0.01111      0.0141    0.009468    0.003156    0.002255    0.002917    0.002081    0.003284    0.001708
433      0.2868      0.2386      0.4457      0.3332      0.6375      0.5445      0.9738      0.9422       1.045       1.034      0.9228      0.9192      0.4834      0.4827      0.2536      0.2534      0.2343      0.2341      0.2124      0.2122     0.06013     0.06007     0.05588     0.05582    0.001691     0.00169
437      0.1512     0.05753      0.3265      0.1159       1.259      0.4282       2.095      0.9795       2.141       1.068       1.572      0.8061       0.532      0.2883       0.226      0.1281      0.2039       0.111      0.1797      0.0922     0.03964     0.02283     0.03656     0.02106     0.00368    0.001704
438       1.868       0.246        4.86       0.205       8.646       0.636       7.666       1.062       4.853      0.9625       2.126      0.4835      0.4301      0.1103      0.1563     0.04045      0.1398      0.0301      0.1223      0.0191     0.02643     0.00679      0.0244    0.006265     0.02269     0.00127
439      0.6766      0.1856      0.7147       0.261      0.6469      0.3882       0.659       0.553      0.5215      0.4759      0.2757       0.259      0.0689      0.0655     0.02669     0.02535     0.02401     0.02274     0.02112     0.01992    0.004765    0.004505    0.004404    0.004163    0.001072    0.001071
442       0.765      0.0605       2.216      0.1785       5.113      0.0925       5.835      0.6295       4.402      0.7535       2.164       0.471       0.488      0.1276      0.1825     0.04995      0.1638     0.03805      0.1436      0.0253     0.03158    0.008955     0.02916     0.00827     0.01322     0.00031
449       2.566      0.1315       5.683      0.3095       8.235       0.503       5.219       0.327       2.582       0.163        0.98       0.062      0.1993      0.0126     0.07532     0.00475     0.06752    0.000645     0.05926    -0.00375     0.01327    0.000855     0.01229     0.00079     0.01877    0.001205
450      0.1876       0.056       0.339     0.09755      0.9891      0.5309        1.78       0.671       2.262       0.775       2.029      0.7605       1.028      0.4679      0.5075      0.2499      0.4657      0.2198      0.4188      0.1858      0.1023     0.05471     0.09446     0.05054    0.002979     0.00138
451      0.1174     0.06223      0.2361      0.1907        0.41      0.3872      0.4078      0.3994      0.2638      0.2603      0.1293       0.128     0.02892     0.02867     0.01103     0.01094    0.009919    0.009826    0.008724    0.008636    0.001952    0.001944    0.001796    0.001802    0.001014    0.001014
468      0.2081      0.0794      0.3566      0.1056      0.8521      0.3069       1.971       0.613       2.645      0.9425       2.669       1.069       1.467      0.6934      0.7453      0.3807      0.6853      0.3367       0.618      0.2874      0.1544     0.08579      0.1427     0.07938    0.003623    0.001368
