#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
317      0.9188      0.3073        1.93       0.552       2.932       1.219       2.157       1.185        1.15      0.6979      0.4514      0.2912     0.09202     0.06178     0.03484     0.02365      0.0313     0.02069      0.0275     0.01751    0.006127    0.004153    0.005666    0.003834    0.007281    0.002226
330      0.1069     0.02318      0.3277      0.0874       1.432      0.4721       2.519       1.016       2.498       1.192       1.759      0.9636      0.5443      0.3341      0.2164      0.1371      0.1944      0.1193      0.1708         0.1     0.03712     0.02371     0.03424     0.02187     0.00458    0.001783
337     0.07955     0.04425      0.1915      0.1125      0.7486      0.5714       1.293       1.069       1.337       1.126      0.9927      0.8434      0.4132      0.3667      0.1866       0.168      0.1691      0.1515      0.1497      0.1331     0.03409      0.0309     0.03148     0.02854    0.002282    0.001903
339      0.3784      0.3041      0.7244      0.6056       1.156      0.9289       0.986        0.77      0.5938      0.4632      0.2538      0.1966     0.04986     0.03864     0.01817     0.01405     0.01634     0.01243     0.01437     0.01068    0.003223    0.002519    0.002977    0.002327    0.003039    0.002509
340      0.3054      0.2099      0.8288      0.6563       1.613       1.241       1.599       1.214       1.108      0.8314      0.5305      0.3999      0.1307      0.1023     0.04972     0.03922     0.04465      0.0347     0.03921     0.02985    0.008685    0.006886     0.00802    0.006359    0.004115    0.003221
343      0.5929      0.3132       1.191      0.7678        2.07       1.292       2.135       1.396       1.335      0.8877      0.6138      0.4162       0.132     0.09296     0.05028     0.03589      0.0452     0.03156     0.03976     0.02692    0.008874    0.006426    0.008195    0.005935    0.005119    0.003332
356      0.9122      0.2329       2.194        0.61       3.641       1.091       3.376       1.197        2.33       0.982       1.089      0.5079      0.2348      0.1188     0.08588     0.04383     0.07687     0.03702     0.06726     0.02978      0.0145    0.007371     0.01339    0.006805    0.009438    0.002923
365      0.2734       0.183      0.5848      0.4212       1.058      0.7155       1.008      0.6501      0.6669      0.4541      0.3316      0.2412     0.07575     0.05806      0.0285     0.02204     0.02558     0.01945     0.02245     0.01668    0.004954    0.003859    0.004575    0.003563     0.00263     0.00181
368       0.448      0.3417       0.841      0.6341        1.19      0.7641      0.9405      0.5285      0.5084      0.2839      0.2028      0.1163     0.04257     0.02694     0.01613     0.01048      0.0145    0.009144     0.01275    0.007709    0.002854    0.001871    0.002638    0.001726    0.003394    0.002372
371      0.2832      0.2253      0.4607      0.3358       1.636       1.296       3.504       2.159       5.973       1.428       8.034       1.772        6.84        4.15       4.889       3.676       4.653       3.496       4.362       3.269       1.515       1.296       1.419       1.216    0.009789   0.0004115
374       1.213      0.5575       2.067        0.97       3.209       1.265       3.149       1.384       1.905       0.911      0.8293      0.4417      0.1704     0.09854     0.06384     0.03786     0.05734     0.03272     0.05036      0.0272      0.0111    0.006715     0.01026      0.0062    0.007684    0.003076
375      0.5744      0.2001       1.314      0.6125       2.736       1.331       3.207       1.847       2.647       1.696       1.406       0.963      0.3431      0.2473       0.131     0.09543      0.1177     0.08398      0.1034     0.07168     0.02309     0.01694     0.02133     0.01564    0.006648    0.003752
376       1.762       0.284       4.403       0.632       19.05        2.55       33.21        4.07       34.71       6.225          26        6.09       8.695       2.705       3.562       1.211       3.205      0.9735       2.819       0.717      0.6174      0.2156      0.5694      0.1989     0.06014    0.007555
379       0.107     0.01638      0.2471     0.06185       1.249       0.503        4.34      0.8945       6.707      0.7945        7.19       0.108       4.106      0.5415       2.052      0.3715       1.884       0.277       1.695       0.171      0.4166      0.1002      0.3848      0.0928    0.009335    0.001086
381      0.7056           0       1.427           0       5.294           0       9.234           0        11.5           0       10.43           0       4.779           0       2.213           0       2.012     -0.1005        1.79     -0.2115      0.4076           0      0.3762           0     0.01697           0
385       1.065      0.6147       2.283       1.064        6.56       2.096       10.73       2.488       11.03       3.228        8.48        3.29       2.895        1.43       1.196      0.6334       1.077      0.5434      0.9488      0.4464      0.2108      0.1147      0.1945       0.106     0.01882    0.003655
390     0.09209     0.05852      0.2131      0.1375        0.56       0.505      0.7887      0.7623      0.6851      0.6729      0.4257       0.421      0.1143      0.1133     0.04334     0.04295     0.03887      0.0385     0.03408     0.03373    0.007348    0.007272     0.00678     0.00671    0.001458    0.001458
391      0.0906      0.0564      0.3149      0.2217       0.876       0.671       1.223      0.9697       1.177      0.9521      0.8155      0.6725      0.2438      0.2051     0.09559     0.08091     0.08584     0.07191     0.07538     0.06226     0.01636     0.01385     0.01508     0.01278    0.002312     0.00186
394      0.7098      0.5683       1.095      0.8108       1.701       1.243       2.003       1.731        1.74       1.623      0.9968      0.9572      0.2602      0.2531      0.1005     0.09797      0.0904     0.08797      0.0795     0.07722     0.01783     0.01738     0.01648     0.01606    0.004126    0.002926
398      0.3066      0.2454       0.617        0.53      0.9052      0.7588      0.6987      0.5623      0.3839      0.3011      0.1586      0.1221     0.03302     0.02583     0.01264    0.009992     0.01136    0.008851     0.00999    0.007626    0.002241    0.001797    0.002072    0.001658     0.00251     0.00218
399      0.2513      0.0911      0.5782      0.2697       2.644       1.229       5.264       2.143       5.962        2.28       4.708       1.716       1.677        0.59      0.6934       0.256       0.624      0.2087      0.5491      0.1577      0.1204     0.04521      0.1111     0.04174    0.009359    0.003662
401      0.2256     0.06215      0.5651      0.2366       1.195      0.4598       1.407      0.5057       1.071      0.3691      0.5165      0.1901      0.1137     0.04496     0.04245     0.01718     0.03807     0.01411      0.0334     0.01084     0.00735    0.003031    0.006784    0.002796    0.003051    0.001209
407       2.818      0.7865       7.503       1.968       16.16        2.02       20.04       2.375       16.02       3.115       8.334       2.076       1.983       0.592      0.7455       0.235      0.6688       0.185      0.5867      0.1315      0.1288      0.0427      0.1189     0.03946     0.04122    0.002995
409       1.204      0.2444       2.261       0.404       2.769      0.6885       1.808       0.639      0.8935      0.3645      0.3378      0.1532       0.062     0.02892     0.02241     0.01042     0.02006    0.008705     0.01756     0.00687    0.003872    0.001753    0.003586    0.001616    0.008792    0.001578
413      0.5693      0.4447      0.9879      0.7681       1.275      0.8854      0.8673      0.6048      0.4782       0.361      0.2128      0.1724     0.04537     0.03815     0.01728     0.01466     0.01554     0.01306     0.01367     0.01133    0.003063      0.0026    0.002831      0.0024    0.003801    0.002814
414      0.3331      0.2441      0.8031       0.637       1.546       1.188       1.564       1.179       1.079      0.8357      0.4974      0.3927      0.1056     0.08496     0.03859     0.03103     0.03454     0.02738     0.03022     0.02348    0.006514    0.005226    0.006012    0.004828    0.003934    0.003073
416       0.596      0.4012      0.9495      0.5465       1.152      0.6663      0.8997      0.6543      0.4919      0.3886       0.199      0.1648      0.0412     0.03515     0.01567     0.01346     0.01409       0.012     0.01238     0.01042    0.002767    0.002361     0.00256     0.00218    0.003556    0.002086
418      0.1776     0.04885      0.4781      0.1948       1.095       0.402       1.334      0.5083       1.032      0.4481      0.5151      0.2451      0.1172     0.06141     0.04397      0.0235     0.03945     0.02006     0.03462     0.01636    0.007635    0.004135     0.00705    0.003819    0.002797    0.001076
421      0.3527      0.2365      0.8151      0.5889       1.446      0.9385         1.5      0.9431       1.041        0.69         0.5      0.3484       0.117     0.08691     0.04415     0.03315     0.03963     0.02921     0.03479     0.02498     0.00769     0.00581    0.007096    0.005373    0.003748    0.002512
428      0.2604      0.1903       0.642        0.52       1.189      0.9307        1.18      0.8902      0.8315      0.6405      0.4166      0.3331      0.1003     0.08351     0.03802     0.03188     0.03413     0.02831     0.02997     0.02449    0.006635    0.005584    0.006124    0.005156    0.003028    0.002407
429      0.2685      0.1962      0.5619      0.4411      0.9201      0.6799      0.8587      0.6154      0.5639      0.4106      0.2656      0.2003     0.05992     0.04708     0.02251     0.01782      0.0202     0.01576     0.01773     0.01355     0.00391    0.003118    0.003611    0.002879    0.002334     0.00177
430      0.3556      0.2291      0.9888      0.6782       1.909        1.14       1.883      0.9205       1.281      0.5535      0.5744      0.2399      0.1187     0.04814     0.04328     0.01737     0.03874     0.01418      0.0339     0.01077    0.007337    0.002913    0.006773    0.002688    0.004944    0.002959
431      0.4389      0.1418      0.9583      0.2847       1.581      0.3335       1.356       0.322      0.7878      0.2242      0.3369       0.108     0.06992     0.02465     0.02644    0.009595     0.02376     0.00778     0.02088     0.00583    0.004641    0.001719    0.004288    0.001587    0.004223    0.001011
432       0.443      0.3359      0.8108      0.6242        1.14      0.7804      0.8563      0.5138      0.4976      0.3015      0.2254      0.1467     0.04839     0.03288     0.01844     0.01268     0.01658     0.01111     0.01459    0.009436    0.003257    0.002268    0.003009    0.002095    0.003234    0.002387
433       0.326      0.2742       0.495      0.3742      0.7509      0.6142       1.081       1.035       1.436       1.419        1.31       1.305       0.564       0.563      0.2542      0.2539      0.2303      0.2299      0.2038      0.2035     0.04638     0.04629     0.04282     0.04275     0.00237    0.001716
437      0.1784     0.08994      0.4277      0.2511       1.778       1.359       3.176       2.629        3.31       2.781       2.453       2.072      0.9056      0.7834      0.4099      0.3607      0.3716      0.3248      0.3292      0.2851       0.075      0.0665     0.06927     0.06143    0.005608    0.004682
438       1.702       0.141       5.027      0.3715       9.681      0.9495       9.256       1.244       6.232       1.016       2.818      0.5205      0.5881      0.1206      0.2143     0.04435      0.1918      0.0308      0.1678      0.0163     0.03618     0.00745      0.0334    0.006875     0.02489    0.002435
