#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
              0           1724        1.09307         1.2596          12.39          6.254          10.48
              0           1734        1.77815        1.63492             60          28.49          10.16
             -1           1735         2.9509        3.22216          893.1          172.8             12
             -1           1737        1.27807         1.6222          18.97          1.176          10.82
              0           1740       0.571709       0.689634           3.73          2.253          9.888
             -1           1741       0.872681        1.27772          7.459         0.7571          10.47
              0           1747        1.31281        1.68375          20.55          10.81          10.42
             -1           1753        1.31154        1.83559          20.49          3.004          11.05
             -1           1762        2.28533        2.15039          192.9          46.73          10.98
              0           1764       -1.36512      -0.447264        0.04314        0.04314          8.948
              0           1775        1.45849        1.22201          28.74          15.23          9.978
              0           1779       0.631342       0.702977          4.279          1.505          9.788
              0           1813        1.01578        1.64124          10.37          6.263          10.58
              0           1814        1.17026        2.15586           14.8          9.834           11.2
             -1           1818        1.30211        1.43542          20.05          5.992          10.32
              0           1822      -0.224317       0.182602         0.5966         0.4511          9.618
              0           1824        2.58309       -84.5068          382.9          382.9            -99
             -1           1836      -0.738024       0.131802         0.1828         0.0435          9.728
             -1           1843       0.378398       0.622787           2.39         0.5263          9.968
             -1           1847       0.728678        1.06085          5.354          1.513          10.29
              0           1850        1.80665        1.23179          64.07          50.54          9.728
              1           1855       0.986951      0.0805659          9.704           1.72          8.838
             -1           1859      0.0480532      0.0965985          1.117         0.2722          9.348
              0           1865       0.544936         1.1622          3.507          1.569          10.23
             -1           1866         1.3166          1.178          20.73          2.962           10.3
              0           1870         1.1014         1.3834          12.63          6.741          10.14
             -1           1880        1.02078        1.54528          10.49          1.734          10.94
              0           1886        1.88013        1.59663          75.88          53.18          10.03
             -1           1894       0.668665       0.857559          4.663         0.9642          9.948
              0           1899       0.574031       0.733559           3.75          2.007          9.788
             -1           1907      0.0777312      0.0650733          1.196         0.1643          9.308
             -1           1908       0.340642       0.325773          2.191         0.2781          9.638
              0           1918      -0.773916      -0.283773         0.1683        0.07104          9.178
              0           1919       0.193959       -0.12072          1.563         0.6496          8.828
              1           1921         2.7542        1.78542          567.8          82.46          10.17
              1           1930        1.60756        1.00334          40.51         0.7241          10.19
             -1           1937      -0.791559      -0.543715         0.1616        0.01467          8.848
             -1           1938      -0.761703       -0.75752         0.1731        0.03049          8.578
              0           1944        1.30492        1.90328          20.18          10.12          11.02
              0           1945        2.70018        2.15398          501.4            212          10.65
             -1           1951       0.940865        1.08094          8.727          2.179          10.23
              0           1960       0.618571       0.937551          4.155          2.154          10.14
             -1           1961       0.106531     -0.0273252          1.278         0.1982          9.218
              0           1968       0.883548        1.30787          7.648          2.694          10.42
             -1           1973        1.37822        1.62278          23.89          4.545           10.6
