#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
559           0       11.07       11.07       81.24       56.45       24.79       62.98       29.52        1.26       0.203
561       6.018       3.703       3.703       11.67       14.72       12.03       16.14       10.61        1.39       0.215
562           0       7.631       7.631       63.52       76.62       56.08       82.81       49.89       2.893      0.2355
564           0       16.36       16.36        1751        1749       21.34        1777       25.83       4.055           0
581      0.4973       1.188       1.188       3.171       9.252        7.57       9.681       7.141        1.31       0.208
593           0        8.22        8.22       90.12       70.12       32.22       73.33       34.72        1.45       0.221
597           0     0.04267     0.04267       22.68       41.43       34.21       41.46       34.17        2.28       0.295
598       25.17       20.41       20.41       35.75       34.26       14.46       52.18       16.33       1.364           0
604           0      0.2989      0.2989       1.652       3.876       3.042       3.927       3.001      0.5778        0.14
606      0.5041      0.6628      0.6628       5.627       5.353       1.149       6.016      0.4861       1.008           0
620           0      0.8421      0.8421       8.571       8.135      0.4357       8.856      0.9668         0.8           0
621       62.54       100.9       100.9       137.3       211.2       84.61       290.8       121.5        2.48       0.313
622      0.8886       1.636       1.636       11.69       12.79       9.824       13.72       9.557        1.33        0.21
628      0.2057      0.8712      0.8712       9.282       9.087       3.105       9.958       2.234       1.255           0
631           0       2.859       2.859       40.56       33.49       15.85       35.18       14.17        1.39       0.215
637      0.6028       0.793       0.793       2.949       2.971      0.1964       3.698      0.6653       0.503           0
638     0.03145       4.239       4.239       20.83       20.55      0.2907       24.79       3.948       0.711           0
652       7.241       6.748       5.837       36.08       38.99        9.94       47.12       6.595       1.777      0.0465
658       21.19       73.78       73.78       808.2       769.8       53.94       843.6       19.84       4.051           0
659           0       80.69       80.69       822.3       757.9       64.42       808.6       46.46       4.056           0
661      0.9935       1.251       1.251       1.574       6.794       5.234       7.554        5.12        1.36       0.212
664           0       5.071       5.071       13.39       29.15       22.64       31.98       19.81        2.37       0.303
669       3.117       3.332       3.332        47.9        45.7        3.42       48.55       4.631       1.142           0
672           0      0.3085      0.3085        5.47       4.632      0.8562       4.941      0.5478      0.9452           0
689           0      0.2344      0.2344       3.319       3.319       2.058       3.523       1.854       0.713           0
692           0       0.194       0.194        2.74       2.717     0.02361       2.911      0.1704       0.281           0
697       26.43       25.92       4.434       72.67       73.38       6.126        99.3       1.692       2.172           0
702           0       7.597       7.597       44.28        40.6       33.32       50.85       34.58        2.22        0.29
710      0.3695      0.3956      0.3956      0.6554       2.049       1.423       2.465       1.582      0.9352      0.1698
713     0.05288      0.2168      0.2168       2.845        2.33      0.6813       2.546      0.4645      0.7762           0
714       120.6       118.3       20.24       416.9       418.5       14.79       536.8       5.448       4.058           0
718       1.991       2.312       2.312       8.248       9.257       5.982       11.11       5.719      0.9719      0.1701
719           0        5.12        5.12       14.41       15.27       10.86       18.48       7.652        2.04       0.274
721     0.06357       0.114       0.114       1.498       1.305      0.4328       1.419      0.3188      0.5953           0
729           0      0.1922      0.1922       4.518       4.039      0.4977       4.231      0.3054       0.905           0
737      0.6161       1.856       1.856       12.34       12.24      0.3681       14.04       1.665       0.585           0
740     0.05928      0.1035      0.1035      0.3364      0.9828      0.6464       1.022       0.626      0.4158        0.08
748     0.06273      0.5175      0.5175        3.29       4.892       2.815       5.182       2.525       1.322        0.12
749           0      0.1068      0.1068       3.511       3.003      0.5086       3.056       0.455       0.708           0
753     0.03468     0.01924     0.01544      0.1744      0.2246      0.1016      0.2439     0.08618      0.3308           0
760      0.2112      0.4993      0.4993       6.297       5.322       1.582       5.728       1.177      0.8615           0
762           0      0.2477      0.2477       6.862       5.914      0.9479       6.079      0.7821       0.707           0
768           0       4.938       4.938       24.82       32.23       27.46       34.79        24.9        2.53       0.318
776           0      0.1038      0.1038       2.301       1.741       1.109       1.756       1.094      0.5687        0.14
779       29.35       28.37      0.9806       6.549       7.982       1.976       36.35      0.9954        1.45           0
786           0       1.723       1.723       17.36       17.86       9.596       19.12       8.333       2.431      0.1465
793           0       2.553       2.553       119.2       96.18       23.02       97.43       21.76       2.704       0.078
804       1.234      0.7099      0.6073       1.401       5.242       3.841       6.169       3.534       0.951        0.04
805           0       1.029       1.029       31.82       27.68       11.76       28.31       11.13       1.504      0.1105
807       1.374       100.2       100.2       315.2       301.7       141.2       374.4       133.7        2.65      0.3285
808       1.618       1.225       1.225        2.94       3.251      0.3106       4.547       1.235       0.473           0
809      0.1553      0.1352     0.05733      0.4574      0.6809      0.2308      0.8068      0.2014       0.476        0.02
825           0      0.2886      0.2886       7.596       6.341       1.255        6.56       1.036       1.022           0
826           0      0.3603      0.3603       5.795       3.527       2.272       3.761       2.277      0.6233        0.14
827           0       5.582       5.582       134.8       128.9        5.95         132       8.194       1.371        0.02
837           0       1.595       1.595      0.6228        60.3       59.83       60.32       59.82       1.501         1.1
841         102       176.5       176.5       438.8       445.7       33.53       606.5       158.8       6.601         1.3
849           0       1.156       1.156       19.87       17.36       6.191       17.45       6.099       1.522      0.2025
860       61.98       62.46       12.08       64.31       71.41       11.56       138.5       16.69       2.945      0.0955
866        1.81        2.47        2.47       2.675       12.23       9.558       14.01        9.53        1.27       0.204
867           0      0.3438      0.3438       6.709       7.865        3.47       7.965        3.37       1.274       0.117
870           0        14.4        14.4       38.01       35.59       4.645       50.16       12.15        0.84           0
872       14.61       19.07       19.07       45.77       47.23       23.83       64.34       16.86       2.057       0.202
877           0       1.758       1.758        26.7       30.86        21.6        31.1        21.8        1.45       0.221
878     0.07442     0.08145     0.01664      0.4706      0.4568     0.05282      0.5383     0.03618      0.2755           0
881       1.221       4.802       4.802       12.91       21.07       11.98       23.43       9.626        2.15       0.283
884       2.797       53.68       53.68       528.7       511.9       45.41         559       28.44        3.53      0.0445
885       26.46       15.18       15.18       7.225       11.28        5.36          28       11.99      0.9032           0
886           0     0.07057     0.07057       1.394       1.256      0.3258       1.318      0.2644       0.475           0
892      0.7887       2.218       2.218       14.54       12.55       6.867       14.95       4.833        1.45           0
893       1.052       2.321       2.321       24.02       23.48      0.8909       25.31       2.105        0.94           0
899     0.04783     0.05929     0.05929      0.4242      0.5905      0.3589      0.6566      0.3295      0.4869        0.04
902       6.578       7.101       3.568       16.89       16.49       1.321       23.63        2.69       0.962           0
915           0       13.46       13.46       287.7       270.6       22.21       273.9       23.57       2.635           0
917       34.11       31.77       31.77       88.59        81.5       33.43       96.95       44.88         1.5       0.225
922       1.848       1.531       1.531       7.152        11.8       6.187          13       4.983        1.81       0.253
923           0       3.852       3.852       160.6       181.1       71.36       181.9       71.72        1.92       0.263
924     0.02897     0.06164     0.06164      0.3366      0.6951      0.4443      0.7282      0.4271      0.4641        0.09
926      0.5163       2.313       2.313       25.29       29.21       20.85       30.47       20.83         1.6       0.234
928           0       0.119       0.119       1.063       1.996       1.463       2.099        1.36      0.8281        0.09
931           0       2.339       2.339        6.37       5.427       2.962       7.091       4.525      0.7425        0.15
934           0      0.1279      0.1279       3.178       3.106      0.6238       3.225      0.5044      0.7078           0
937       3.026       2.197       1.046       10.76       10.97       2.539       12.98       2.678       1.032           0
939       5.033       5.463       3.908       41.31       38.27       4.449       43.53       5.325       0.947           0
950       56.45       67.08        34.6       98.33       100.5       32.68       185.7       32.48       2.713       0.087
951           0      0.3889      0.3889       1.011      0.9215      0.6082        1.24      0.9232      0.2857        0.09
960           0     0.04067     0.04067      0.8433      0.7277      0.5469      0.7481      0.5291      0.4158        0.08
965           0       1.498       1.498        23.9       23.11       5.442       23.48       5.335        1.54      0.0645
966      0.4083      0.2042      0.2042       8.496        10.1       1.605       10.33       1.423       1.303           0
972     0.02936     0.01938     0.01938      0.3059      0.3858      0.1685      0.4031      0.1564      0.3466        0.02
974   2.017e-07   6.577e-07   6.577e-07       768.5         623       146.4         623       146.4       5.366      0.2425
994       4.206        5.07       4.056       5.365       11.19       7.038       15.95       8.737       1.119      0.1899
995       1.487       1.589       1.589       21.37       20.22       1.653       21.87       2.107       1.306           0
1002       2.298       2.292       2.292       8.729       9.246       1.287       11.26       1.759       0.948           0
