#        _id   snrFIRSMM     zFIRSMM      snr100      snr160      snr250      snr350      snr500      snr850     snr1160
#
         710   4.308e-05      0.9352   4.002e-05   1.593e-05         -99         -99         -99      1e-109         -99
         713       1.502      0.7762       1.502   2.187e-05         -99         -99         -99      1e-109         -99
         714       4.278       4.058       1.365       3.845       1.288   6.406e-08   3.548e-08   8.675e-51   3.152e-10
         718       2.801      0.9719      0.7646       2.694         -99         -99         -99      1e-109         -99
         719       1.871        2.04      0.3565       1.837         -99         -99         -99      1e-109         -99
         721       2.838      0.5953       0.176       2.833         -99         -99         -99      1e-109         -99
         729       4.371       0.905         3.3       2.866         -99         -99         -99      1e-109         -99
         737       24.25       0.585       19.68       12.76       6.057       1.052         -99      1e-109         -99
         740       2.037      0.4158       2.037     7.2e-06         -99         -99         -99      1e-109         -99
         748   3.778e-05       1.322   3.395e-05   1.658e-05         -99         -99         -99      1e-109         -99
         749        1.67       0.708   1.538e-05        1.67         -99         -99         -99      1e-109         -99
         753       0.671      0.3308       0.671         -99         -99         -99         -99      1e-109         -99
         760        2.67      0.8615       2.319       1.324         -99         -99         -99      1e-109         -99
         762        2.98       0.707       2.962      0.3329         -99         -99         -99      1e-109         -99
         768      0.6525        2.53     0.02376      0.6521         -99         -99         -99      1e-109         -99
         776       3.016      0.5687       1.539       2.593         -99         -99         -99      1e-109         -99
         779      0.8771        1.45      0.8771   2.282e-05         -99         -99         -99      1e-109         -99
         786       1.295       2.431      0.7423       1.061         -99         -99         -99      1e-109         -99
         793   5.692e-05       2.704   5.191e-05   2.334e-05         -99         -99         -99   8.675e-51         -99
         804       1.637       0.951      0.8462       1.401         -99         -99         -99      1e-109         -99
         805       2.987       1.504       1.959       1.011       2.016         -99         -99      1e-109         -99
         807       8.555        2.65       6.341       5.073        2.44       1.119   4.346e-08   8.675e-51      0.1739
         808       8.095       0.473       7.811       2.126    5.05e-08         -99         -99      1e-109         -99
         809      0.2818       0.476      0.2817    0.007062         -99         -99         -99      1e-109         -99
         825        1.11       1.022       0.614      0.9252         -99         -99         -99      1e-109         -99
         826       3.226      0.6233        1.66       2.766         -99         -99         -99      1e-109         -99
         827       19.91       1.371       12.76       12.18         3.7       6.239        5.19       2.348      0.5682
         837       2.291       1.901       1.064       1.154       1.118   4.739e-08      0.4002      0.8422      0.8165
         841       3.017       6.751      0.4478      0.5927   1.353e-07   5.606e-08   3.279e-08   3.618e-09       2.924
         849       1.101       1.522       1.101    1.69e-05         -99         -99         -99      1e-109         -99
         860       1.413       2.945     0.05239       1.412           0         -99         -99      1e-109         -99
         866        1.14        1.27   3.585e-05        1.14         -99         -99         -99      1e-109         -99
         867       2.581       1.274      0.2158       2.572         -99         -99         -99      1e-109         -99
         870        20.7        0.84       16.48        12.3       2.259      0.5862         -99      1e-109         -99
         872       2.887       2.057       2.887   1.529e-05         -99         -99         -99      1e-109         -99
         877       1.409        1.45      0.3739    9.14e-06       1.358         -99         -99      1e-109         -99
         878       4.696      0.2755       4.322       1.835         -99         -99         -99      1e-109         -99
         881       2.229        2.15       2.105      0.7334         -99         -99         -99      1e-109         -99
         884       7.733        3.53       0.124       6.773       2.989       1.999      0.9026      0.4263   1.833e-10
         885       8.456      0.9032       8.146       1.313       1.849         -99         -99      1e-109         -99
         886       2.544       0.475       1.887       1.707         -99         -99         -99      1e-109         -99
         892       1.574        1.45     0.05918       1.573         -99         -99         -99      1e-109         -99
         893       12.17        0.94       7.951       7.666       4.634       2.143         -99      1e-109         -99
         899      0.4822      0.4869      0.4822    1.67e-05         -99         -99         -99      1e-109         -99
         902       9.966       0.962       6.252       6.432       4.086       1.472         -99      1e-109         -99
         915       12.04       2.635       1.905       8.562       5.002       1.452      0.3673       6.142       1.709
         917       8.922         1.5       4.595       5.115       3.752       3.833       1.884   8.675e-51   2.443e-10
         922       2.055        1.81      0.8394       1.876         -99         -99         -99      1e-109         -99
         923       9.959        1.92       5.728       6.651       3.795       2.426        1.14   8.675e-51      0.7316
         924      0.6245      0.4641   4.874e-05      0.6245         -99         -99         -99      1e-109         -99
         926       2.675         1.6       2.234   1.184e-05       1.471         -99         -99      1e-109         -99
         928       1.058      0.8281       0.383      0.9865         -99         -99         -99      1e-109         -99
         931       5.341      0.7425        3.12       4.336   6.723e-08         -99         -99      1e-109         -99
         934       3.518      0.7078       1.955       2.925         -99         -99         -99      1e-109         -99
         937       4.328       1.032       4.328     0.03819         -99         -99         -99      1e-109         -99
         939        17.3       0.947       15.36       7.659       1.389       1.636         -99      1e-109         -99
         950        3.57       2.679       2.998       0.626         -99         -99         -99       1.834         -99
         951       5.767      0.2857       2.545       4.773       1.999         -99         -99      1e-109         -99
         960       1.112      0.4158   2.484e-05       1.112         -99         -99         -99      1e-109         -99
         965       3.635        1.54   5.615e-05       3.452       1.138         -99         -99      1e-109         -99
         966      0.9324       1.303      0.9324   2.222e-05         -99         -99         -99      1e-109         -99
         972      0.4759      0.3466      0.4759   1.852e-05         -99         -99         -99      1e-109         -99
         974       2.279       5.457         -99         -99         -99       1.232      0.9735   3.413e-09       1.651
         994      0.9522       1.119      0.8847       0.352         -99         -99         -99      1e-109         -99
         995       5.987       1.306       2.614       3.777       3.457       1.671         -99      1e-109         -99
        1002        5.45       0.948       4.844       2.498         -99         -99         -99      1e-109         -99
        1005       15.07       2.867       7.977       11.01       5.067       1.729       1.752       3.274   4.807e-10
        1006       30.28       0.946       18.65       23.23       5.006       2.072         -99      1e-109         -99
        1008       12.88       1.029       8.852       8.578       3.352       1.635         -99      1e-109         -99
        1023       2.189        2.24      0.6517        2.09         -99         -99         -99      1e-109         -99
        1026       1.321       1.811   5.567e-05       1.321         -99         -99         -99      1e-109         -99
        1035      0.0238      0.7778      0.0238    3.12e-05         -99         -99         -99      1e-109         -99
        1036      0.3115       4.343      0.1821   1.307e-05     0.04054   4.507e-08      0.2494   8.675e-51   2.355e-10
        1037       5.226      0.7703       3.208       3.191       2.616         -99         -99      1e-109         -99
        1042       1.924        1.06       1.924         -99         -99         -99         -99      1e-109         -99
        1053       3.703        2.43       3.556      0.9361       0.236      0.3646         -99    1.67e-09   4.085e-10
        1058       2.124       1.038    5.17e-05       2.124         -99         -99         -99      1e-109         -99
        1064       3.799      0.5869       3.035       2.284         -99         -99         -99      1e-109         -99
        1075       1.425       1.055      0.9853        1.03         -99         -99         -99      1e-109         -99
        1076       5.977         1.6       5.196       1.471       1.207       2.137         -99   2.707e-09      0.7346
        1077       4.344       0.938       3.502       2.153       1.403         -99         -99      1e-109         -99
        1081       2.185      0.2293       1.553       1.537         -99         -99         -99      1e-109         -99
        1084       19.48       1.144        13.3       11.81       6.201        3.58       3.201      0.8363      0.8515
        1089       2.541      0.9719        1.55       2.014         -99         -99         -99      1e-109         -99
        1091      0.4578       2.783      0.4578   3.155e-05         -99         -99         -99      1e-109         -99
        1094       7.119        3.53       2.189        3.06       5.308       2.553         -99   8.675e-51       1.351
        1101       1.106       1.082       1.106   9.786e-06         -99         -99         -99      1e-109         -99
        1102       8.592      0.4724       8.511       1.179         -99         -99         -99      1e-109         -99
        1103       13.02       1.363       9.861       8.243        1.78         -99         -99       1.074         -99
        1104       7.619      0.5948       7.125       2.586      0.7764         -99         -99      1e-109         -99
        1105       11.04      0.9441       6.992       7.435        4.15      0.6215         -99      1e-109         -99
        1109       7.598       1.551       4.045       5.369       2.387       2.015       1.671   3.331e-09   2.826e-10
