#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
      1105     0.94410     0.94410       9.700       1.169599      0.6366845      0.5329142
      1109    -1.00000     1.60100       9.700       5.667489   7.515418e-18       5.667489
      1113     1.45700     1.45700      12.100       9.982458       1.007753       8.974705
      1118     0.38660     0.38660       3.300       2.314127     0.07742595       2.236701
      1121     0.79970     0.79970     101.000       10.53955       3.478147       7.061405
      1123    -1.00000     2.90390      25.000       4.223546       1.260239       2.963308
      1125     1.02300     1.02300       6.100       2.488303      0.4679928        2.02031
      1129    -1.00000     2.62000     101.000       4.163635       2.205598       1.958037
      1133     0.25380     0.25380       6.100       7.335227      0.2792914       7.055935
      1135    -1.00000     0.14100       2.200       42.36363   3.580757e-18       42.36363
      1140    -1.00000     0.34680       9.700       2.353589    0.003380259       2.350209
      1141    -1.00000     1.36380      12.100      0.3947961    0.001697933      0.3930981
      1143     0.28040     0.28040       2.200       2.110342    0.006422875       2.103919
      1144    -1.00000     1.16224       9.700      0.8326372     0.01227102      0.8203662
      1146    -1.00000     0.40100     101.000       18.38291      0.3570791       18.02583
      1147    -1.00000     1.34136     101.000        3.24839      0.3523792       2.896011
      1148    -1.00000     3.55620      30.000       10.29179    0.006795374         10.285
      1150     1.36400     1.36400      25.000      0.4375702      0.2242894      0.2132808
      1159    -1.00000     3.25100      25.000       19.42177       5.463493       13.95828
      1160    -1.00000     2.27000      25.000        2.82868       1.234748       1.593932
      1167     2.92000     2.92000     101.000       5.581285       0.090191       5.491094
      1168    -1.00000     3.00100      50.000       2.434824     0.08055729       2.354266
      1172    -1.00000     1.14127       6.100       1.563321    0.008038132       1.555283
      1181    -1.00000     1.67734      25.000       2.143571      0.6919987       1.451573
      1186    -1.00000     1.61498       9.700       1.778298   8.597093e-20       1.778298
      1202    -1.00000     1.62080      25.000       3.323152    0.000177699       3.322975
      1208    -1.00000     1.46482     101.000       5.036897       2.472849       2.564048
      1221    -1.00000     1.19650       6.100      0.8700565     0.03065148       0.839405
      1222    -1.00000     0.84180     101.000       5.394092      0.5608617        4.83323
      1225    -1.00000     0.51410       3.300       13.00341     0.05527328       12.94813
      1235     0.89190     0.89190      14.500       1.306628     0.01206533       1.294562
      1239     0.83600     0.83600       6.100       8.260997      0.8638505       7.397147
      1248    -1.00000     1.21984       9.700       0.564618   0.0001432498      0.5644748
      1252    -1.00000     1.93020      25.000       4.786257       4.503863       0.282394
      1253    -1.00000     1.93210      25.000       3.985896     0.09922702       3.886669
      1262    -1.00000     3.60815      30.000       19.81617   6.358105e-20       19.81617
      1269    -1.00000     2.38334      40.000       5.223728       2.580112       2.643616
      1270     1.08300     1.08300       9.700       7.070275       2.047013       5.023262
      1273     0.74410     0.74410       4.900       10.00308       2.321786       7.681298
      1278    -1.00000     1.44856      25.000       3.079978       1.362659       1.717319
      1284    -1.00000     3.73452     101.000       6.869087    0.003971112       6.865116
      1285    -1.00000     0.24650       2.200       15.70677    0.001343739       15.70543
      1293     0.79390     0.79390       4.900       3.597277     0.03009174       3.567186
      1303     0.63350     0.63350     101.000        2.14519      0.6145486       1.530641
      1306    -1.00000     0.00100     101.000         7.7314   3.593336e-19         7.7314
      1313    -1.00000     0.48670       3.300       3.007958     0.01304486       2.994914
      1315    -1.00000     1.51160     101.000       1.487513      0.2498063       1.237707
      1320    -1.00000     1.16740      18.000       5.911649      0.0243757       5.887273
      1334    -1.00000     1.68000      12.100       9.693939      0.7406254       8.953314
      1335    -1.00000     1.15820       9.700       9.188794      0.6782946       8.510499
      1337    -1.00000     0.83090     101.000       2.054859     0.09448293       1.960376
      1338     1.35800     1.35800       9.700       5.102572      0.0385207       5.064051
      1341     1.00800     1.00800       9.700       1.797102      0.4577954       1.339307
      1342    -1.00000     0.00100     101.000        11.8516   1.552697e-19        11.8516
      1348    -1.00000     0.48330     101.000       6.928613        2.08939       4.839223
      1350    -1.00000     1.34560       9.700       2.672777     0.03822629        2.63455
      1355    -1.00000     1.16200       6.100      0.9389614      0.1938986      0.7450628
      1357     1.36500     1.36500      25.000      0.8180833      0.1639471      0.6541362
      1367     1.78700     1.78700      12.100       6.031475       2.585332       3.446144
      1368    -1.00000     2.60372     101.000       3.891965      0.2148211       3.677143
      1369    -1.00000     2.30593     101.000       3.157537     0.04597255       3.111565
      1371     1.03700     1.03700       6.100       4.912211       2.582949       2.329263
      1384    -1.00000     1.19472       9.700       2.975498     0.01167018       2.963828
      1387    -1.00000     2.70100      30.000       4.083844     0.05654562       4.027299
      1391     1.03800     1.03800     101.000        6.52936       1.103269       5.426092
      1393    -1.00000     1.36020      18.000       5.437646     0.08929973       5.348347
      1394     0.29950     0.29950       2.200       11.80069       6.470029       5.330662
      1396    -1.00000     0.86520       6.100       1.850589      0.3184285       1.532161
      1401    -1.00000     2.12522     101.000       8.539268        3.08188       5.457388
      1402    -1.00000     2.09560     101.000       6.429927       1.517723       4.912204
      1416     2.29100     2.29100      25.000      0.4650339    0.008641436      0.4563924
      1419     1.14800     1.14800       6.100       2.928942       1.600057       1.328885
      1420    -1.00000     1.63144       9.700       11.69191      0.1817117        11.5102
      1434     0.48520     0.48520       9.700       1.226991     0.03427585       1.192715
      1437    -1.00000     1.34380     101.000       16.48145      0.3137167       16.16773
      1445    -1.00000     2.59700      25.000       3.646643       2.622374       1.024269
      1449     0.51300     0.51300       6.100     0.05544033     0.05035514    0.005085184
      1452    -1.00000     1.50848       9.700       19.34225     0.08155062        19.2607
      1458    -1.00000     1.61331       9.700       3.321128      0.1645092       3.156619
      1469     1.10200     1.10200       6.100      0.5484898      0.1742452      0.3742446
      1475    -1.00000     1.71180      18.000       4.278818      0.1055241       4.173294
      1476     0.84110     0.84110       6.100       5.546129      0.4763937       5.069736
      1477    -1.00000     0.00100     101.000       7.090535   8.580228e-21       7.090535
      1479    -1.00000     1.09630       9.700       2.416492      0.6983406       1.718152
      1480    -1.00000     2.39430      25.000       2.196229       1.688786      0.5074425
      1490    -1.00000     1.79560     101.000        2.95867       1.083149       1.875521
      1491     0.83700     0.83700       6.100       1.006521       0.320937      0.6855842
      1495    -1.00000     2.40100      45.000       10.20635   2.908502e-23       10.20635
      1497    -1.00000     2.43758      25.000       4.937594     0.07545499       4.862139
      1501     1.43300     1.43300       9.700       7.973787      0.0130484       7.960739
      1502    -1.00000     1.94819      12.100       10.34646       2.117064       8.229396
      1513     1.01100     1.01100       6.100      0.4254026      0.1061858      0.3192168
      1515     1.19500     1.19500       6.100       10.55001      0.2336976       10.31631
      1520     0.53250     0.53250       9.700        1.65733      0.1129151       1.544415
      1524    -1.00000     0.92890       6.100       6.172819       1.224853       4.947966
      1525    -1.00000     0.59250      12.100       44.65278       16.73453       27.91825
      1532    -1.00000     0.93090       6.100      0.6169912    0.009012393      0.6079788
      1533     0.74600     0.74600       4.900       1.388188     0.04342035       1.344768
      1543     1.14800     1.14800       6.100       7.780502       2.851745       4.928756
      1544    -1.00000     1.80453      25.000       1.608199      0.1005217       1.507677
      1545    -1.00000     1.16560     101.000       2.372827      0.3649142       2.007912
      1548     0.88940     0.88940       6.100       1.851561      0.7639214        1.08764
      1551     1.35800     1.35800       9.700       5.719953     0.03868551       5.681268
      1556    -1.00000     3.50100      30.000       4.381669    0.001717488       4.379951
      1558    -1.00000     0.67440       4.900       7.344229      0.5980401       6.746189
      1563    -1.00000     0.87630       9.700       1.301023     0.02243111       1.278592
      1567     0.63380     0.63380       6.100      0.4024247      0.3121054     0.09031935
      1569     0.87900     0.87900       6.100         1.1053     0.02369016        1.08161
      1579     1.30300     1.30300       9.700       6.700693     0.08345608       6.617237
      1592     0.93760     0.93760      12.100      0.6042102      0.5213123     0.08289783
      1593     0.68130     0.68130       4.900       10.31146      0.1910185       10.12044
      1602     1.78200     1.78200      25.000       1.623356      0.4846101       1.138746
      1604    -1.00000     1.30669      25.000       2.544086   0.0008487791       2.543238
      1606    -1.00000     0.92000       9.700       1.637448      0.1064556       1.530992
      1616    -1.00000     1.48430      25.000       3.249276      0.2202133       3.029063
      1618     1.01400     1.01400       6.100       21.87738       1.014539       20.86285
      1622     1.02000     1.02000      18.000       12.15962      0.6538355       11.50579
      1626    -1.00000     1.78460      12.100        8.05487       6.007343       2.047527
      1629    -1.00000     2.54832      25.000       1.375853      0.1684896       1.207363
      1631    -1.00000     1.62042       9.700       4.315935       0.499121       3.816814
      1633     0.32000     0.32000       2.200       4.427148     0.02166503       4.405483
      1634    -1.00000     0.71990       4.900       8.197433       6.869246       1.328187
      1638    -1.00000     0.82160       6.100       4.485698       1.162793       3.322906
      1644     0.63370     0.63370       4.900       4.095914       0.796567       3.299347
      1648     1.76000     1.76000      30.000       9.687555       5.175334        4.51222
      1650    -1.00000     2.83110      45.000       9.651882      0.3857608       9.266121
      1651    -1.00000     2.73863      30.000         2.9998     0.03883652       2.960963
      1662    -1.00000     0.92000       6.100       3.444114      0.4394388       3.004675
      1673     0.04000     0.04000       4.900       6.796739   7.245654e-20       6.796739
      1693    -1.00000     0.33030     101.000       5.489704    0.003703084       5.486001
      1702    -1.00000     2.63000      25.000       10.26573       10.08438        0.18135
      1709    -1.00000     1.39110       9.700       4.951683     0.02788538       4.923798
      1710    -1.00000     1.95390      35.000        4.88707       2.352664       2.534406
      1711    -1.00000     0.84710       6.100       5.019018       2.068717       2.950301
      1712     2.21600     2.21600      40.000       8.276052       0.390917       7.885135
      1717     1.01200     1.01200      14.500       19.78723      0.4294977       19.35774
      1724    -1.00000     0.87090      12.100      0.8489557     0.05495843      0.7939973
      1734    -1.00000     2.56720      45.000       2.776889      0.3174075       2.459482
      1735    -1.00000     3.88670      50.000       13.81096     0.01003276       13.80093
      1737     1.14200     1.14200       6.100       5.419682      0.4343172       4.985365
      1740    -1.00000     0.93080       6.100       1.996536      0.4074897       1.589046
      1741     1.02400     1.02400      18.000       14.07678      0.5649699       13.51181
      1747    -1.00000     1.87584      25.000       5.439081       3.002117       2.436964
      1753     1.20000     1.20000       9.700      0.9511431    0.002829801      0.9483133
      1762    -1.00000     2.14944      30.000       4.492025      0.1537404       4.338285
      1764     0.29850     0.29850       2.200       46.22555       1.369368       44.85618
      1775    -1.00000     1.92951      12.100       11.81565       0.189545       11.62611
      1779    -1.00000     0.91450       6.100       16.29371      0.2507482       16.04297
      1813    -1.00000     1.80130      25.000       2.415994      0.3945462       2.021447
      1814    -1.00000     1.58266       9.700       1.225341              0       1.225341
      1818     1.56900     1.56900      25.000       1.768379     0.06502288       1.703356
      1822    -1.00000     0.32130       9.700       5.451529     0.01744688       5.434082
      1824    -1.00000     0.40100       9.700       2.140889     2.5896e-21       2.140889
      1836     0.25440     0.25440       2.200       6.069812     0.01559593       6.054217
      1843     0.63480     0.63480       4.900       8.526895       1.296389       7.230506
      1847     0.90300     0.90300      12.100      0.4129349     0.06527075      0.3476641
      1850    -1.00000     2.61420      50.000       7.279987       0.057259       7.222728
      1855    -1.00000     1.21640     101.000       19.60761      0.0880965       19.51951
      1859     0.58560     0.58560      12.100       1.288607     0.02254498       1.266062
      1865     1.15300     1.15300       6.100       4.811454      0.3603161       4.451138
