#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0           1222          6.029          2.914       0.002461       0.001969
              0           1225          11.98          2.976         0.0135       0.001765
              0           1235           24.1              3        0.01846         0.0049
              1           1239           48.3            3.4        0.02522       0.006595
              0           1248           36.9            4.2        0.02687         0.0039
              0           1252          1.095           2.84       0.001013      0.0006514
              0           1253          2.478          2.841       0.004019       0.001262
              0           1262          18.52           2.94        0.01915       0.000255
              0           1269          4.313          2.821        0.01072       0.004232
              0           1270          2.561          2.935       0.003341       0.001185
              0           1273          3.822          2.738        0.00278       0.001003
              0           1278          1.707          2.833       0.003356       0.001823
              0           1284          9.021          2.754       0.008864       0.003186
              0           1285          12.57           2.83       0.005969       0.000704
              0           1293          12.74          2.807       0.008454       0.000813
              0           1303          2.547          2.839       0.003439       0.001338
              0           1306         0.7262          2.872       0.001898      0.0004025
              1           1313           36.7            7.1       0.005468       0.002543
              0           1315          3.068          2.768        0.00683       0.002053
              0           1320          11.44          2.896       0.006425       0.001146
              0           1334          9.358          2.843       0.002612       0.002038
              0           1335          3.557          2.881       0.005444       0.001198
              0           1337          6.208          2.975        0.01169       0.002433
              0           1338          11.24          2.833        0.01053       0.000571
              1           1341           29.9            5.7        0.01234        0.00101
              0           1342        -0.3415          2.856       0.001347      0.0004644
              0           1348          2.437          2.843        0.00267       0.001734
              0           1350          9.916          2.857       0.005904       0.001833
              0           1355          1.798          3.009       0.003857       0.002338
              0           1357          3.933          2.737       0.003822       0.001241
              0           1367          6.888          2.766        0.00236      0.0005095
              0           1368             24              3        0.01406       0.003685
              0           1369          1.196          2.768       0.005479       0.002787
              0           1371        0.02032          2.816       0.002592      0.0005475
              0           1384          12.85          2.966        0.01532         0.0025
              0           1387          13.32          2.996        0.01365       0.002755
              0           1391          1.946          2.771       0.001876      0.0007855
              0           1393           5.71          2.973       0.007127       0.002597
              0           1394          9.508          2.991        0.03856       0.000395
              0           1396           1.87          2.768       0.001927       0.001111
              0           1401          7.821          2.875       0.002731       0.002192
              0           1402          10.01           2.89       0.006543       0.002867
              0           1416          1.688           2.68       0.001701       0.000858
              0           1419          1.491          2.894       0.003708       0.001144
              0           1420          3.992          2.937       0.005954       0.002781
              0           1434          7.449          2.888         0.0118        0.00117
              0           1437          3.534          2.944       0.008283      0.0001805
              0           1445           31.5            3.3        0.02219         0.0062
              0           1449          2.569          2.757       0.005744      0.0005465
              0           1452          15.99          2.981        0.01443       0.001435
              0           1458          5.239          2.786       0.006196       0.001549
              0           1469        -0.2309          3.135       0.001391      0.0004533
              0           1475          18.54          2.884        0.02252       0.003685
              0           1476          5.581          2.893       0.005545       0.000927
              0           1477          1.319          2.883       0.004506       0.001548
              0           1479          2.399          3.019       0.003059       0.001599
              0           1480         0.7201           3.08       0.002511          0.002
              0           1490          12.79          2.831        0.01862        0.00468
              0           1491          12.36           2.88        0.01511        0.00403
              0           1495          2.633          3.353        0.00584        0.00584
              0           1497          8.412          2.767       0.005164       0.002115
              0           1501          10.84          2.785       0.009881      0.0006295
              0           1502          8.721          2.807       0.002363       0.001902
              1           1513           1715              3       0.003745       0.002301
              0           1515          9.822          2.796       0.009411      0.0004365
              0           1520          1.963          2.826       0.003667       0.001151
              0           1524         0.3669          2.908       0.002612       0.001253
              0           1525        -0.2841          2.877         0.0049       0.001459
              0           1532          1.422          3.115       0.001971      0.0009475
              0           1533           35.9            5.7        0.01951        0.00056
              0           1543        -0.3588          2.841      0.0009713      0.0004198
              0           1544          2.658           2.91       0.003352       0.001439
              0           1545          1.403          2.966       0.003695       0.002378
              0           1548        -0.3303          2.739       0.001322      0.0007112
              0           1551           1.77          2.738       0.001477      0.0006018
              0           1556          6.356          2.913       0.006351        0.00312
              0           1558          2.025          2.972       0.003783       0.001025
              0           1563          1.617          3.098       0.003016       0.001787
              0           1567          4.988          2.851       0.008196       0.000262
              0           1569          7.695          2.968       0.006759       0.001735
              0           1579          6.642          2.866       0.002636      0.0007305
              0           1592          2.879           2.86       0.008058      0.0004995
              0           1593          5.172          2.874       0.003985       0.001155
              0           1602          3.052          2.733       0.001683      0.0008244
              0           1604        0.07828          3.039       0.003299       0.002182
              1           1606           35.4              3       0.003329       0.001325
              0           1616          1.308          2.951       0.005168       0.002356
              0           1618           14.5          3.059        0.01072        0.00108
              0           1622          10.28          2.828       0.003534       0.000796
              0           1626          4.584          2.676      0.0008562      0.0004239
              0           1629         0.9343          2.734       0.003095       0.001999
              0           1631           6.26          2.877       0.006284       0.001938
              0           1633          24.57          2.936        0.03338       0.003405
              0           1634          1.459          2.941       0.001707       0.000446
              0           1638           3.18          2.794       0.003906       0.001272
              0           1644          2.401          2.708       0.003433       0.000771
              1           1648          107.4           13.5        0.03154       0.007815
              0           1650        -0.4093          2.985       0.002171       0.002171
              1           1651           60.2              3        0.01311       0.004034
              0           1662         0.1492          2.745       0.001813       0.000784
              0           1673          9.164          2.963       0.005655        0.00128
              0           1693          10.88          2.781       0.006518        0.00127
              0           1702         -0.331          2.729       0.001153      0.0007813
              0           1709        -0.3349          2.712       0.004066        0.00176
              0           1710          1.882          2.701       0.002882       0.001276
              0           1711         0.9017          2.724       0.001218       0.000649
              0           1712          12.62          2.742        0.01003       0.003941
              0           1717          12.31           2.67       0.003583       0.001946
              0           1724          4.651          2.884        0.00686       0.001054
              0           1734          2.369          2.889        0.00325       0.001488
              0           1735           27.6            6.3        0.02374        0.00303
              0           1737          12.03           2.84       0.008046       0.000233
              0           1740          2.409          2.807       0.002986       0.001559
              0           1741          9.787          2.696       0.004513      0.0004455
              0           1747         0.9677          2.913       0.002283       0.001472
              0           1753          8.747          2.923       0.006647       0.001651
              1           1762           49.6            5.7        0.02317        0.00367
              0           1764        -0.3362           2.69      0.0004392      0.0004392
