#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
339      0.1734     0.07776      0.3498        0.19      0.6144      0.3285       0.626      0.3589      0.4481       0.287      0.2235      0.1528     0.05098      0.0368     0.01947     0.01424      0.0175     0.01254     0.01539     0.01072    0.003444    0.002564     0.00318    0.002368    0.001539   0.0008991
340      0.2046      0.0935      0.5423      0.2769       1.071       0.454       1.372      0.6681        1.14      0.6209      0.6098      0.3586      0.1494     0.09352     0.05672     0.03602     0.05092     0.03131     0.04471     0.02625    0.009894    0.006346    0.009138    0.005862     0.00279    0.001227
343      0.5171      0.1438       1.013      0.3925       2.049       0.948       2.185       1.129       1.397      0.7453      0.6443      0.3529      0.1381     0.07971     0.05247     0.03093     0.04716     0.02674     0.04148     0.02224    0.009209    0.005591    0.008506    0.005164    0.004762    0.002325
356       1.212      0.3833       2.336       0.204       4.113       0.705        4.44       1.609       3.268        1.53       1.618      0.8737      0.3703      0.2216      0.1411     0.08695      0.1268      0.0755      0.1114     0.06315     0.02499     0.01576     0.02308     0.01456    0.009119    0.002831
365      0.1625      0.0533      0.3774      0.1786      0.8104      0.4156      0.9518      0.5463      0.7207      0.4743      0.3575       0.253     0.08153     0.06107     0.03068      0.0232     0.02753     0.02044     0.02416     0.01749    0.005322     0.00407    0.004917    0.003756    0.002041    0.001129
368      0.2387      0.1116      0.4939      0.2464       0.865      0.3711      0.8032      0.3279      0.4979      0.2324      0.2222      0.1176     0.04733     0.02684     0.01801     0.01039     0.01619    0.008968     0.01424    0.007433    0.003179    0.001863    0.002937    0.001721    0.002206    0.001043
371      0.3723      0.3069      0.5746      0.4325       0.644      0.2584       1.506       1.058       3.192       2.997       5.103       5.037       6.251       6.239        4.87       4.866       4.665       4.661       4.406       4.402       1.598       1.597       1.498       1.497    0.007229    0.003441
374       1.264      0.2871       2.413      0.1515       4.462      0.2365       4.246       0.574        2.55      0.4515       1.122      0.2351      0.2317      0.0553     0.08698     0.02163     0.07809     0.01611      0.0686     0.01021     0.01516    0.003935     0.01401    0.003635     0.01053   0.0009965
375      0.6969      0.2807       1.545       0.343       3.203      0.4785       3.729       1.414       2.936       1.507       1.521      0.9048      0.3636      0.2406      0.1382     0.09352      0.1241     0.08181       0.109     0.06922     0.02428      0.0167     0.02243     0.01543    0.008117    0.001542
376       1.137       0.781       1.876       0.979        6.33       1.373       11.55        1.16          13        2.26       10.59       2.888       3.927       1.595       1.679      0.7629       1.516      0.6459       1.337      0.5173      0.2994      0.1421      0.2764      0.1313     0.02035    0.002075
379      0.2167     0.03365       0.435      0.0579       1.666       0.449        5.51      0.4925       8.566       0.315       9.261       1.189       5.348       1.419       2.689       0.837        2.47      0.6995       2.224      0.5445      0.5499      0.2014      0.5081      0.1865     0.01151      0.0005
381      0.5342      0.0563      0.9191      0.1689       2.639      0.5135       4.989      0.2645       6.385       0.921       5.879        1.17       2.758       0.673       1.288      0.3313       1.172      0.2592       1.044      0.1793        0.24     0.06455      0.2215      0.0596    0.008661    0.001007
385      0.9489      0.5861       1.725        0.61       5.368       0.858       9.047      0.5225       9.319       1.192       6.933       1.677        2.31       0.851      0.9477      0.3893      0.8535      0.3238      0.7513      0.2523      0.1664      0.0715      0.1536     0.06603     0.01573     0.00178
390     0.07695     0.04415      0.1264     0.04566      0.2376      0.1123      0.3174      0.2473      0.2995      0.2646      0.2025      0.1884     0.05929     0.05631     0.02324     0.02207     0.02091     0.01979      0.0184     0.01734    0.004094    0.003866    0.003782    0.003569    0.000503    0.000503
391     0.06654      0.0313      0.1636      0.0677      0.4051      0.1898       0.739       0.472      0.7894      0.5526      0.5963      0.4447      0.1938      0.1528     0.07814     0.06257     0.07034     0.05556     0.06187     0.04796     0.01364     0.01099     0.01259     0.01014    0.001329   0.0008565
394      0.3661      0.2206      0.7586      0.3464       1.437      0.6895       1.875       1.379       1.616       1.378      0.9123      0.8257      0.2364        0.22      0.0913      0.0852     0.08209      0.0763      0.0722     0.06675     0.01618     0.01513     0.01496     0.01397    0.003794    0.002171
398      0.1452     0.06614       0.265       0.147      0.4619      0.2783      0.4431      0.2779      0.2898      0.1905      0.1355     0.09171     0.02914     0.02028     0.01102    0.007757    0.009904    0.006807    0.008704    0.005787    0.001928    0.001388    0.001781    0.001282    0.001137   0.0007539
399      0.2659     0.09785      0.6716      0.3384       2.726        1.29       4.854       2.325        5.01       2.465       3.704       1.821       1.208      0.5818      0.4888      0.2334      0.4395       0.197      0.3864      0.1578     0.08424     0.04026     0.07768     0.03712    0.008674    0.004116
401      0.2316      0.0457      0.5959      0.1665       1.333      0.3359       1.589       0.369       1.206      0.2683      0.5767      0.1467      0.1266     0.03594     0.04718     0.01387     0.04231     0.01073      0.0371     0.00738    0.008155    0.002465     0.00753    0.002277    0.003396   0.0009145
407       3.822       1.657       8.007       1.005       17.39        0.93       21.97       1.845        18.2        2.79       9.729        1.99       2.379      0.6015      0.9038      0.2432      0.8121      0.1857       0.713      0.1233      0.1582     0.04505      0.1461      0.0417     0.04224     0.00628
409       0.502      0.1862       1.066      0.3559       1.785       0.384       1.535       0.396      0.8951      0.3119      0.3914      0.1669     0.08235     0.03925     0.03121      0.0153     0.02806     0.01296     0.02467     0.01045    0.005501    0.002753    0.005084    0.002541    0.004692    0.001183
413       0.375      0.1363      0.7958      0.2632       1.388       0.265       1.158      0.3405      0.6582      0.2386      0.2862      0.1254      0.0602     0.02905     0.02284     0.01128     0.02054     0.00957     0.01806     0.00773     0.00403    0.002021    0.003725    0.001865    0.003502   0.0008085
414      0.4779     0.09045        1.14      0.2194       1.911       0.511       1.649      0.5345       1.029      0.3909      0.4502      0.1846      0.0913     0.04011     0.03319     0.01466      0.0297     0.01214     0.02599    0.009465     0.00561    0.002474    0.005173    0.002289     0.00502    0.001279
416      0.5945      0.3256      0.9185      0.3695       1.337      0.6953       1.051      0.6852      0.5716       0.412      0.2282      0.1755     0.04687     0.03751     0.01778     0.01439     0.01598     0.01276     0.01405     0.01102    0.003143    0.002516    0.002909    0.002323    0.003445    0.001486
418      0.2037      0.0448      0.5542      0.1853       1.268      0.3905       1.475      0.5459       1.141       0.482      0.5712      0.2627      0.1312     0.06473     0.04926     0.02476      0.0442     0.02097     0.03879     0.01692    0.008556    0.004354      0.0079     0.00402    0.003261    0.001039
421      0.2035     0.06425       0.461      0.1908       1.032      0.4499       1.294      0.6627       1.011      0.6044      0.5127      0.3374      0.1195     0.08476     0.04509     0.03236     0.04047     0.02841     0.03553     0.02417    0.007853    0.005677    0.007235    0.005254    0.002668    0.001287
428      0.1394      0.0473      0.3821      0.2165      0.8782      0.5418       1.112      0.7411      0.9109      0.6562      0.4775      0.3663      0.1146     0.09228     0.04342     0.03523     0.03898     0.03122     0.03422     0.02692    0.007576    0.006174    0.006993    0.005706    0.002251    0.001474
429      0.2973      0.2062      0.6262      0.4698       0.973       0.681       0.899      0.6081      0.5944      0.4096      0.2655       0.185     0.05917     0.04334     0.02218      0.0164     0.01991     0.01442     0.01747      0.0123    0.003843    0.002878    0.003549    0.002657    0.002591    0.001933
430      0.1729      0.0362      0.4661      0.1283        1.03      0.1975       1.232      0.1915      0.9277      0.1454      0.4431     0.08385     0.09713     0.02137     0.03617    0.008325     0.03244    0.006045     0.02845      0.0036    0.006249    0.001495     0.00577     0.00138    0.002652     0.00051
431      0.4404       0.129      0.9587      0.2604       1.567      0.3095       1.369       0.329      0.7958      0.2292      0.3402      0.1101      0.0706     0.02511      0.0267    0.009775       0.024     0.00794     0.02109    0.005965    0.004684    0.001753    0.004328    0.001619    0.004198    0.000934
432      0.4786      0.3431      0.8165      0.5755       1.077      0.6362      0.8531      0.4399      0.5391       0.297       0.238      0.1513     0.05033     0.03469     0.01911     0.01344     0.01717     0.01181      0.0151     0.01005     0.00338      0.0024    0.003124    0.002215    0.003109    0.002102
433      0.3766        0.32      0.5826      0.4504       0.856       0.636       1.184       1.109       1.426       1.399       1.318        1.31      0.5863      0.5847      0.2678      0.2672      0.2429      0.2424      0.2154      0.2149     0.04928     0.04915     0.04551     0.04539    0.002491    0.001683
437      0.1732     0.07596      0.3913      0.1841       1.399      0.6593       2.059       1.024       2.253       1.267       1.794       1.094      0.6897      0.4674      0.3024      0.2132      0.2734      0.1888      0.2416      0.1618     0.05378     0.03845     0.04962     0.03548    0.003669    0.001878
