#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
277      0.1375     0.08829      0.5044      0.3705       1.514       1.137       2.559       2.072       2.513        2.08       1.764       1.485      0.5311      0.4588      0.2087      0.1815      0.1874      0.1617      0.1646      0.1403     0.03568     0.03107      0.0329     0.02865    0.004631    0.003769
288       1.085      0.4787       1.701       0.465       1.984      0.8095        1.34      0.8017      0.6956      0.4704      0.2687      0.1945     0.05428     0.04113     0.02052     0.01573     0.01843     0.01389     0.01619     0.01192    0.003621    0.002738    0.003353    0.002527     0.00635    0.001941
289      0.3387      0.1619      0.7604      0.3786       2.999       1.224       4.704       2.149       5.433       2.871       4.745       2.856       1.996       1.373      0.8948      0.6413       0.811      0.5703      0.7182      0.4912      0.1617      0.1181      0.1492       0.109    0.008407    0.003674
309      0.3643      0.3014       0.499       0.365       1.401       1.038       3.743       2.301       6.815       1.943       9.312       2.138       7.816       4.644        5.45       4.003       5.176       3.796       4.842       3.535        1.66       1.395       1.553        1.31     0.01066   0.0008525
314      0.5333      0.1827      0.9183      0.2877       1.356      0.5906       0.963       0.541         0.5      0.3177       0.193      0.1316      0.0389     0.02797     0.01469     0.01071      0.0132    0.009428     0.01159    0.008044    0.002576    0.001873    0.002385    0.001729    0.003371    0.001195
316      0.1025     0.04259      0.2597     0.09685      0.6968      0.3503       0.999       0.621      0.9857      0.6744      0.7071       0.515      0.2159      0.1643     0.08543     0.06577     0.07687     0.05822     0.06764     0.05007     0.01503     0.01164     0.01388     0.01075     0.00176    0.001233
317      0.9789      0.2241       2.039       0.342       3.002      0.9485       2.157       0.991       1.141      0.5989      0.4457      0.2537     0.09057     0.05433     0.03428     0.02088      0.0308     0.01809     0.02707     0.01509    0.006027    0.003664    0.005577    0.003382    0.007617    0.001479
330     0.08933     0.05257      0.2828      0.1932       1.233      0.8447       2.323       1.536       2.449       1.577       1.824       1.148      0.5885        0.37      0.2341      0.1516      0.2104      0.1322      0.1848      0.1112     0.04017     0.02622     0.03705     0.02418    0.004179    0.002765
337     0.07586     0.03894      0.1705     0.08702      0.5448      0.3311       0.918       0.649       1.152      0.9049       1.026      0.8545      0.4405      0.3876      0.1988      0.1778      0.1802      0.1602      0.1596      0.1407     0.03633     0.03269     0.03355     0.03018    0.001693    0.001276
339      0.1734     0.07776      0.3498        0.19      0.6144      0.3285       0.626      0.3589      0.4481       0.287      0.2235      0.1528     0.05098      0.0368     0.01947     0.01424      0.0175     0.01254     0.01539     0.01072    0.003444    0.002564     0.00318    0.002368    0.001539   0.0008991
340      0.2046      0.0935      0.5423      0.2769       1.071       0.454       1.372      0.6681        1.14      0.6209      0.6098      0.3586      0.1494     0.09352     0.05672     0.03602     0.05092     0.03131     0.04471     0.02625    0.009894    0.006346    0.009138    0.005862     0.00279    0.001227
343      0.5171      0.1438       1.013      0.3925       2.049       0.948       2.185       1.129       1.397      0.7453      0.6443      0.3529      0.1381     0.07971     0.05247     0.03093     0.04716     0.02674     0.04148     0.02224    0.009209    0.005591    0.008506    0.005164    0.004762    0.002325
356       1.156      0.3731       2.165      0.2065       4.144      0.7945       4.652       1.866       3.471        1.77        1.73      0.9998      0.3976      0.2519      0.1516     0.09855      0.1362     0.08595      0.1197     0.07245     0.02685     0.01782      0.0248     0.01646    0.009368    0.003212
365      0.1625      0.0533      0.3774      0.1786      0.8104      0.4156      0.9518      0.5463      0.7207      0.4743      0.3575       0.253     0.08153     0.06107     0.03068      0.0232     0.02753     0.02044     0.02416     0.01749    0.005322     0.00407    0.004917    0.003756    0.002041    0.001129
368      0.2387      0.1116      0.4939      0.2464       0.865      0.3711      0.8032      0.3279      0.4979      0.2324      0.2222      0.1176     0.04733     0.02684     0.01801     0.01039     0.01619    0.008968     0.01424    0.007433    0.003179    0.001863    0.002937    0.001721    0.002206    0.001043
371      0.1234     0.05812      0.2532      0.1142       1.103      0.7259       3.602       2.106       6.734       1.681       9.464       1.177       8.208       4.022        5.76       3.766       5.474       3.566       5.123       3.312       1.753       1.373       1.641        1.29      0.0109    0.000665
374       1.284      0.3705       2.316      0.2005       3.978      0.4185       3.666       0.844       2.179      0.6295      0.9534      0.3166      0.1963     0.07225     0.07364     0.02796     0.06613      0.0228     0.05809     0.01729     0.01275    0.005117     0.01178    0.004727    0.009379    0.001411
375      0.7833      0.3637       1.589      0.3475        3.15      0.5815       3.518       1.408       2.763       1.528       1.434      0.9147      0.3434      0.2424      0.1306     0.09402      0.1173     0.08267      0.1031     0.07047     0.02296     0.01674     0.02119     0.01548    0.007492    0.001924
376       1.058      0.1231       1.948       0.099       9.046      0.6695       20.14       1.175       25.45        1.38       21.96       1.925       8.559       1.258         3.7       0.644       3.341      0.4355       2.949       0.207      0.6627      0.1223      0.6117      0.1129      0.0375     0.00201
379        0.19     0.03115      0.3743     0.05855       1.341      0.3794       4.327      0.5855       6.618      0.5545       7.207      0.9405       4.171       1.099       2.096       0.649       1.925       0.542       1.734      0.4215      0.4286      0.1562       0.396      0.1446    0.008801   0.0008515
381      0.5165      0.0346      0.8699      0.1124       2.422       0.256       4.849      0.7385         6.3       1.438       5.826       1.551       2.757       0.833       1.291      0.4032       1.176      0.3282       1.047      0.2442      0.2412      0.0774      0.2226     0.07145     0.00849     0.00185
385      0.9702      0.5847       1.798       0.573       4.875       1.323       8.259       3.951       9.022       5.288       7.114       4.755       2.513       1.865       1.051      0.8024      0.9464      0.7109      0.8343      0.6124       0.186      0.1434      0.1716      0.1324     0.01457     0.00752
390     0.07695     0.04415      0.1264     0.04566      0.2376      0.1123      0.3174      0.2473      0.2995      0.2646      0.2025      0.1884     0.05929     0.05631     0.02324     0.02207     0.02091     0.01979      0.0184     0.01734    0.004094    0.003866    0.003782    0.003569    0.000503    0.000503
391     0.06654      0.0313      0.1636      0.0677      0.4051      0.1898       0.739       0.472      0.7894      0.5526      0.5963      0.4447      0.1938      0.1528     0.07814     0.06257     0.07034     0.05556     0.06187     0.04796     0.01364     0.01099     0.01259     0.01014    0.001329   0.0008565
394      0.3661      0.2206      0.7586      0.3464       1.437      0.6895       1.875       1.379       1.616       1.378      0.9123      0.8257      0.2364        0.22      0.0913      0.0852     0.08209      0.0763      0.0722     0.06675     0.01618     0.01513     0.01496     0.01397    0.003794    0.002171
398      0.1452     0.06614       0.265       0.147      0.4619      0.2783      0.4431      0.2779      0.2898      0.1905      0.1355     0.09171     0.02914     0.02028     0.01102    0.007757    0.009904    0.006807    0.008704    0.005787    0.001928    0.001388    0.001781    0.001282    0.001137   0.0007539
399      0.3253     0.04735      0.7821      0.1258       3.026       1.079       5.495       2.733       6.095       3.215       4.782       2.592       1.708       0.946      0.7169      0.4001      0.6455      0.3446      0.5683      0.2845       0.125     0.07014      0.1152     0.06467    0.009792    0.004788
401      0.2316      0.0457      0.5959      0.1665       1.333      0.3359       1.589       0.369       1.206      0.2683      0.5767      0.1467      0.1266     0.03594     0.04718     0.01387     0.04231     0.01073      0.0371     0.00738    0.008155    0.002465     0.00753    0.002277    0.003396   0.0009145
407       3.968       1.812       8.044        0.94       16.33        1.77       20.12           6       16.55       6.597        8.86        4.09       2.176       1.121       0.829        0.44      0.7447       0.376       0.654       0.307      0.1454     0.07929      0.1343     0.07328     0.03854     0.00987
409       0.502      0.1862       1.066      0.3559       1.785       0.384       1.535       0.396      0.8951      0.3119      0.3914      0.1669     0.08235     0.03925     0.03121      0.0153     0.02806     0.01296     0.02467     0.01045    0.005501    0.002753    0.005084    0.002541    0.004692    0.001183
