#     _id          _ra          _de       zp_X         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350        f500       df500       f1160      df1160       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
2189       189.3818817   62.3297424      0.29        15.4        4.78      0.6367       7.361      0.2414      0.3173         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.2328       2.816       5.647       0.038       4.617       0.069       2.506       0.423       6.168       0.489       21.35       8.858     0.02897      0.2778           1          21           0   3.297e+04           1
2192       189.2241364   62.3299026      0.62       8.545        4.79       0.257       5.904    -0.03261      0.3354         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3314       2.655       0.149       0.037        0.29       0.066       0.716       0.427       0.037       0.475       24.82       8.218      0.6579          -1         -99         -99       10.43         -99           1
2195       189.3708649   62.3296394      0.94       5.135       5.656       3.985       5.958      0.1605      0.3663         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       9.662       2.782       0.672       0.038       0.351       0.068       0.335       0.422       -0.33       0.488        24.6       8.978      0.0412          -1         -99         -99       7.373         -99           1
2196       189.3952026   62.3295670      1.17       17.94       4.859       19.46       11.99      0.7362      0.4142     0.01973      0.9089         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       3.545       2.862       6.389       0.039       5.077       0.068       4.712       0.425        6.21       0.481       22.81       9.768      0.2555          -1         -99         -99       3.676         -99           1
2197       189.3974152   62.3295212      1.18       223.8       4.896       109.8       10.12      0.3899      0.4647     0.01973      0.9053         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       13.22        2.86       21.75       0.043       19.02        0.07        17.6       0.427       32.56       0.481       21.11       10.83     0.02747       1.147           1          72           0   3.404e+04           1
2202       189.2106781   62.3294640      0.96       168.1       10.62         126       9.419       1.432      0.4095       2.688       1.135       8.839       4.466         -99       1e+10         -99       1e+10         -99       1e+10       6.236       2.665       89.91       0.059       68.83       0.078        48.7       0.455       39.35       0.491       19.19       11.45     0.05283       1.016           1          21     0.07325   1.795e+04           1
2229       189.3600159   62.3290977      1.05       60.67       5.519       25.58       8.668       1.473      0.3761     0.01973      0.8984         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10        4.76       2.862       59.29       0.052       44.02       0.075       31.19       0.424       29.55       0.488       19.92       11.35     0.02551        1.01          -1          81     0.01373   3.124e+04           1
2231       189.3782043   62.3288231      2.08       16.94       4.466        7.04        6.25    -0.03261      0.3143     0.01973      0.6433         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      0.6755        2.82       9.264        0.04       9.463       0.069       9.187       0.424       6.245       0.488       22.05        10.9     0.02551          -1         -99         -99       5.505         -99           1
2234       189.1991577   62.3287544      0.49       50.84       5.176       45.07       7.225      0.8182      0.2853        2.26      0.5628         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       6.632       2.725       17.08       0.045       14.15       0.073       13.67       0.479       16.85       0.508       20.35       9.738     0.01373      0.5072           1          21     0.03748   1.689e+04           1
2239       189.3322754   62.3286934      0.25       19.72       5.011       1.755       8.422     0.07953       0.317         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3611       2.656       2.061       0.038       1.345       0.068       0.915       0.424       1.533       0.489       23.15       7.928      0.2352       0.247          -1          72      0.3494   2.899e+04           1
2252       189.1933899   62.3280525      1.66       13.87       7.223       0.257       12.66    -0.03261      0.5024         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3155       2.714       2.032       0.043       2.376       0.071       1.635       0.484       2.441       0.514       24.13       9.718      0.2198          -1         -99         -99       6.142         -99           1
2256       189.3564606   62.3281670       0.3         997       11.97       823.3       18.86       21.54       1.106       36.18       1.765       28.19       1.323       11.08       1.925       1.691       2.893         -99       1e+10       130.9        18.4       144.5       0.067       142.7       0.089         101       0.434       413.1       0.505       17.48       10.82      0.1283      0.2775           1          21      0.2059   3.095e+04           1
2262       189.1671753   62.3281555      0.96       194.8       6.858         319       13.74         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3189       2.669         -99         -99        3726       0.304        2732       0.839        1504        0.69       13.74       13.35      0.1159          -1           1          72       0.103          -1           1
2266       189.3895874   62.3280640      0.29       342.2       4.946       270.3       10.13        7.11      0.4763        7.93      0.8498       9.151       1.059         -99       1e+10         -99       1e+10         -99       1e+10          36         7.3       57.37       0.051       55.01       0.076       40.28       0.425       154.1       0.485       18.86       9.928     0.05284      0.2712           1          21     0.05794   3.355e+04           1
2268       189.1443939   62.3278275      1.88       34.36       6.968         -99       1e+10      0.3635      0.3035     0.01973      0.8003         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       7.272       2.743       11.36       0.081       14.13       0.118       10.94       0.925       9.135       0.875       22.14       11.34       0.103          -1         -99         -99       12.83         -99           0
2272       189.3024139   62.3279266      2.04       106.8       5.097       41.89       5.682      0.4306      0.2952       2.738      0.6593       2.289       1.436         -99       1e+10         -99       1e+10         -99       1e+10     -0.2272       2.638       6.293       0.039       6.266       0.069       7.155       0.424       7.155       0.486       22.35       10.35     0.06558       1.948           1          72      0.1499   2.643e+04           1
2290       189.1755676   62.3270988      0.82       44.21       5.117       3.883       7.983      0.1222      0.2794      0.8871      0.5497         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       5.579       2.643       11.41        0.05       10.04       0.079        9.33       0.554       4.877        0.57       21.64       9.958     0.08131       0.981           1          72     0.08555   1.484e+04           1
2295       189.1900635   62.3275681      0.24       102.9       8.111       25.81       8.294      0.8832      0.3856         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10        43.7         5.3       35.79       0.051       32.67       0.077       26.52       0.504       26.37       0.523       19.17       9.988      0.1555      0.2767           1          21      0.3316   1.608e+04           1
2296       189.2118225   62.3276672      1.03       62.97       5.119       52.19        7.06      0.3188      0.3337       2.322       0.756         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      -0.174        2.66       11.87       0.041       9.105       0.068       5.227       0.437       6.125       0.476       21.42       10.06      0.1028       1.017           1          72     0.07497   1.808e+04           1
2297       189.3504333   62.3275185       0.8       50.84       6.074       47.19       11.46       1.142      0.4048      0.7892       1.092         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       7.393       2.828       9.621        0.04       6.335       0.069       6.396       0.423       5.959       0.487       21.84       9.688     0.02747      0.8042           1          21           0   3.051e+04           1
2314       189.3525543   62.3276367      1.11        41.8       6.977       12.95       13.73      0.6686      0.4843     0.01973       1.711         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       6.876       2.784       4.193       0.039       3.483       0.069       2.538       0.424       8.384       0.488       23.76       9.478       0.103          -1         -99         -99       3.598         -99           1
2318       189.5099335   62.3272018      0.94       139.7       7.866         -99       1e+10       1.665       0.456      0.9364       1.036         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.107       3.098         -99         -99         -99         -99         -99         -99       26.78       2.128       19.71       11.02      0.1683          -1         -99         -99       53.22         -99           0
2320       189.1834564   62.3273430      3.41       38.08       5.848       9.036        7.97     0.06328      0.2773       1.321      0.5872       9.132       2.428       12.75       3.333       10.46       4.558       2.474      0.6577        25.4         2.9       2.291       0.045       4.215       0.073       5.025       0.525       10.55       0.538       24.15       11.34     0.05284          -1         -99         -99       10.72         -99           1
2323       189.2227936   62.3272171      2.23       72.38       4.823       5.126       7.069      0.3188      0.3213       1.195      0.6368      0.4309       2.546         -99       1e+10         -99       1e+10         -99       1e+10       6.622       2.617       3.899       0.038       5.168       0.067       6.102       0.419       4.652       0.473       23.15       10.06       0.286          -1         -99         -99       9.256         -99           1
2324       189.2352753   62.3271065      2.15         696       3.995       255.8       6.974       6.541      0.4797       11.78      0.9675       12.48        1.74        5.72       1.838       3.135        2.68      0.9105      0.5141        39.4         2.9       10.87        0.04       14.27       0.068       22.74       0.408       48.16       0.474       22.11       11.18      0.1402        2.29          -1          45      0.4498   2.044e+04           1
2327       189.3916779   62.3270340      0.26       67.83       6.415       40.02       11.23      0.5837      0.3884       3.737      0.8309         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.718        2.82       145.6       0.067         117       0.084       74.14        0.43       57.55       0.483       17.57       10.82     0.02897      0.2733           1          21      0.1229   3.367e+04           1
2328       189.4688568   62.3268738      0.55       335.9       6.433         -99       1e+10       9.826       0.659       13.64         1.2       11.37       1.767        5.37       3.041         -99       1e+10         -99       1e+10        48.2         7.2       60.79        0.06       64.26       0.103       47.45       0.614         158       0.703       18.79        10.7     0.07497          -1          -1          81      0.1808          -1           0
2330       189.2498322   62.3270378      1.14       32.48       5.134       46.76       11.16   -0.004968      0.4553       1.025      0.8134         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       3.307       2.705        10.8       0.039        8.68       0.068       7.375       0.409       6.862       0.469       21.94       10.02      0.1989       1.157           1          72      0.1857   2.184e+04           1
2331       189.2492371   62.3261528      1.34       34.04       5.839       0.257       13.19      0.2849       0.368     0.01973      0.8885         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       9.175       2.657       33.36       0.045       28.79       0.071       21.07       0.409        20.4       0.469       20.69       10.76     0.06558       1.146          -1          81     0.05795   2.178e+04           1
2336       189.1225281   62.3267860      1.06       259.4       9.519         -99       1e+10       3.386      0.4222        4.92       1.015       9.295       2.128        6.24       4.299         -99       1e+10         -99       1e+10        15.8       2.713       55.68       0.193       41.99       0.236       37.58       2.041       29.17       1.539       19.67       10.97      0.1913       1.013           1          23      0.2201          -1           0
2337       189.1522675   62.3268738      4.38       17.27        5.62         -99       1e+10       0.637       0.331      0.5823      0.9033       6.712       3.012         2.8       3.365      0.4615       4.874       1.357      0.6675       5.276       2.712       1.171       0.063       1.561       0.096      -1.707       0.738       1.255       0.721       24.94       10.98     0.02897          -1         -99         -99       17.13         -99           0
2342       189.3452454   62.3267746      0.79       35.67       4.263       29.06        9.33      0.4993      0.3195      0.7963      0.6282         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       4.262       2.786       6.608        0.04       4.997       0.069       4.223       0.426       3.884       0.488       22.23       9.598     0.05284      0.8392           1          21      0.1402   3.008e+04           1
2347       189.4635620   62.3265533      1.01        38.8       5.623         -99       1e+10      0.6621      0.4316       1.239       1.018         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10        2.62        2.92       6.409       0.048       4.881       0.092       4.593       0.548       4.619       0.656        22.7       10.17     0.05493          -1         -99         -99       9.093         -99           1
2357       189.2784424   62.3265114      2.21       38.43       8.064       1.352        9.18         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       4.082       2.654       3.252       0.039       3.213       0.068       3.864       0.416         2.5       0.479       22.67       10.21     0.06558       2.103           1          72      0.1159   2.441e+04           1
2359       189.3738861   62.3262177      0.32       77.24       5.933       66.24       8.243       1.009      0.3276       1.262      0.6688         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3536       2.745       179.7       0.074         145       0.089       94.68       0.433       73.68       0.489        17.5       10.99     0.06057      0.3186           1          21      0.3064    3.23e+04           1
2360       189.4466248   62.3262367      1.45       69.74       5.931       104.8       13.23       2.105       0.317       1.082       0.664      0.8921       1.576         -99       1e+10         -99       1e+10         -99       1e+10       8.687       3.289       1.318       0.041       1.593       0.075       1.127       0.474       3.087       0.536       23.68       9.638     0.05102       1.491           1          72     0.07776   3.681e+04           1
2365       189.3591309   62.3264847      1.61       38.43       5.403       1.447       10.65       1.574      0.4128     0.01973       1.931   3.209e-07       1.774         -99       1e+10         -99       1e+10         -99       1e+10     0.05018       2.779        2.64       0.038       2.566       0.069       2.945       0.422       6.102       0.486       24.46       9.478      0.4225          -1         -99         -99       3.701         -99           1
2369       189.3195343   62.3261147       2.7       33.72        4.16       6.004       8.704    -0.03261      0.3027       0.378      0.5707         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10        1.07       2.684       1.583       0.038       1.556       0.068       1.106       0.422       2.804       0.486       23.81       9.928     0.07776          -1         -99         -99       12.17         -99           1
2374       189.1152039   62.3259544      1.58       73.06       8.871         -99       1e+10      0.9997       0.433       1.472      0.8015        4.43        2.91       6.126        4.38         -99       1e+10         -99       1e+10       4.066       2.752         -99         -99       4.729       0.305         -99         -99       5.334       1.867       23.85       10.24      0.1603          -1         -99         -99        12.4         -99           0
2376       189.1547241   62.3259087      0.49       45.89       4.624         -99       1e+10      0.4139      0.3431      0.6089      0.8806         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       3.524       2.705        10.2       0.059       9.001       0.091        7.55       0.658       12.06       0.679       20.95       9.708     0.05284          -1         -99         -99       18.92         -99           0
2378       189.3607941   62.3257866      0.29       29.02       6.573       24.21       9.446    -0.03261      0.4313       1.333        1.15         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3249       2.798       15.43       0.042       12.45        0.07       8.277       0.424       19.17       0.486       20.31       9.578     0.02897      0.2775           1          25     0.02747   3.132e+04           1
2387       189.3780518   62.3252373      2.26       29.02       5.591       6.855       7.656     0.05014      0.3426      0.6423      0.6538         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.587       2.706        3.19       0.038       2.884       0.068       2.846       0.419       1.676        0.48       23.62        10.3      0.1128          -1         -99         -99       6.697         -99           1
2395       189.1308136   62.3256111      0.48       21.68       8.441         -99       1e+10    -0.03261      0.5049         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       3.712       2.683        87.7       0.109       64.67       0.153       52.37        1.12        28.1       1.043       18.47        11.2     0.01373          -1         -99         -99       12.22         -99           0
2399       189.2770233   62.3256378      2.29       28.75       9.874      0.7716       10.39       0.234      0.2816       1.433      0.6236      0.3209       1.282         -99       1e+10         -99       1e+10         -99       1e+10       1.257       2.666       2.774        0.04       3.072       0.068       3.919       0.414       3.167        0.48       23.16       10.22     0.07776          -1         -99         -99       3.938         -99           1
2408       189.2328491   62.3254395      0.53       64.75       5.109       59.34       6.187       1.619      0.3307        2.26      0.9194       1.653        1.77         -99       1e+10         -99       1e+10         -99       1e+10       5.883        2.64       16.65       0.042       13.56       0.068       12.24       0.408       16.21       0.468       20.57       9.768     0.02551      0.5287           1          21     0.02551   2.018e+04           1
2412       189.3352814   62.3252983      0.89       23.38       5.238       23.99       8.385      0.2969      0.3606         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     0.05745       2.677       7.956        0.04       5.661       0.069       4.948       0.426       4.911       0.487       21.73       9.998     0.02747       0.836           1          21           0   2.926e+04           1
2417       189.2190094   62.3253212      1.14       19.91       5.584       0.257       7.963      0.3286       0.298       1.239      0.5502         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3135       2.658       2.529       0.037       2.111       0.066       1.286        0.42       2.104       0.468       23.27       9.598     0.02897          -1         -99         -99       4.478         -99           1
2418       189.2676086   62.3253479      1.08       97.38       4.849       96.52        7.04      0.6432      0.3767       2.713      0.8159       1.813       1.655         -99       1e+10         -99       1e+10         -99       1e+10       2.395       2.652       19.53       0.042       14.46        0.07       11.52        0.41       10.81        0.48       20.86       10.44     0.02897       1.052           1          21     0.02747   2.349e+04           1
2432       189.4783325   62.3248978      1.27       85.53        6.79         -99       1e+10       1.279      0.4773       5.594      0.9667       9.199       3.301        5.19       5.941         -99       1e+10         -99       1e+10        23.6         3.6       22.44       0.058       23.44       0.113       18.17       0.707       18.42       0.808       21.29       10.83      0.1057          -1         -99         -99       17.17         -99           1
2433       189.1283569   62.3250465      0.86       40.27       7.866         -99       1e+10      0.4993      0.4702     0.01973      0.9042         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.687       2.677       11.69       0.104       7.663       0.154       10.76       1.179       4.858       1.053        21.4       10.05      0.4227          -1         -99         -99       11.79         -99           0
2440       189.4980927   62.3246193      0.83       236.6       6.795         -99       1e+10       2.917      0.5031       7.644       1.153       7.679       1.595       5.422       2.884         -99       1e+10         -99       1e+10       12.54       3.001       29.31       0.108       21.97         0.2       26.44       1.723       15.78       1.242       20.29       10.62     0.05284          -1         -99         -99       43.18         -99           0
2449       189.1414337   62.3245087      0.61         145       7.449         -99       1e+10        1.22      0.4251       3.287       1.223       6.172       6.349         -99       1e+10         -99       1e+10         -99       1e+10       6.907       2.698       83.51       0.077       60.36       0.109       53.38       0.762       42.58       0.768       18.56          11      0.1101      0.5476           1          23      0.1585          -1           0
2455       189.2958069   62.3245544      1.15       351.8       5.641         380       9.361       3.681      0.3654       8.152      0.8165       14.02       1.087        11.3       2.601        4.17       4.229         -99       1e+10        27.8         4.6       74.32       0.054       62.15       0.077       43.86       0.428       46.35       0.484       19.57        11.1     0.06558       1.145           1          21     0.05493   2.583e+04           1
2463       189.3398285   62.3242950      0.31       378.7        5.05       424.3       10.59       12.61      0.7049       18.65      0.9894       16.43       1.496       6.748       1.688         -99       1e+10         -99       1e+10        36.5           5       107.6       0.061       93.01       0.082       72.39       0.431       389.8       0.505       18.15       10.25     0.01373      0.2113           1          21     0.06866   2.964e+04           1
2488       189.1442413   62.3238831      0.83       266.7       9.981         -99       1e+10       3.262      0.5863       6.189       1.757       11.65       19.57       26.94       10.16         -99       1e+10         -99       1e+10        73.4         2.9       84.79       0.072        61.9       0.101       49.16        0.68          46       0.707       19.24       11.38     0.06558       0.875           1          72     0.07498          -1           0
2489       189.1454010   62.3231201      2.31       118.3       16.21         -99       1e+10       2.354      0.5454       8.227       1.258       22.59       7.612       6.356        9.27       22.83       4.599       2.382      0.6108        85.8         5.6       18.79       0.057       18.52       0.093       25.08       0.619       23.36       0.678       22.39       11.06      0.2609          -1         -99         -99       3.367         -99           0
2500       189.2586823   62.3233261      1.66       57.38       4.425       18.94       8.136      0.3388      0.2618       1.527      0.5567       3.017        1.46         -99       1e+10         -99       1e+10         -99       1e+10       4.285        2.64       6.793       0.038       7.317       0.067       7.743       0.403       7.034       0.468       22.41       10.39      0.2792          -1         -99         -99       2.975         -99           1
2509       189.1477966   62.3236160      1.09       19.17       7.146         -99       1e+10      0.1112      0.4039         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3079       2.675        50.3       0.063       41.53       0.094       28.04       0.609       23.06       0.668       19.84       11.18     0.07654          -1         -99         -99       5.981         -99           0
2510       189.1793823   62.3235664      0.65       16.16        4.74       0.257       7.203     0.02155      0.3529         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.697       2.671       5.082       0.043       3.342       0.069        2.82       0.489       1.629       0.502       21.99       9.508      0.0412      0.6823           1          21           0   1.518e+04           1
2513       189.2673645   62.3234062      0.94       137.2       5.696       96.52       6.656       1.681      0.3941       3.111      0.7152       6.298       1.288         -99       1e+10         -99       1e+10         -99       1e+10       9.913       2.661       24.51       0.043       17.56        0.07       15.72       0.406       13.79       0.477       20.82       10.38      0.2327       1.028           1          21      0.2782   2.347e+04           1
2518       189.3957825   62.3235626      0.63       54.77       4.739       42.66       9.311       1.164      0.3413       2.219      0.7962         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       10.27       2.815       14.81       0.041       10.39       0.068       10.31       0.422       8.105       0.472       20.87       9.838     0.01373      0.6342           1          21     0.01373   3.393e+04           1
2524       189.1831360   62.3234749      1.45        33.4       5.223       37.53       8.237      0.5506      0.3145     0.01973      0.6662         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.311       2.638       8.851       0.044       8.971       0.069       5.407       0.476       5.654       0.501        21.9       10.33     0.08626       1.423           1          72     0.06057   1.549e+04           1
2525       189.1893768   62.3234100      1.17       172.8       5.436       187.1       8.411       2.733      0.3302       4.058      0.6979       9.491       1.559       6.183       4.717         -99       1e+10         -99       1e+10        36.7         8.2       21.59       0.046       19.69        0.07       14.44        0.47       18.35       0.491       20.91       10.49     0.03749       1.142           2          72      0.3994   1.606e+04           1
2540       189.3334656   62.3230972      2.39       79.42       4.882       26.53       7.491       1.812      0.3387       1.735      0.6377        4.95       1.187         -99       1e+10         -99       1e+10         -99       1e+10       12.97       2.689       7.687        0.04       8.122        0.07       9.573       0.424       7.248       0.487       22.31       10.57      0.1337       2.295           1          34      0.2485   2.912e+04           1
2543       189.3873444   62.3231964      0.91       18.28       4.898       9.795       6.912       0.303      0.2899         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.1717       2.779       4.621       0.038       3.023       0.066       2.709       0.419       0.992       0.472       22.27       9.688           0      0.9365           1          21     0.02551   3.339e+04           1
2544       189.4587860   62.3231621      1.09       20.87        4.77       0.257        16.8    -0.03261      0.3418         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.139       3.306       5.615       0.042       5.241       0.079       2.255         0.5       2.174       0.561        22.5       10.12     0.02551          -1         -99         -99       3.676         -99           1
2552       189.1573486   62.3231621      4.01       11.22       5.712       0.257       10.31         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3043       2.675       0.265        0.05       0.101       0.077       0.633       0.545      -0.879       0.576         -99       9.998      0.8179          -1         -99         -99        14.1         -99           1
2561       189.4711609   62.3228340      1.27       38.08       6.177         -99       1e+10      0.2196      0.3276       2.344      0.8559       3.366        1.47         -99       1e+10         -99       1e+10         -99       1e+10       3.639       2.948       7.787       0.047       7.861       0.094       6.402       0.569       6.328        0.66       22.48        10.2     0.08132          -1         -99         -99       13.23         -99           1
2569       189.5009460   62.3225174      0.43       31.58       6.751         -99       1e+10       1.291      0.4534      0.3177      0.9431         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.903       2.974       11.94         0.1       11.01       0.185       10.99       1.809       14.12       1.213       20.53        9.85      0.1101          -1         -99         -99       46.12         -99           0
2574       189.5046997   62.3224182      0.58       23.16       6.424         -99       1e+10    -0.03261      0.4498         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10        1.16       2.996        50.5       0.132       39.22       0.224       35.19       2.372       18.91       1.389       19.17        10.9       0.615          -1         -99         -99       43.79         -99           0
2577       189.2055969   62.3225136      1.81         115       6.335       39.29       7.525      0.9809      0.3539       2.365      0.5835       4.024       1.295       2.536       1.746         -99       1e+10         -99       1e+10       4.784        2.68       19.59       0.043       23.41        0.07          22       0.431       16.73       0.476       21.35       11.05     0.02898          -1         -99         -99       4.296         -99           1
2578       189.3150940   62.3224373      2.14       39.16       4.784       0.257       10.13      0.0859      0.4351      0.5981      0.8369      0.1375       1.295         -99       1e+10         -99       1e+10         -99       1e+10       5.822       2.698       3.206       0.038       3.621        0.07       3.974       0.423       3.004       0.487       23.17       10.52     0.02898          -1         -99         -99        4.38         -99           1
2587       189.2404480   62.3223534      2.52        20.1        4.24       5.951       7.341      0.1194      0.2925       0.928      0.6053         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      0.6464       2.664       1.174       0.035       1.218       0.065       2.765       0.401       0.541       0.469       23.96       9.748     0.01373          -1         -99         -99       9.882         -99           1
2588       189.2453461   62.3223419      0.59       12.72       5.542       4.196       11.64      0.1811       0.358         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      0.3851       2.679       3.731       0.037       2.658       0.066       2.597       0.399       2.056        0.47       22.69       9.148     0.05795          -1         -99         -99       4.505         -99           1
2591       189.3180389   62.3223381      2.33       31.58       5.526       8.718       9.164      0.5092      0.3464      0.2278       0.872         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       3.086       2.696       3.129       0.038       3.059       0.069       3.749       0.423       2.907       0.489       22.63       10.12     0.04846       2.123           1          85      0.0412   2.781e+04           1
2592       189.3670044   62.3222694      5.25       46.75       6.753       14.43       7.923    -0.03261      0.3282       2.972       0.595       15.18       1.061       17.34       1.819       16.84       2.098      0.6755      0.5495        26.4           3       2.569       0.038       4.419       0.069        6.19       0.421       11.32       0.483        24.7       11.61      0.1725          -1         -99         -99       13.67         -99           1
2594       189.4189148   62.3213234      0.76       87.13       4.238       88.86       5.791       2.247      0.3782       3.636      0.7079      0.4902       1.632         -99       1e+10         -99       1e+10         -99       1e+10       5.958        2.83       13.74        0.04       12.78       0.071       9.891       0.415       12.56       0.471       21.59       10.04      0.2335       1.152           1          21      0.2423   3.529e+04           1
2596       189.4526825   62.3221207      2.29       37.02       5.291       0.257       16.86      0.6495      0.3647      0.3747      0.8594       2.262       1.741         -99       1e+10         -99       1e+10         -99       1e+10       3.234       3.275       5.301       0.041       5.631       0.075       5.551       0.464       4.222       0.536       22.05        10.4     0.08693       2.179           2          72     0.08133   3.715e+04           1
2605       189.4139709   62.3220024      1.27       47.63       5.643       55.14       5.754        0.48       0.331       1.153      0.6819       3.637       1.581         -99       1e+10         -99       1e+10         -99       1e+10       5.451       2.791       12.89       0.041       12.31       0.068       9.792       0.422       9.357       0.469       21.68       10.64     0.01373          -1         -99         -99       8.713         -99           1
2608       189.4633942   62.3219566      1.11       18.63       6.286       0.257        36.5    -0.03261      0.4298     0.01973      0.8474         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       156.6         3.6       34.22        0.05       30.43       0.085       20.33       0.519       14.39       0.581        20.2       10.93      0.1229       1.255           1          72      0.1449          -1           1
2615       189.2810669   62.3219948      0.87       97.38       7.332       73.95       9.708       1.079       0.402       1.184       0.987       4.741         1.3         -99       1e+10         -99       1e+10         -99       1e+10       6.134       2.656        26.2       0.044       18.46       0.071       15.26       0.415       13.06        0.48       20.82       10.53     0.02552       0.944          -1          81     0.04846   2.462e+04           1
2619       189.4067688   62.3218727      2.17        38.8       5.358       0.257       5.675    -0.03261      0.3047     0.01973      0.5615         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.844       2.768       3.199       0.038       3.619       0.066        4.32       0.416        2.92        0.47       22.95       10.47     0.02898          -1         -99         -99       11.38         -99           1
2622       189.4286194   62.3190804       -99        30.7       8.849       3.415       12.33       1.916      0.4923         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.421       2.803       37.77       0.047       18.53       0.068       19.12       0.417       43.89       0.467         -99         -99       1.327          -1        -999         -99       8.183         -99           1
2625       189.3971558   62.3216324      0.82       481.3       5.956       277.9       7.259       2.733      0.3889       5.803      0.7759       8.751       1.153       7.335        2.24         -99       1e+10         -99       1e+10          59           6        75.8       0.054       53.69       0.075       52.23       0.422       57.69       0.479       19.46       11.09     0.01373      0.8352           1          21     0.02898   3.402e+04           1
2643       189.3103638   62.3213272      1.28       73.06       4.771       69.99       7.944       2.683      0.4744       4.407      0.7491       5.111       1.225      0.5587        2.02         -99       1e+10         -99       1e+10       4.518       2.709       15.43       0.041       15.32       0.071       12.11       0.425       12.12       0.485       21.92       10.59      0.1101          -1         -99         -99       4.645         -99           1
2648       189.1556091   62.3213272      0.89       33.72       4.459       4.864       8.542      0.6882      0.3246     0.01973      0.5897         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.477       2.689       6.754       0.046       4.757       0.074       3.435       0.506       2.772       0.548       21.91       9.968     0.07498          -1         -99         -99       14.43         -99           1
2652       189.3155365   62.3212280      1.21       17.43       4.979       21.71       8.782      0.3492      0.3735      0.6598      0.7675         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.293       2.664       4.692       0.039       3.886       0.069       2.829       0.422       3.344       0.488        22.6       9.868     0.04846       1.224           1          72     0.02747    2.76e+04           1
