#            id   flag_SB_MS_1   dist_to_MS_1   dist_to_MS_2        log_SFR   log_SFR_MS_1    log_SFR_MS_2
#
            937              0      -0.168693       -0.27575       0.995284        1.16398        1.27103
            939             -1       0.112548      0.0262645        1.61194        1.49939        1.58567
            950             -1      -0.962553      -0.940857        1.93907        2.90162        2.87993
            951             -1       0.197416      0.0941089     -0.0293278      -0.226744      -0.123437
            960              0       -2.15394       -1.53887      -0.331707        1.82223        1.20716
            965              0      -0.309643      -0.354765        1.10072        1.41036        1.45548
            966              0      -0.451862      -0.488144       0.805297        1.25716        1.29344
            972              0      0.0483629       0.104148      -0.753994      -0.802357      -0.858142
            974              0        0.26083     -0.0027864        2.78412        2.52329         2.7869
            994              0     -0.0728919       -0.10267       0.896526       0.969418       0.999196
            995             -1      -0.166089      -0.191211        1.05308        1.21917        1.24429
           1002             -1      -0.361925      -0.462486        1.08279        1.44471        1.54527
           1005             -1       0.414422       0.363803        2.73062         2.3162        2.36682
           1006             -1      -0.248986      -0.131113        1.66848        1.91746        1.79959
           1008             -1      -0.208403      -0.279874        1.38039         1.5888        1.66027
           1023              0      -0.879239      -0.904384         1.3897        2.26894        2.29408
           1026              0      -0.186986       -0.11674        1.10789        1.29487        1.22463
           1035              0     -0.0524896     0.00492343     0.00774778      0.0602374     0.00282435
           1036              0       -0.13442      -0.149322        1.84217        1.97659        1.99149
           1037              0      -0.182413      -0.343033       0.814381       0.996794        1.15741
           1042              0      -0.293033      -0.304253       0.514548        0.80758       0.818801
           1053              0      -0.115263      -0.147158        2.12024        2.23551         2.2674
           1058              0       -1.11526       -1.20074       0.423574        1.53883        1.62432
           1064              0      -0.227678      -0.411325       0.392873        0.62055       0.804197
           1075              0       -0.63531      -0.717914       0.921426        1.55674        1.63934
           1076              0       0.157395       0.218146        1.37457        1.21717        1.15642
           1077             -1      -0.133924      -0.262758        1.11494        1.24887         1.3777
           1081              0       0.772021       0.849262      -0.356251       -1.12827       -1.20551
           1084             -1      -0.101322     -0.0865522        1.78269        1.88401        1.86924
           1089              0      -0.460628      -0.561241        0.99096        1.45159         1.5522
           1091              0      -0.312871      -0.185637        1.31112        1.62399        1.49675
           1094              0       0.471839       0.486089        2.50024         2.0284        2.01415
           1101              0      -0.474021      -0.559612       0.656002        1.13002        1.21561
           1102             -1      0.0144916      -0.134526       0.245513       0.231021       0.380039
           1103             -1       0.108596      0.0424979        1.62449        1.51589        1.58199
           1104             -1      0.0664787     -0.0703156       0.501744       0.435265       0.572059
           1105             -1      -0.555254      -0.580784        1.10823        1.66348        1.68901
           1109              0            -99            -99         2.6249            -99            -99
           1113              0       0.253418       0.351673        1.19728       0.943863       0.845608
           1118             -1        0.18506       0.050343        0.18327    -0.00179021       0.132927
           1121              0       -1.28825       -1.10506       0.589615        1.87787        1.69468
           1123              0      -0.167094     -0.0971754        1.69152        1.85862         1.7887
           1125              0       -1.25316       -1.24836       0.529559        1.78272        1.77792
           1129              0       0.120459       0.190845        1.92891        1.80845        1.73806
           1133              0      -0.572649      -0.735218      -0.747875      -0.175226     -0.0126576
           1135              1        2.26163        2.78109      -0.730721       -2.99235       -3.51181
           1140              0       0.386264       0.429433     -0.0965844      -0.482848      -0.526017
           1141              0       0.156035       0.092177        1.33766        1.18162        1.24548
           1143             -1      -0.486723      -0.717275      0.0715138       0.558236       0.788789
           1144              0       -1.14086       -1.15279       0.785472        1.92633        1.93826
           1146              0            -99            -99      -0.667562            -99            -99
           1147              0      -0.271932        -0.3514        1.03383        1.30576        1.38523
           1148             -1      -0.301812      -0.376471        2.41196        2.71377        2.78843
           1150             -1      -0.143738      -0.209041        1.36474        1.50848        1.57378
           1159             -1      0.0590939     -0.0170894        2.66191        2.60281          2.679
           1160              0      -0.618799      -0.588573        1.26055        1.87935        1.84912
           1167              0       0.676324       0.803727        2.31366        1.63733        1.50993
           1168              0            -99            -99        2.84167            -99            -99
           1172              0      -0.774323      -0.847393       0.804412        1.57873        1.65181
           1181              0       -0.69987      -0.710111       0.839792        1.53966         1.5499
           1186              0      -0.304553       -0.36143        1.30428        1.60883        1.66571
           1202              0      -0.290256      -0.180231       0.933133        1.22339        1.11336
           1208              0     -0.0517123      -0.021467        1.22089         1.2726        1.24236
           1221              0     -0.0819196      -0.161921        1.16643        1.24835        1.32835
           1222              0      -0.130963      -0.147777       0.502564       0.633527        0.65034
           1225             -1      -0.192389      -0.377673       0.712734       0.905123        1.09041
           1235             -1       0.184918      0.0499751        1.41246        1.22754        1.36249
           1239             -1      -0.629782      -0.120862        1.61993        2.24971        1.74079
           1248             -1       0.421269       0.352044        1.99149        1.57022        1.63945
           1252              0       0.170149       0.340813         1.4606        1.29045        1.11978
           1253              0     -0.0665225     -0.0168229        1.43201        1.49853        1.44883
           1262              0            -99            -99            -99            -99            -99
           1269             -1     0.00459646      0.0286711         1.7876        1.78301        1.75893
           1270              0      -0.182442      -0.225776       0.782258         0.9647        1.00803
           1273              0      -0.587905      -0.732598       0.177536       0.765441       0.910135
           1278             -1      -0.251932      -0.239345        1.09482        1.34675        1.33417
           1284             -1       0.401079       0.349267        2.60895        2.20787        2.25969
           1285              0       0.643155       0.711346      -0.539252       -1.18241        -1.2506
           1293             -1      -0.160868      -0.316915       0.891482        1.05235         1.2084
           1303              0      0.0642669      0.0349242       0.172603       0.108336       0.137679
           1306              0       0.303275       0.709186       -2.43664       -2.73991       -3.14582
           1313              1       0.357004       0.346759     -0.0709389      -0.427943      -0.417698
           1315              0     -0.0149258     -0.0102986        1.63276        1.64769        1.64306
           1320              0     -0.0295571      -0.113026        1.18696        1.21651        1.29998
           1334              0       -1.06252       -1.05852        1.08955        2.15207        2.14807
           1335              0    -0.00737262      -0.102108        1.05346        1.06084        1.15557
           1337             -1      0.0595005     -0.0649459        1.12222        1.06272        1.18716
           1338             -1      -0.146548      -0.215401        1.49332        1.63987        1.70872
           1341             -1      0.0540534     -0.0645435        1.31429        1.26024        1.37883
           1342              0       -1.23068       -1.03267       -3.18849       -1.95781       -2.15582
           1348              0      -0.694073      -0.842493      -0.360314       0.333759       0.482178
           1350              0      0.0419275    -0.00283691        1.26717        1.22524        1.27001
           1355              0      -0.297509      -0.370688        0.95708        1.25459        1.32777
           1357              0      -0.273645      -0.298731        1.02202        1.29566        1.32075
           1367              0      -0.170541     -0.0869369        1.16077        1.33131        1.24771
           1368             -1      -0.135125      -0.163222        2.28421        2.41933        2.44743
           1369             -1       -0.20226      -0.220032        1.77063        1.97289        1.99066
           1371              0     -0.0953036       -0.10853       0.682957        0.77826       0.791487
           1384             -1      0.0425169     -0.0270149        1.67897        1.63646        1.70599
           1387              0            -99            -99        2.32736            -99            -99
           1391              0      -0.267751      -0.289105       0.542701       0.810452       0.831806
           1393              0       0.259082       0.267316        1.26269        1.00361       0.995372
           1394             -1      -0.270041      -0.480209       0.391112       0.661152        0.87132
           1396              0      -0.856199       -1.02693       0.110253       0.966452        1.13719
           1401              0      -0.242884      -0.159819        1.22866        1.47154        1.38848
           1402              0      -0.182184      -0.214963        1.73679        1.91898        1.95176
