#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
264      0.2105      0.1043      0.5824      0.2692       1.849      0.7905       2.894       1.026       2.684      0.8925       1.827      0.6145      0.5348      0.1854      0.2083      0.0729       0.187     0.05855      0.1643     0.04315     0.03578     0.01236     0.03301      0.0114    0.007636    0.002804
270        0.21     0.07575      0.5506      0.2951       1.331        0.74       1.815       1.094       1.541       1.006      0.8345      0.5885      0.2055      0.1548     0.07815     0.05956     0.07018     0.05256     0.06164     0.04505     0.01367     0.01048     0.01263    0.009684    0.004556    0.002805
277       0.132     0.07661      0.4245      0.2732       1.487       1.022       2.474       1.831       2.426       1.839        1.69       1.325      0.5059      0.4127      0.1985      0.1636      0.1783      0.1452      0.1566      0.1254     0.03399     0.02805     0.03136     0.02586    0.006872    0.004888
288       1.109      0.5064       1.746      0.4905       2.001      0.8195        1.36      0.8188      0.7062      0.4798      0.2728      0.1983     0.05513     0.04192     0.02083     0.01603     0.01871     0.01416     0.01644     0.01215    0.003662     0.00279     0.00339    0.002575    0.005848    0.001902
289      0.7859      0.4852       1.523      0.7286        4.99       0.815       8.787       1.129       9.195       1.635       7.222       1.723       2.565       0.777       1.081      0.3575      0.9745       0.288      0.8587      0.2115        0.19     0.06535      0.1753     0.06035     0.02667     0.00239
309      0.3025      0.2652       0.488       0.415       1.505       1.305       3.137       2.145       4.422       1.738        5.29       1.274       3.179       1.765       2.012       1.433       1.887       1.338       1.737       1.219      0.5781      0.4779      0.5408      0.4483      0.0131     0.00247
314      0.4954      0.1846      0.9051      0.3109       1.351      0.6023      0.9615      0.5434      0.4998      0.3188       0.193      0.1321     0.03889     0.02807     0.01468     0.01075     0.01318    0.009462     0.01158    0.008077    0.002577    0.001876    0.002385    0.001732    0.003075    0.001106
316      0.1065     0.04644      0.2593      0.0962      0.6684      0.3756      0.9732      0.6428      0.9691      0.6849      0.7008      0.5172      0.2144      0.1646     0.08484     0.06587     0.07636     0.05837     0.06717     0.05022     0.01493     0.01168     0.01379     0.01079    0.002533    0.001659
317      0.9658      0.2402        2.03      0.3605       3.022      0.9415       2.176      0.9935       1.152      0.6015      0.4496      0.2547     0.09128     0.05452     0.03454     0.02095     0.03102     0.01814     0.02725     0.01511    0.006058    0.003673    0.005603    0.003391    0.006895    0.001476
330     0.08502     0.04958      0.2868      0.1986       1.169      0.7882       2.199       1.435       2.315       1.476       1.722       1.077      0.5577       0.345      0.2247      0.1386      0.2021      0.1202      0.1777      0.1005     0.03882      0.0238      0.0358     0.02195    0.006114    0.003985
