#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
760       0.246      0.5354      0.5354       6.101       5.241       1.658       5.625       1.274      0.8615           0
762           0      0.2796      0.2796        6.84       5.829       1.011       6.037      0.8035       0.707           0
768           0       5.387       5.387       12.54       31.07        26.2       33.61       24.24        2.53       0.318
776           0      0.1168      0.1168       2.303       1.741       1.111       1.756       1.096      0.5687        0.14
779       21.28       20.56      0.7113        14.6       15.29       1.726       35.89        1.05        1.45           0
786           0       1.875       1.875       12.37       18.32       9.775       19.45       8.643       2.431      0.1465
793           0       2.426       2.426       101.2       87.56       13.65       88.04       13.17       2.704       0.078
804       1.334      0.8419      0.5877       1.422       4.912       3.502        5.81        3.32       0.931        0.02
805       1.506       1.139       1.139       28.73       26.25       11.98        26.8       11.42       1.493       0.122
807       3.183       100.2       100.2       313.5       294.6       148.9       378.5       137.8        2.65      0.3285
808       1.618       1.308       1.308        2.94       3.202      0.3594       4.547       1.235       0.473           0
809      0.1391      0.1374     0.06777      0.4583      0.6793      0.2328      0.7945      0.2045       0.476        0.02
825           0      0.2986      0.2986       7.601       6.356       1.245       6.544       1.057       1.022           0
826      0.1054      0.3801      0.3801       5.433       3.553       2.232       3.754       2.249      0.6233        0.14
827           0       7.666       7.666       134.9       128.9       5.951       134.2       10.38       1.371        0.02
837           0       6.862       6.862         206       206.1       45.55       214.9       43.87       3.551        0.05
841       58.14       151.1       151.1       636.1       483.9       158.7       610.9       282.2       6.301         1.6
849           0       1.247       1.247       20.04        18.1       5.346       18.17       5.272       1.556       0.169
860       55.13       58.99       14.18       65.81       71.69       12.46       137.5       19.77       2.982      0.1335
866       1.925        2.47        2.47       3.551       11.88       9.177       13.39       9.149        1.27       0.204
867           0       0.519       0.519       6.715        7.55       3.212       7.648       3.115       1.263      0.1065
870           0       15.32       15.32       38.01       34.75       5.484       50.54       12.53        0.84           0
872       14.09       21.63       20.02       44.37       43.67       19.48        60.3       15.25       2.084       0.175
877           0       2.154       2.154       26.32       28.72       18.52       29.09       18.82        1.45       0.221
878     0.06607     0.08179     0.02424      0.4765      0.4586     0.05714      0.5439     0.03639      0.2755           0
881       1.518       5.214       5.214       12.87       21.08       11.97       23.03       10.03        2.15       0.283
884       8.508       58.75       58.75         530       511.6       53.99       564.7       28.41        3.53      0.0445
885       34.31       17.16       17.16       8.874       11.27       5.376       31.92       15.91      0.9032           0
886           0     0.07057     0.07057       1.394       1.236      0.3459       1.295      0.2869       0.475           0
892      0.9059       2.753       2.753       13.57       12.24       6.298       14.11       4.925        1.45           0
893       1.067       2.381       2.381       24.15       23.37      0.9989       25.47       2.268        0.94           0
899     0.05109     0.06312     0.06312      0.4242      0.5949      0.3671      0.6531      0.3397      0.4869        0.04
902       6.908       6.727       3.496       17.61       16.66        1.63       23.62       2.687       0.962           0
915           0        10.5        10.5       301.7       297.5       9.305       307.1       5.409       2.635           0
917       43.92       38.17       38.17       90.13       81.65       33.29       106.7       52.13         1.5       0.225
922       2.258       1.728       1.728       7.275       11.79       6.084       12.76       5.111        1.81       0.253
923           0       4.264       4.264       160.6         181       71.42         182       71.81        1.92       0.263
924     0.02765      0.0655      0.0655      0.3278      0.7156       0.467      0.7404      0.4458      0.4641        0.09
926      0.8621        2.38        2.38       23.52       27.04       18.91       28.49       18.93         1.6       0.234
928           0      0.1184      0.1184       1.068       1.997       1.474       2.091        1.38      0.8281        0.09
931           0         3.6         3.6        6.37         5.4       2.988       8.411       5.846      0.7425        0.15
934           0      0.1451      0.1451       3.178        3.08      0.6486       3.216      0.5132      0.7078           0
937       1.807       1.804       1.561       8.949       8.894       3.414       10.58        2.02       1.032           0
939       4.319       5.846       4.416       39.52       38.39       4.631       43.76        5.59       0.947           0
950       92.21        73.3       29.33       70.14       90.68       20.54       173.1       26.84       2.679      0.0525
951           0      0.3889      0.3889       1.011      0.9215      0.6083        1.25      0.9324      0.2857        0.09
960           0     0.04335     0.04335      0.8419      0.7339      0.5552      0.7511      0.5381      0.4158        0.08
965      0.5671       1.821       1.821       22.08       19.94       4.147       20.87       4.712        1.53       0.075
966      0.3655      0.8354      0.8354       8.455       9.144       2.352       10.04       1.577       1.303           0
972     0.03041      0.0208      0.0208       0.304      0.3846      0.1692      0.4005      0.1589      0.3466        0.02
974   2.017e-07   6.471e-07   6.471e-07       508.9       523.2       14.22       523.2       14.22       5.336       0.212
994       3.552       6.073       4.994       4.349       10.13       5.988       15.82       8.933       1.119      0.1899
995       1.389       1.657       1.657       21.57       20.24       1.632       21.91       2.129       1.306           0
1002       2.503       2.497       2.497        8.48       9.011       1.547       11.29       1.785       0.948           0
1005       1.539       120.8       120.8       354.7       339.9       126.3       456.1       131.4       2.885      0.2775
1006       4.337       5.703       5.703       48.88       47.82       2.078       54.26       4.354       0.946           0
1008       1.673       3.001       3.001       29.59       27.95       2.416        30.5       3.559       1.029           0
1023       0.264      0.9129      0.9129       33.11       34.26       29.64        34.6        29.3        2.24       0.292
1026           0      0.7809      0.7809       16.38       18.56       4.726       19.18       4.103       1.811       0.121
1035      0.1029      0.1499      0.1499       1.526       1.479      0.5459       1.627      0.4379      0.7778           0
1036       97.82       97.69       54.74       340.9       293.9       52.54       383.3       97.46        4.18       0.466
1037           0      0.6706      0.6706       5.444       4.908      0.5366       5.464      0.9432      0.7703           0
1042      0.1347     0.06734     0.06734       2.911       2.697      0.5106       2.749      0.4594        1.06           0
1053       20.09       31.79       31.21       42.79       73.84       47.76       114.7       57.58        2.43       0.309
1058      0.5265      0.3505      0.3505       5.513       4.729       2.615       5.053       2.405       1.038           0
1064           0      0.1956      0.1956       2.542       2.538       1.622       2.701       1.741      0.5869        0.14
1075       4.103       3.919       3.877        9.56       9.752       5.668       12.48       6.736       1.055      0.1802
1076       14.96       16.38       16.38       42.19       64.61       31.45       76.32       28.49         1.6       0.134
1077       2.602       2.695       1.297       12.95       12.85       2.117       15.75       1.125       0.938           0
1081     0.01431     0.05946     0.05946      0.7446      0.5061      0.4516      0.5131      0.4523      0.2293        0.11
1084      0.3894       4.802       4.802       63.32       61.34       2.154       65.37       4.409       1.144           0
1089      0.4679       1.621       1.621       8.499       10.43       5.786       11.35       5.668      0.9719      0.1701
1091        4.49       4.703       4.703       11.24       28.96       20.95       31.76       18.16       2.783       0.163
1094       10.02       56.21       56.21       275.3       254.4       38.91       303.5       53.48        3.53           0
1101           0       1.817       1.817       5.391       8.822       7.333       10.57       8.153       1.082        0.18
1102       2.024       1.453      0.5701       2.124       2.273       0.149        3.73      0.4338      0.4724           0
1103           0       9.064       9.064       63.27       59.36       3.908       69.36       6.091       1.363           0
1104           0       0.398       0.398       4.682       4.723      0.7649       5.026      0.8451      0.5948           0
1105      0.4377        3.19        3.19       18.14        17.3        1.47        20.1       3.144      0.9441           0
1109       27.03       47.02       47.02       63.63       111.1       104.2       135.9       128.2       1.601         0.9
1113           0       1.904       1.904       17.79       14.93        4.92       16.28       3.572       1.457           0
1118           0      0.2899      0.2899       1.924       1.927      0.1056       2.197      0.2724      0.3866           0
1121      0.5441      0.4236      0.3449       4.823       5.354       1.517        5.76       1.189      0.7997           0
1123       4.803       10.51       10.51       48.14        56.8       37.09       64.72       32.22       3.116      0.2125
1125      0.3688      0.8406      0.8406        4.88       4.861       2.467       5.506       1.821       1.023           0
1129           0       3.975       3.975       60.68       76.96       32.67       80.59       32.96       2.538      0.2445
1133    0.002155      0.0144      0.0144      0.2285      0.2042     0.05382      0.2171     0.04089      0.2538           0
1135           0     0.05964     0.05964      0.2192      0.1872     0.03198      0.2441       0.088       0.131        0.01
1140     0.08975      0.2412      0.2412      0.3357       1.043      0.8129       1.243      0.9125      0.4768        0.13
1141       1.196       3.816       3.816       28.52       21.63       11.14       23.14       12.38       1.174      0.1901
1143           0      0.4477      0.4477       1.322       1.261     0.06114       1.741       0.419      0.2804           0
1144       0.115       1.354       1.354       2.686       6.289        5.42       6.663       5.145        1.33        0.21
1146           0       34.07       34.07       310.9       373.3         155       383.2       162.3       4.651        1.25
1147       21.55       14.84       13.86       11.16       14.87       5.896       29.19        16.6        1.26       0.203
1148       67.23       36.12       36.12       574.5       466.7       156.1       485.6       156.2        3.18       0.376
1150       12.89       11.58       11.58       24.88       22.77          10        34.5       11.51       1.364           0
1159           0       14.88       14.88       520.2       514.9       11.11       531.6       23.47       3.234      0.0175
1160       18.86       17.72       12.09       11.97       20.69       10.96       37.42       9.834       2.388      0.1765
1167       20.66        18.6        18.6       200.5       200.4        8.57       214.7       14.62        2.92           0
1168           0       148.7       148.7       752.2       580.4       504.1       644.6       555.7       2.401         1.1
1172      0.7623       1.086       1.086       3.125       8.517       5.556       9.135       5.658        1.33        0.21
1181       1.388       1.873       1.873       8.321       9.756       5.585       11.34       4.202       1.772       0.095
1186        5.57        7.03        7.03       23.06       21.32       14.89       24.25       13.75        1.46       0.221
1202       2.483       1.995       1.995       8.993       13.04       5.747       14.19       4.596       1.841        0.22
1208       1.462       1.886       1.886        17.5       19.72       6.802       21.35       7.576       1.498      0.2145
1221      0.1831       1.709       1.709       14.63       14.97        6.33       15.02       6.383       1.157      0.1802
1222      0.2615      0.2828      0.2828       2.703       3.666       3.068       3.922       2.918      0.9219      0.1201
1225     0.03442        1.65        1.65       5.578       6.678       3.229       7.368       3.798      0.5341         0.1
1235      0.2966       16.55       16.55       25.97       22.67       7.796       38.82       12.72      0.8919           0
1239       22.44       23.98       23.98       34.72        34.2       2.911       58.54       21.43       0.836           0
1248       5.305       31.65       31.65       73.41       80.23       34.21         105       57.28        1.24       0.202
1252           0       3.522       3.522       9.262       14.02       8.946       15.28       7.678        2.22        0.29
1253       4.052       4.323       3.776       27.82       28.94       7.489       33.66       6.551       1.847      0.0845
1262           0       20.88       20.88       342.2       417.9       86.11       428.7       96.04       3.796       0.272
1269           0       37.36       37.36       186.8         156       64.68       179.5       87.74        2.21       0.289
1270      0.5358      0.8421      0.8421       6.029       6.338       2.045       7.086        1.52       1.083           0
1273           0       0.303       0.303       3.036       2.387      0.8684       2.649      0.6154      0.7441           0
1278        2.28       4.045       3.994       10.12       15.26       7.413       16.74       7.006        1.54       0.183
1284       4.076       2.294       2.294       382.1       348.6       65.97         351       67.17       3.591      0.3905
1285      0.1514      0.1307      0.1307      0.4369      0.3067      0.1338      0.4243      0.2428      0.2065        0.04
1293       1.939       2.115       2.115        9.52       8.983      0.8768       11.21       1.844      0.7939           0
1303      0.1588      0.1379      0.1379       1.808       1.742       0.624       1.843      0.5721      0.6335           0
1306   7.909e-08     0.00026     0.00026   1.559e-06    0.005976    0.005974    0.005976    0.005974       0.041        0.04
1313      0.3482      0.3223      0.2616       1.774       1.432        1.07       1.614       1.062      0.4067        0.08
1315           0       9.128       9.128        30.1          44       19.35       48.69       18.59       1.711      0.1985
1320      0.4497       1.369       1.369       15.75       15.93       7.457       15.98       7.402       1.137      0.1898
1334           0      0.5343      0.5343       9.799       14.75        10.8       14.97       10.59        1.68       0.241
