#            id              z           maxz            snr         maxzsnr
#
           2432           1.27           1.53          10.12        5.17725
           2433         0.8126            -99          1.387            -99
           2440         0.8253         1.1253          12.63         5.0149
           2449         0.5476            -99           4.74            -99
           2455          1.145          1.965          23.83        5.00692
           2463         0.2113         0.3713          54.76        5.52416
           2488          0.875          0.995          8.581        5.23477
           2489          2.608          7.608          10.94         5.1167
           2500          1.792            -99          2.475            -99
           2509          1.082            -99          0.835            -99
           2510         0.6823            -99          0.048            -99
           2513          1.028          1.208          7.869        5.13148
           2518         0.6342         0.6542          5.645        5.08622
           2524          1.423            -99          1.933            -99
           2525          1.142          1.562          12.75        5.03719
           2540          2.295          2.675          7.637        5.08838
           2543         0.9365            -99          0.981            -99
           2544         0.9119            -99              0            -99
           2552          4.032            -99          0.817            -99
           2561           1.27            -99          3.518            -99
           2569         0.3813            -99          3.328            -99
           2574         0.5378            -99          1.896            -99
           2577          1.873            -99          4.941            -99
           2578           2.14            -99          1.369            -99
           2587           2.52            -99          1.915            -99
           2588         0.5869            -99          1.398            -99
           2591          2.123            -99          1.796            -99
           2592          4.744          9.164          18.03        5.00205
           2594          1.152          1.392          9.111        5.00404
           2596          2.179            -99          2.166            -99
           2605          1.239            -99          2.728            -99
           2608          1.255            -99              0            -99
           2615          0.944            -99          3.508            -99
           2619          2.199            -99              0            -99
           2622          0.401            -99          3.568            -99
           2625         0.8352         1.2152          14.76        5.02548
           2643           1.28           1.54          9.658        5.06166
           2648         0.8199            -99          2.615            -99
           2652          1.224            -99              1            -99
           2655          3.355            -99          0.065            -99
           2660         0.8751            -99          1.114            -99
           2667           1.26            -99          3.339            -99
           2668          2.562            -99          1.365            -99
           2670          0.947          0.987          5.851        5.06421
           2671         0.2311            -99          1.547            -99
           2674           1.98            -99          1.005            -99
           2677          2.197            -99          1.418            -99
           2681          2.968            -99          0.157            -99
           2682          0.946          0.946          5.022              0
           2683           1.54            -99          2.757            -99
           2687         0.3565            -99          3.786            -99
           2697          3.712            -99           4.66            -99
           2705          1.151            -99              0            -99
           2715          1.321            -99            4.8            -99
           2716           2.04            -99              0            -99
           2720          1.224            -99          2.376            -99
           2722           2.07            -99          1.542            -99
           2725          1.147            -99          1.866            -99
           2728          1.207          2.047          23.41        5.07682
           2738          1.987          2.667          11.29         5.0684
           2739          0.972          1.272          9.675        5.15571
           2740              1            -99          1.753            -99
           2741         0.9619            -99          1.724            -99
           2746          1.221          1.681          15.15        5.13997
           2758         0.8199            -99          1.823            -99
           2767          1.346            -99          4.775            -99
           2769           2.44            -99          1.657            -99
           2776         0.2111            -99          1.952            -99
           2778           2.11            -99          1.262            -99
           2785          1.632            -99              0            -99
           2794          1.651            -99          2.139            -99
           2805          2.666            -99              0            -99
           2806           1.79           1.79           5.37              0
           2813          1.851            -99          3.657            -99
           2818          0.051          0.071          13.06        5.43091
           2822          1.444            -99          3.976            -99
           2825         0.6809         0.8209          9.996        5.05279
           2831          2.094            -99          1.698            -99
           2841         0.7433         1.1233          26.45        5.04055
           2856         0.8035            -99          3.511            -99
           2870          1.492            -99          1.884            -99
           2874          1.599          1.739          7.375        5.06239
           2877          1.363            -99          3.769            -99
           2878         0.9544         1.1944          9.859        5.01137
           2880          2.182            -99          0.143            -99
           2884           1.37            -99              0            -99
           2888          0.748            -99          0.991            -99
