# id     ra            dec          z        ez        z_sp     z_op    fK         dfK        fch1       dfch1     fch2       dfch2     fch3       dfch3      fch4       dfch4      f24       df24       f16         df16       f100       df100      f160       df160       f250       df250    f350       df350    f500       df500    f850        df850    f1160      df1160   f20cm       df20cm     SNR     Mstar           SFR       eSFR      sSFR      goodArea   Type_AGN   Type_SED   Type_FIR  
  620    189.2494202   62.3682442   0.8      -1.0      0.8      0.87    0.02333    0.002333   0.02139    1.14E-4   0.01485    1.1E-4    0.01756    0.001398   0.0106     8.15E-4    0.1284    0.005295   0.07367     0.01727    1.294      0.3416     3.707      0.5556      1.983      3.964    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.007954    0.00288    7.688   1.10099999E10   8.113     1.055     0.7366    1          0          -1         1         
  621    189.2638092   62.3682137   2.48     0.313     -1.0     2.48    0.0052     5.2E-4     0.0109     6.9E-5    0.0129     9.3E-5    0.01659    8.03E-4    0.01601    6.6E-4     0.1562    0.007259   1.903E-10   0.01087    2.52       0.424      4.999      0.8868      5.362      2.387    4.381      2.5      -99.0      1.0E10   8.675E-41   1.0E10   0.426      0.8118   0.0336      0.0093     8.688   5.034E10        208.6     91.05     4.143     1          0          0          1         
  637    189.4125824   62.3677406   0.503    -1.0      0.503    0.5     0.04446    0.004446   0.03073    7.0E-5    0.0252     1.7E-4    0.02305    8.9E-4     0.02565    0.001102   0.1119    0.005024   -99.0       1.0E10     2.093      0.5512     3.725      1.043       5.912      2.553    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.00911     0.003039   5.705   2.05099991E10   2.923     0.5124    0.1425    0          0          -1         1         
  638    189.4360352   62.3677368   0.711    -1.0      0.711    0.72    0.1225     0.01225    -99.0      1.0E10    -99.0      1.0E10    -99.0      1.0E10     0.04035    0.002472   0.155     0.01227    -99.0       1.0E10     5.189      688400.0   8.132      1.789       12.75      1.566    15.17      3.565    14.32      4.259    1.0E-99     1.0E10   2.13E-10   0.8337   0.0428      0.0084     10.79   6.9500002E10    20.44     1.895     0.2941    0          0          -1         1         
  658    189.2865833   62.3671667   4.051    -1.0      4.051    3.9     8.63E-4    8.63E-5    0.003975   4.9E-5    0.004      7.6E-5    0.006287   5.59E-4    0.009708   5.44E-4    0.03734   0.004754   0.002202    0.01374    0.5297     0.3183     2.116      0.6502      17.72      3.027    21.02      5.14     10.2       8.585    8.675E-41   1.0E10   1.109      0.7469   0.1729      0.009      8.244   8.7490003E10    765.6     92.87     8.751     1          1          0          1         
  659    189.2905417   62.3673889   4.056    -1.0      4.056    4.33    0.002704   2.704E-4   0.008052   4.9E-5    0.009915   7.6E-5    0.01195    5.49E-4    0.0152     5.36E-4    0.03496   0.006989   0.01919     0.009279   0.5248     0.4144     3.472      1.049       4.225      4.65     4.518      7.832    26.59      10.81    8.675E-41   1.0E10   2.146      0.788    0.01181     0.002971   5.213   2.64199995E11   748.7     143.6     2.834     1          0          -1         1         
  669    189.3904724   62.3668671   1.142    -1.0      1.142    1.16    0.01343    0.001343   0.02201    5.1E-5    0.02085    1.03E-4   0.01738    5.62E-4    0.02024    7.22E-4    0.158     0.008284   0.1505      0.02078    3.257      0.4754     8.192      1.039       9.698      3.373    10.36      3.729    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.034       0.0067     11.18   1.70599997E10   45.46     4.065     2.665     0          0          0          1         
  692    189.3514557   62.3660202   0.281    -1.0      0.281    0.34    0.5445     0.05445    0.224      8.0E-5    0.1909     9.7E-5    0.1277     4.62E-4    0.2045     5.23E-4    0.3879    0.0136     0.367       0.01389    6.448      0.4306     16.48      1.429       13.64      0.896    6.926      2.226    3.502      3.316    1.0E-99     1.0E10   -99.0      1.0E10   0.0368      0.0068     24.49   1.95899998E11   2.714     0.1108    0.01386   1          0          -1         1         
  737    189.231308    62.3645592   0.585    -1.0      0.585    0.61    0.0929     0.00929    0.07066    1.44E-4   0.05063    1.25E-4   0.05723    0.001656   0.04627    9.11E-4    0.2555    0.00776    0.2126      0.01423    7.171      0.3644     9.247      0.7245      8.249      1.362    3.837      3.647    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0451      0.0035     24.25   4.9200001E10    12.14     0.5007    0.2468    1          0          -1         1         
  807    189.4239502   62.3625374   2.65     0.3285    -1.0     2.65    0.002858   2.858E-4   0.003224   7.0E-5    0.003828   1.81E-4   0.006445   9.65E-4    0.005017   0.001133   0.06588   0.006453   -99.0       1.0E10     2.494      0.3933     6.347      1.251       8.929      3.659    7.297      6.521    3.106E-7   7.147    8.675E-41   1.0E10   0.1586     0.9122   0.01497     0.003048   8.555   6.6370002E9     294.6     148.9     44.39     0          0          0          1         
  808    189.209549    62.3623848   0.473    -1.0      0.473    0.63    0.05495    0.005495   -99.0      1.0E10    0.0345     1.9E-4    -99.0      1.0E10     0.0379     0.001403   0.1336    0.005333   -99.0       1.0E10     3.149      0.4032     3.088      1.453       3.209E-7   6.354    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01814     0.002831   8.095   4.187E10        3.202     0.3956    0.07647   0          0          -1         1         
  827    189.2061768   62.3618965   1.371    0.02      -1.0     1.21    0.0413     0.00413    -99.0      1.0E10    0.04547    2.1E-4    -99.0      1.0E10     0.03406    0.001507   0.2196    0.008807   -99.0       1.0E10     4.586      0.3594     13.34      1.095       24.73      6.684    21.95      3.518    18.61      3.586    1.808       0.7699   0.4142     0.729    0.1154      0.0049     19.91   8.5500002E10    128.9     6.473     1.508     0          1          -1         1         
  870    189.421875    62.3605881   0.84     -1.0      0.84     0.87    0.02535    0.002535   0.03399    6.7E-5    0.02525    1.42E-4   0.0298     8.24E-4    0.02184    9.67E-4    0.3254    0.01418    -99.0       1.0E10     8.094      0.4911     14.02      1.14        10.66      4.718    5.286      9.018    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0378      0.0068     20.7    2.00399995E10   34.75     5.484     1.734     0          0          0          1         
  884    189.2482452   62.360218    3.53     0.0445    -1.0     3.93    0.001445   1.445E-4   0.001926   6.3E-5    0.002184   8.9E-5    0.00414    7.61E-4    0.004793   6.44E-4    0.1136    0.006971   0.004776    0.007998   0.04022    0.3244     4.583      0.6767      8.787      2.94     14.41      7.21     12.88      14.27    0.5064      1.188    2.13E-10   1.162    -3.632E-4   0.002851   7.733   4.6980002E10    511.6     66.16     10.89     1          0          1          1         
  885    189.2761383   62.3601532   0.9032   -1.0      0.9032   0.14    0.05808    0.005808   0.09716    6.4E-5    0.1024     8.8E-5    0.1203     5.41E-4    0.1326     5.34E-4    0.3171    0.01161    0.2152      0.00854    3.229      0.3964     2.048      1.56        6.534      3.533    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0169      0.0032     8.456   1.445E8         11.27     5.376     77.98     1          0          0          1         
  893    189.2816772   62.3599548   0.94     -1.0      0.94     0.99    0.02421    0.002421   0.03559    5.2E-5    0.02755    7.7E-5    0.02344    5.11E-4    0.01971    5.2E-4     0.2104    0.006909   0.1466      0.009096   2.868      0.3608     6.497      0.8475      11.41      2.462    6.161      2.875    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0207      0.0033     12.17   2.704E10        23.37     1.921     0.8644    1          0          -1         1         
  902    189.2283478   62.3593483   0.962    -1.0      0.962    1.01    0.02805    0.002805   0.03008    9.5E-5    0.02253    1.09E-4   0.02454    0.001292   0.01394    8.1E-4     0.1807    0.006071   0.138       0.008955   2.162      0.3457     5.105      0.7936      4.821      1.18     7.075      4.808    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.008783    0.002808   9.966   1.35500001E10   16.66     1.672     1.229     0          0          -1         1         
  915    189.2552795   62.3590889   2.635    -1.0      2.635    2.51    0.004571   4.571E-4   0.008598   5.4E-5    0.01052    8.1E-5    0.0138     6.26E-4    0.02009    5.86E-4    0.1344    0.00539    0.02336     0.006833   0.6182     0.3246     4.529      0.529       10.12      2.023    9.05       6.232    4.61       12.55    5.918       0.9636   1.516      0.8871   0.0292      0.0056     12.04   3.9080002E10    297.5     24.72     7.613     1          0          0          1         
  917    189.4455261   62.3588676   1.5      0.225     -1.0     1.5     0.005346   5.346E-4   0.01373    1.47E-4   -99.0      1.0E10    -99.0      1.0E10     0.01229    0.002012   0.154     0.007931   -99.0       1.0E10     2.928      0.6372     6.216      1.215       7.714      2.056    12.6       3.287    11.39      6.045    8.675E-41   1.0E10   2.13E-10   0.872    0.006334    0.003022   8.922   2.96499999E10   81.65     33.29     2.754     0          0          0          1         
  923    189.4172668   62.3588448   1.92     0.263     -1.0     1.92    0.003162   3.162E-4   0.008795   5.5E-5    0.01271    1.18E-4   0.01475    6.86E-4    0.01022    8.3E-4     0.1113    0.004571   -99.0       1.0E10     2.29       0.3998     7.198      1.082       11.67      3.075    14.29      5.891    8.139      7.141    8.675E-41   1.0E10   0.7594     1.038    0.02546     0.00305    9.959   7.4470001E9     181.0     71.42     24.31     0          0          0          1         
  931    189.2063446   62.3585205   0.7425   0.15      -1.0     0.75    0.01486    0.001486   -99.0      1.0E10    0.01068    1.61E-4   -99.0      1.0E10     0.0094     0.001165   0.07652   0.005001   -99.0       1.0E10     1.056      0.3384     2.77       0.6388      3.209E-7   4.773    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   -1.894E-4   0.002784   5.341   6.4860001E9     5.4       2.988     0.8326    0          0          0          1         
  939    189.2743835   62.3582878   0.947    -1.0      0.947    0.95    0.02582    0.002582   0.03463    5.2E-5    0.02595    7.6E-5    0.02646    5.21E-4    0.02565    5.25E-4    0.3776    0.01326    0.3024      0.008294   4.916      0.32       12.28      1.603       6.006      4.324    11.14      6.808    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0325      0.0032     17.3    3.7319999E10    38.39     4.631     1.029     1          0          -1         1         
  951    189.2402344   62.3573418   0.2857   0.09      -1.0     0.27    0.02655    0.002655   0.02052    6.7E-5    0.01738    9.0E-5    0.01917    7.49E-4    0.02651    6.51E-4    0.06427   0.01157    0.06139     0.009442   1.313      0.5159     5.405      1.132       3.465      1.733    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01314     0.002791   5.767   8.912E8         0.9215    0.6083    1.034     1          0          0          1         
  995    189.2989197   62.3567123   1.306    -1.0      1.306    1.32    0.0052     5.2E-4     0.007412   4.1E-5    0.006742   7.0E-5    0.005486   4.51E-4    0.00562    4.95E-4    0.03913   0.005524   0.03334     0.008955   0.8466     0.3239     2.386      0.6317      3.713      1.074    3.925      2.349    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.008712    0.002803   5.987   9.1609999E9     20.24     3.381     2.209     1          0          -1         1         
