#            id      dis_to_MS        name_SB           LTIR           MSIR            SFR    lgSFR_MS_Sargent                Mstar
#
            825     -0.0877853             MS      6.356e+10    7.77981e+10          6.356            0.890969             9.98195
            826     -0.0747833             MS      3.553e+10    4.22064e+10          3.553            0.625379             9.98195
            827       0.280852             MS      1.289e+12    6.75152e+11          128.9              1.8294              10.932
            837            -99        unknown      2.061e+12            -99          206.1                 -99                 -99
            841            -99        unknown      4.839e+12            -99          483.9                 -99                 -99
            849       0.284433             MS       1.81e+11    9.40255e+10           18.1            0.973246             9.74195
            860      -0.597998             MS      7.169e+11     2.8409e+12          71.69             2.45346              11.142
            866      -0.672699             MS      1.188e+11    5.59134e+11          11.88             1.74752              10.892
            867     -0.0127627             MS       7.55e+10    7.77517e+10           7.55             0.89071             9.81195
            870       0.511559             MS      3.475e+11    1.07003e+11          34.75              1.0294              10.302
            872      -0.010749             MS      4.367e+11    4.47643e+11          43.67             1.65093              10.362
            877       0.168374             MS      2.872e+11    1.94899e+11          28.72             1.28981              10.202
            878       0.395058             MS      4.586e+09    1.84661e+09         0.4586           -0.733624             8.60995
            881        0.27828             MS      2.108e+11    1.11068e+11          21.08             1.04559             9.57195
            884        0.56839             MS      5.116e+12     1.3821e+12          511.6             2.14054              10.672
            885        1.67369             SB      1.127e+11    2.38912e+09          11.27           -0.621762             8.15995
            886      -0.712966             MS      1.236e+10     6.3824e+10          1.236            0.804984              10.352
            892      -0.162529             MS      1.224e+11    1.77955e+11          12.24             1.25031              10.152
            893       0.172296             MS      2.337e+11    1.57168e+11          23.37             1.19636              10.432
            899       -1.45065             MS      5.949e+09    1.67916e+11         0.5949             1.22509              10.872
            902        0.24864             MS      1.666e+11    9.39798e+10          16.66            0.973035              10.132
            915       0.510569             MS      2.975e+12     9.1816e+11          297.5             1.96292              10.592
            917       0.386339             MS      8.165e+11    3.35442e+11          81.65             1.52562              10.472
            922      -0.601416             MS      1.179e+11    4.70902e+11          11.79             1.67293              10.502
            923        1.04471             SB       1.81e+12    1.63292e+11            181             1.21297             9.87195
            924      -0.309748             MS      7.156e+09    1.46022e+10         0.7156            0.164419             9.55195
            926       0.710464             SB      2.704e+11    5.26675e+10          27.04            0.721543             9.39995
            928       0.305862             MS      1.997e+10    9.87452e+09          1.997         -0.00548393             9.00195
            931       0.156119             MS        5.4e+10    3.76942e+10            5.4            0.576275             9.81195
            934       0.220971             MS       3.08e+10    1.85174e+10           3.08            0.267579             9.45195
            937     -0.0268239             MS      8.894e+10    9.46065e+10          8.894            0.975921              10.082
            939       0.272887             MS      3.839e+11    2.04801e+11          38.39             1.31133              10.572
            950      -0.716591             MS      9.068e+11    4.72174e+12          90.68              2.6741              11.482
            951       0.420942             MS      9.215e+09    3.49586e+09         0.9215           -0.456446             8.94995
            960       -1.80088             MS      7.339e+09    4.63998e+11         0.7339             1.66652              11.502
            965      0.0137606             MS      1.994e+11    1.93181e+11          19.94             1.28596              10.152
            966      -0.107966             MS      9.144e+10    1.17247e+11          9.144              1.0691              10.012
            972       0.575423             MS      3.846e+09    1.02232e+09         0.3846           -0.990413             8.20995
            974       0.385076             MS      5.232e+12    2.15572e+12          523.2             2.33359              10.862
            994       0.224248             MS      1.013e+11    6.04452e+10          10.13            0.781362             9.77195
            995       0.275099             MS      2.024e+11    1.07426e+11          20.24             1.03111             9.96195
           1002      -0.301881             MS      9.011e+10    1.80573e+11          9.011             1.25665              10.502
           1005       0.431557             MS      3.399e+12    1.25833e+12          339.9             2.09979              10.712
           1006     -0.0497988             MS      4.782e+11    5.36301e+11          47.82             1.72941              11.102
           1008      0.0456428             MS      2.795e+11    2.51616e+11          27.95             1.40074              10.622
           1023      -0.546092             MS      3.426e+11     1.2047e+12          34.26             2.08088              10.852
           1026       0.116691             MS      1.856e+11    1.41869e+11          18.56             1.15189             9.84195
           1035       0.297787             MS      1.479e+10    7.45042e+09          1.479           -0.127819             8.88995
           1036       0.679664             SB      2.939e+12     6.1452e+11          293.9             1.78854              10.182
           1037      -0.117833             MS      4.908e+10     6.4378e+10          4.908            0.808737              10.082
