#           _id          snr24        snr20cm         snr100         snr160         snr250         snr350         snr500        snr1160          snrIR         snrIRMM
#
            628        10.8055       0.741869    4.71214e-05        2.94185            -99            -99            -99            -99        2.94185        12.5143
            631        16.9991        4.21516        2.34951        1.57143        2.28606            -99            -99            -99        3.63533        17.8917
            637        22.2731         2.9977        3.79801        3.57135        2.31571            -99            -99            -99        5.70455        23.1866
            638        12.6324        5.09524    7.53824e-06        4.54665        8.14176        4.25526        3.36229    2.55488e-10        10.7876        17.3756
            652         20.114       0.395748    4.65965e-05        4.46218        1.11475            -99            -99            -99        4.59932         20.637
            658        7.85444        40.9429        1.66393        3.25403        5.85398        4.08949        1.18812         1.4848        8.24419        42.4971
            659        5.00215        3.97509        1.26651        3.30914       0.908602       0.576864        2.45976        2.72335        5.21343        8.50175
            661        6.07607       0.602006       0.385276              0            -99            -99            -99            -99       0.385276        6.11796
            664        5.07072       0.859828       0.910218      0.0643324            -99            -99            -99            -99       0.912489        5.22342
            669        19.0729        6.61538        6.85041        7.88316        2.87519        2.77822            -99            -99        11.1829        24.1878
            672        15.7361          5.022        3.68526        1.18107            -99            -99            -99            -99        3.86989        17.6131
            689        7.42453        2.29742        1.00938      0.0600315            -99            -99            -99            -99        1.01116        7.83736
            692        28.5221        5.41176        14.9727        11.5282        15.2232        3.11141        1.05609            -99        24.4872        46.2659
            697        15.6458       0.776968        1.50955          1.328            -99            -99            -99            -99        2.01055        16.2093
            702        6.95516       0.302278       0.228235        2.62596            -99            -99            -99            -99        2.63586        8.19754
            710        6.23722        1.14315    4.00213e-05    1.59348e-05            -99            -99            -99            -99    4.30769e-05        6.34121
            713        8.44206       0.426555         1.5024    2.18741e-05            -99            -99            -99            -99         1.5024        9.79089
            714        8.75323        3.70979        1.36467        3.84487        1.28842    6.40573e-08     3.5485e-08    3.15182e-10        4.27848        10.4309
            718        21.7346         1.0455       0.764572         2.6944            -99            -99            -99            -99        2.80078        21.9392
            719        9.10914              0       0.356536        1.83688            -99            -99            -99            -99        1.87117        9.61881
            721        12.5716        1.52545       0.175997        2.83289            -99            -99            -99            -99        2.83835        13.4439
            729        6.39078        0.98089        3.30007        2.86644            -99            -99            -99            -99        4.37115        8.31419
            737        32.9253        7.90625        19.6773        12.7624        6.05653         1.0521            -99            -99        24.2459        44.2454
            740        6.61063      0.0663105        2.03723    7.20039e-06            -99            -99            -99            -99        2.03723        8.01713
            748        3.93255        1.07504    3.39495e-05    1.65818e-05            -99            -99            -99            -99    3.77826e-05        4.07685
            749        5.21258        3.72881    1.53768e-05        1.67035            -99            -99            -99            -99        1.67035        6.62307
            753        6.53354              0        0.67097            -99            -99            -99            -99            -99        0.67097        6.88222
            760        11.3099        1.73453        2.31866        1.32423            -99            -99            -99            -99        2.67016        13.4744
            762        21.7946        3.55452        2.96178       0.332948            -99            -99            -99            -99        2.98044        22.2828
            768        5.65987       0.564645      0.0237563       0.652111            -99            -99            -99            -99       0.652544        5.72527
            776        4.87761        1.25317        1.53944        2.59297            -99            -99            -99            -99        3.01552        5.86983
            779        29.3949         17.125       0.877102    2.28171e-05            -99            -99            -99            -99       0.877102        35.2236
            786        3.25568       0.706937       0.742343        1.06112            -99            -99            -99            -99        1.29501        3.57439
