#           _id      dis_to_MS        flag_SB           LTIR           MSIR            SFR    lgSFR_MS_Sargent       Mstar_Chabrier
#
           1284       0.606099             SB      4.119e+12    1.02022e+12          411.9             2.00869              10.492
           1285       0.814546             SB      2.836e+09    4.34671e+08         0.2836            -1.36184             7.89995
           1293      0.0914424             MS      9.031e+10    7.31633e+10          9.031            0.864293              10.132
           1303       0.327939             MS      1.771e+10    8.32299e+09          1.771          -0.0797204             9.07995
           1306       0.707205             SB      6.015e+07     1.1804e+07       0.006015            -2.92797             6.08995
           1313       0.770728             SB      1.428e+10    2.42103e+09          1.428              -0.616             8.62195
           1315       0.240418             MS      4.656e+11    2.67667e+11          46.56             1.42759              10.232
           1320        0.17294             MS       1.59e+11    1.06772e+11           15.9             1.02846              10.072
           1334      -0.800558             MS      1.457e+11    9.20487e+11          14.57             1.96402              10.932
           1335       0.161858             MS      1.098e+11    7.56388e+10          10.98            0.878744             9.96195
           1337        0.35802             MS      1.709e+11    7.49414e+10          17.09            0.874722              10.032
           1338      0.0986633             MS      3.552e+11    2.83015e+11          35.52             1.45181              10.462
           1341       0.257829             MS      2.138e+11    1.18081e+11          21.38             1.07218              10.222
           1342      -0.201015             MS      4.499e+07    7.14711e+07       0.004499            -2.14587             7.07995
           1348      -0.240608             MS      8.037e+09    1.39863e+10         0.8037            0.145702             9.46995
           1350       0.207476             MS      1.553e+11    9.63153e+10          15.53            0.983695              10.002
           1355      0.0321113             MS      1.255e+11    1.16555e+11          12.55             1.06653              10.082
           1357    0.000284006             MS      1.282e+11    1.28116e+11          12.82              1.1076              10.022
           1367      0.0305153             MS      1.492e+11    1.39076e+11          14.92             1.14325             9.84195
           1368    -0.00380333             MS      1.741e+12    1.75631e+12          174.1              2.2446              10.972
           1369       0.090342             MS      7.502e+11    6.09305e+11          75.02             1.78484              10.522
           1371      0.0827246             MS      4.709e+10    3.89228e+10          4.709            0.590204             9.58995
           1384       0.335005             MS      5.863e+11    2.71091e+11          58.63             1.43311              10.462
           1387            -99        unknown       2.27e+12            -99            227                 -99                 -99
           1391       -0.10454             MS      3.295e+10    4.19175e+10          3.295            0.622396             9.62995
           1393       0.467012             MS      1.848e+11    6.30507e+10          18.48             0.79969             9.73195
           1394       0.133823             MS      4.045e+10    2.97232e+10          4.045            0.473096              10.112
           1396      -0.501934             MS       1.89e+10    6.00338e+10           1.89            0.778396              10.092
           1401       0.074963             MS      2.458e+11    2.06833e+11          24.58             1.31562             9.94195
           1402      0.0155297             MS      5.636e+11    5.43803e+11          56.36             1.73544              10.562
           1416      -0.159651             MS      1.969e+11    2.84378e+11          19.69              1.4539              10.042
           1419      -0.452638             MS      8.349e+10    2.36741e+11          8.349             1.37427              10.502
           1420       0.279059             MS       6.52e+11    3.42916e+11           65.2             1.53519              10.462
           1434      0.0161708             MS      3.702e+10    3.56669e+10          3.702            0.552266              10.022
           1437        1.16852             SB      2.494e+11     1.6919e+10          24.94            0.228375             8.92195
           1445     -0.0329096             MS      3.712e+12    4.00422e+12          371.2             2.60252              11.462
           1449      -0.362114             MS      1.989e+10    4.57877e+10          1.989            0.660749              10.132
           1452       0.398557             MS       5.19e+11    2.07306e+11           51.9             1.31661              10.302
           1458       0.155293             MS      3.343e+11    2.33799e+11          33.43             1.36884              10.282
           1469       -1.06547             MS      2.811e+10    3.26834e+11          2.811             1.51433              10.712
           1475       0.314626             MS      1.772e+12    8.58693e+11          177.2             1.93384              10.782
           1476      -0.426491             MS      6.212e+10    1.65853e+11          6.212             1.21972              10.542
           1477      -0.690257             MS      8.578e+06    4.20381e+07      0.0008578            -2.37636             6.82195
           1479      -0.187352             MS      5.392e+10    8.30045e+10          5.392            0.919102              10.092
           1480      -0.676673             MS      4.134e+11    1.96356e+12          41.34             2.29304              10.992
           1490       0.408761             MS       1.42e+12    5.54023e+11            142             1.74353              10.552
           1491       0.334581             MS      1.784e+11    8.25685e+10          17.84            0.916814              10.162
           1495            -99        unknown      2.009e+11            -99          20.09                 -99                 -99
           1497      -0.172259             MS      6.668e+11    9.91412e+11          66.68             1.99625              10.732
           1501      -0.234803             MS      4.865e+11    8.35384e+11          48.65             1.92189              11.012
           1502      0.0808054             MS       2.51e+11    2.08386e+11           25.1             1.31887             9.96195
           1513       -0.91916             MS      6.121e+10    5.08139e+11          6.121             1.70598              11.022
           1515       0.333157             MS       2.81e+11    1.30482e+11           28.1             1.11555              10.142
           1520       -0.89926             MS       1.38e+10    1.09431e+11           1.38             1.03914              10.592
           1524      -0.279043             MS      3.446e+10    6.55177e+10          3.446            0.816359             9.99195
           1525       -2.15401             MS      1.832e+10    2.61175e+12          1.832             2.41693              12.232
           1532      -0.837037             MS      3.303e+10    2.26958e+11          3.303             1.35595              10.602
           1533        0.42808             MS      1.753e+11    6.54187e+10          17.53            0.815702              10.112
           1543       -1.36821             MS      2.177e+10    5.08245e+11          2.177             1.70607              10.922
